METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","ackley",20,13,200,1,19.669794,0.000000
"DEbest","ackley",20,13,250,2,19.669794,0.000000
"DEbest","ackley",20,13,300,3,19.533784,0.000000
"DEbest","ackley",20,13,350,4,19.533784,0.000000
"DEbest","ackley",20,13,400,5,18.981993,0.000000
"DEbest","ackley",20,13,450,6,18.402396,0.000000
"DEbest","ackley",20,13,500,7,18.402396,0.000000
"DEbest","ackley",20,13,550,8,18.402396,0.000000
"DEbest","ackley",20,13,600,9,17.700163,0.000000
"DEbest","ackley",20,13,650,10,17.700163,0.000000
"DEbest","ackley",20,13,700,11,17.520513,0.000000
"DEbest","ackley",20,13,750,12,17.162616,0.010000
"DEbest","ackley",20,13,800,13,17.162616,0.010000
"DEbest","ackley",20,13,850,14,16.205616,0.010000
"DEbest","ackley",20,13,900,15,16.205616,0.010000
"DEbest","ackley",20,13,950,16,15.972917,0.010000
"DEbest","ackley",20,13,1000,17,15.753129,0.010000
"DEbest","ackley",20,13,1050,18,15.753129,0.010000
"DEbest","ackley",20,13,1100,19,14.211673,0.010000
"DEbest","ackley",20,13,1150,20,14.211673,0.010000
"DEbest","ackley",20,13,1200,21,14.211673,0.010000
"DEbest","ackley",20,13,1250,22,13.519537,0.020000
"DEbest","ackley",20,13,1300,23,12.655347,0.020000
"DEbest","ackley",20,13,1350,24,12.655347,0.020000
"DEbest","ackley",20,13,1400,25,11.857731,0.020000
"DEbest","ackley",20,13,1450,26,11.857731,0.020000
"DEbest","ackley",20,13,1500,27,11.857731,0.020000
"DEbest","ackley",20,13,1550,28,11.857731,0.020000
"DEbest","ackley",20,13,1600,29,11.857731,0.020000
"DEbest","ackley",20,13,1650,30,11.586392,0.020000
"DEbest","ackley",20,13,1700,31,11.286725,0.020000
"DEbest","ackley",20,13,1750,32,11.105936,0.020000
"DEbest","ackley",20,13,1800,33,11.105936,0.030000
"DEbest","ackley",20,13,1850,34,10.610072,0.030000
"DEbest","ackley",20,13,1900,35,9.136827,0.030000
"DEbest","ackley",20,13,1950,36,9.136827,0.030000
"DEbest","ackley",20,13,2000,37,9.136827,0.030000
"DEbest","ackley",20,13,2050,38,8.485010,0.030000
"DEbest","ackley",20,13,2100,39,7.910174,0.030000
"DEbest","ackley",20,13,2150,40,7.910174,0.030000
"DEbest","ackley",20,13,2200,41,7.469487,0.030000
"DEbest","ackley",20,13,2250,42,6.791397,0.030000
"DEbest","ackley",20,13,2300,43,6.791397,0.030000
"DEbest","ackley",20,13,2350,44,6.791397,0.040000
"DEbest","ackley",20,13,2400,45,6.729717,0.040000
"DEbest","ackley",20,13,2450,46,6.729717,0.040000
"DEbest","ackley",20,13,2500,47,6.484790,0.040000
"DEbest","ackley",20,13,2550,48,6.253695,0.040000
"DEbest","ackley",20,13,2600,49,6.195769,0.040000
"DEbest","ackley",20,13,2650,50,5.735584,0.040000
"DEbest","ackley",20,13,2700,51,5.735584,0.040000
"DEbest","ackley",20,13,2750,52,5.571120,0.040000
"DEbest","ackley",20,13,2800,53,5.417464,0.040000
"DEbest","ackley",20,13,2850,54,5.126571,0.050000
"DEbest","ackley",20,13,2900,55,4.935030,0.050000
"DEbest","ackley",20,13,2950,56,4.372194,0.050000
"DEbest","ackley",20,13,3000,57,3.842295,0.050000
"DEbest","ackley",20,13,3050,58,3.842295,0.050000
"DEbest","ackley",20,13,3100,59,3.842295,0.050000
"DEbest","ackley",20,13,3150,60,3.842295,0.050000
"DEbest","ackley",20,13,3200,61,3.842295,0.050000
"DEbest","ackley",20,13,3250,62,3.842295,0.050000
"DEbest","ackley",20,13,3300,63,3.842295,0.050000
"DEbest","ackley",20,13,3350,64,3.842295,0.050000
"DEbest","ackley",20,13,3400,65,3.842295,0.060000
"DEbest","ackley",20,13,3450,66,3.364587,0.060000
"DEbest","ackley",20,13,3500,67,3.364587,0.060000
"DEbest","ackley",20,13,3550,68,3.025434,0.060000
"DEbest","ackley",20,13,3600,69,3.025434,0.060000
"DEbest","ackley",20,13,3650,70,3.025434,0.060000
"DEbest","ackley",20,13,3700,71,3.025434,0.060000
"DEbest","ackley",20,13,3750,72,3.025434,0.060000
