METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","dixonpr",10,2,80,1,84853.904388,0.000000
"DEbest","dixonpr",10,2,100,2,26847.740385,0.010000
"DEbest","dixonpr",10,2,120,3,9696.743452,0.010000
"DEbest","dixonpr",10,2,140,4,9696.743452,0.010000
"DEbest","dixonpr",10,2,160,5,9696.743452,0.010000
"DEbest","dixonpr",10,2,180,6,9696.743452,0.010000
"DEbest","dixonpr",10,2,200,7,6277.974873,0.010000
"DEbest","dixonpr",10,2,220,8,6277.974873,0.010000
"DEbest","dixonpr",10,2,240,9,2553.677550,0.010000
"DEbest","dixonpr",10,2,260,10,2078.850801,0.010000
"DEbest","dixonpr",10,2,280,11,1315.762622,0.010000
"DEbest","dixonpr",10,2,300,12,1315.762622,0.010000
"DEbest","dixonpr",10,2,320,13,1315.762622,0.010000
"DEbest","dixonpr",10,2,340,14,544.487077,0.010000
"DEbest","dixonpr",10,2,360,15,373.066895,0.010000
"DEbest","dixonpr",10,2,380,16,373.066895,0.010000
"DEbest","dixonpr",10,2,400,17,373.066895,0.020000
"DEbest","dixonpr",10,2,420,18,373.066895,0.020000
"DEbest","dixonpr",10,2,440,19,373.066895,0.030000
"DEbest","dixonpr",10,2,460,20,107.532302,0.030000
"DEbest","dixonpr",10,2,480,21,107.532302,0.030000
"DEbest","dixonpr",10,2,500,22,31.940854,0.030000
"DEbest","dixonpr",10,2,520,23,22.945110,0.040000
"DEbest","dixonpr",10,2,540,24,22.945110,0.040000
"DEbest","dixonpr",10,2,560,25,22.945110,0.040000
"DEbest","dixonpr",10,2,580,26,22.945110,0.040000
"DEbest","dixonpr",10,2,600,27,21.932977,0.040000
"DEbest","dixonpr",10,2,620,28,12.805214,0.040000
"DEbest","dixonpr",10,2,640,29,10.945925,0.040000
"DEbest","dixonpr",10,2,660,30,10.945925,0.040000
"DEbest","dixonpr",10,2,680,31,10.708499,0.040000
"DEbest","dixonpr",10,2,700,32,10.708499,0.050000
"DEbest","dixonpr",10,2,720,33,7.767681,0.050000
"DEbest","dixonpr",10,2,740,34,4.458742,0.050000
"DEbest","dixonpr",10,2,760,35,4.458742,0.050000
"DEbest","dixonpr",10,2,780,36,2.493166,0.050000
"DEbest","dixonpr",10,2,800,37,2.493166,0.050000
"DEbest","dixonpr",10,2,820,38,2.493166,0.050000
"DEbest","dixonpr",10,2,840,39,2.493166,0.050000
"DEbest","dixonpr",10,2,860,40,2.482779,0.050000
"DEbest","dixonpr",10,2,880,41,2.176442,0.050000
"DEbest","dixonpr",10,2,900,42,2.176442,0.050000
"DEbest","dixonpr",10,2,920,43,1.583717,0.050000
"DEbest","dixonpr",10,2,940,44,1.583717,0.050000
"DEbest","dixonpr",10,2,960,45,1.425908,0.060000
"DEbest","dixonpr",10,2,980,46,1.425908,0.060000
"DEbest","dixonpr",10,2,1000,47,1.347107,0.060000
"DEbest","dixonpr",10,2,1020,48,1.076337,0.060000
"DEbest","dixonpr",10,2,1040,49,1.033865,0.060000
"DEbest","dixonpr",10,2,1060,50,1.033865,0.060000
"DEbest","dixonpr",10,2,1080,51,1.033865,0.060000
"DEbest","dixonpr",10,2,1100,52,0.998601,0.060000
"DEbest","dixonpr",10,2,1120,53,0.983486,0.060000
"DEbest","dixonpr",10,2,1140,54,0.983486,0.060000
"DEbest","dixonpr",10,2,1160,55,0.964405,0.060000
"DEbest","dixonpr",10,2,1180,56,0.888452,0.070000
"DEbest","dixonpr",10,2,1200,57,0.888452,0.070000
"DEbest","dixonpr",10,2,1220,58,0.888452,0.070000
"DEbest","dixonpr",10,2,1240,59,0.887689,0.070000
"DEbest","dixonpr",10,2,1260,60,0.861231,0.070000
"DEbest","dixonpr",10,2,1280,61,0.848003,0.070000
"DEbest","dixonpr",10,2,1300,62,0.838921,0.070000
"DEbest","dixonpr",10,2,1320,63,0.771968,0.070000
"DEbest","dixonpr",10,2,1340,64,0.771968,0.070000
"DEbest","dixonpr",10,2,1360,65,0.771968,0.070000
"DEbest","dixonpr",10,2,1380,66,0.764073,0.070000
"DEbest","dixonpr",10,2,1400,67,0.736711,0.090000
"DEbest","dixonpr",10,2,1420,68,0.736711,0.090000
"DEbest","dixonpr",10,2,1440,69,0.732052,0.090000
"DEbest","dixonpr",10,2,1460,70,0.732052,0.090000
"DEbest","dixonpr",10,2,1480,71,0.723074,0.090000
"DEbest","dixonpr",10,2,1500,72,0.720027,0.090000
"DEbest","dixonpr",10,2,1520,73,0.706542,0.090000
"DEbest","dixonpr",10,2,1540,74,0.706542,0.090000
"DEbest","dixonpr",10,2,1560,75,0.706542,0.090000
"DEbest","dixonpr",10,2,1580,76,0.703200,0.090000
"DEbest","dixonpr",10,2,1600,77,0.701206,0.090000
"DEbest","dixonpr",10,2,1620,78,0.699218,0.090000
"DEbest","dixonpr",10,2,1640,79,0.698597,0.090000
"DEbest","dixonpr",10,2,1660,80,0.697314,0.090000
"DEbest","dixonpr",10,2,1680,81,0.697314,0.100000
"DEbest","dixonpr",10,2,1700,82,0.694871,0.100000
"DEbest","dixonpr",10,2,1720,83,0.688781,0.100000
"DEbest","dixonpr",10,2,1740,84,0.688781,0.100000
"DEbest","dixonpr",10,2,1760,85,0.688781,0.100000
"DEbest","dixonpr",10,2,1780,86,0.688473,0.100000
"DEbest","dixonpr",10,2,1800,87,0.686558,0.100000
"DEbest","dixonpr",10,2,1820,88,0.684501,0.100000
"DEbest","dixonpr",10,2,1840,89,0.682611,0.110000
"DEbest","dixonpr",10,2,1860,90,0.682611,0.110000
"DEbest","dixonpr",10,2,1880,91,0.679681,0.110000
"DEbest","dixonpr",10,2,1900,92,0.678315,0.110000
"DEbest","dixonpr",10,2,1920,93,0.675434,0.110000
"DEbest","dixonpr",10,2,1940,94,0.673596,0.110000
"DEbest","dixonpr",10,2,1960,95,0.673064,0.110000
"DEbest","dixonpr",10,2,1980,96,0.670089,0.110000
"DEbest","dixonpr",10,2,2000,97,0.669621,0.110000
"DEbest","dixonpr",10,2,2020,98,0.667567,0.110000
"DEbest","dixonpr",10,2,2040,99,0.667528,0.110000
"DEbest","dixonpr",10,2,2060,100,0.667528,0.110000
"DEbest","dixonpr",10,2,2080,101,0.667528,0.110000
"DEbest","dixonpr",10,2,2100,102,0.667528,0.120000
"DEbest","dixonpr",10,2,2120,103,0.667326,0.120000
"DEbest","dixonpr",10,2,2140,104,0.667199,0.120000
"DEbest","dixonpr",10,2,2160,105,0.667007,0.120000
"DEbest","dixonpr",10,2,2180,106,0.666989,0.120000
"DEbest","dixonpr",10,2,2200,107,0.666954,0.120000
"DEbest","dixonpr",10,2,2220,108,0.666946,0.120000
"DEbest","dixonpr",10,2,2240,109,0.666861,0.120000
"DEbest","dixonpr",10,2,2260,110,0.666861,0.120000
"DEbest","dixonpr",10,2,2280,111,0.666801,0.120000
"DEbest","dixonpr",10,2,2300,112,0.666801,0.120000
"DEbest","dixonpr",10,2,2320,113,0.666781,0.120000
"DEbest","dixonpr",10,2,2340,114,0.666781,0.120000
"DEbest","dixonpr",10,2,2360,115,0.666769,0.120000
"DEbest","dixonpr",10,2,2380,116,0.666769,0.120000
"DEbest","dixonpr",10,2,2400,117,0.666749,0.120000
"DEbest","dixonpr",10,2,2420,118,0.666725,0.120000
"DEbest","dixonpr",10,2,2440,119,0.666725,0.130000
"DEbest","dixonpr",10,2,2460,120,0.666725,0.130000
"DEbest","dixonpr",10,2,2480,121,0.666702,0.130000
"DEbest","dixonpr",10,2,2500,122,0.666698,0.130000
"DEbest","dixonpr",10,2,2520,123,0.666695,0.130000
"DEbest","dixonpr",10,2,2540,124,0.666687,0.130000
"DEbest","dixonpr",10,2,2560,125,0.666687,0.130000
"DEbest","dixonpr",10,2,2580,126,0.666687,0.130000
"DEbest","dixonpr",10,2,2600,127,0.666687,0.130000
"DEbest","dixonpr",10,2,2620,128,0.666678,0.130000
"DEbest","dixonpr",10,2,2640,129,0.666677,0.130000
"DEbest","dixonpr",10,2,2660,130,0.666677,0.130000
"DEbest","dixonpr",10,2,2680,131,0.666675,0.140000
"DEbest","dixonpr",10,2,2700,132,0.666675,0.140000
"DEbest","dixonpr",10,2,2720,133,0.666672,0.140000
"DEbest","dixonpr",10,2,2740,134,0.666671,0.140000
"DEbest","dixonpr",10,2,2760,135,0.666670,0.140000
"DEbest","dixonpr",10,2,2780,136,0.666670,0.140000
"DEbest","dixonpr",10,2,2800,137,0.666670,0.150000
"DEbest","dixonpr",10,2,2820,138,0.666670,0.150000
"DEbest","dixonpr",10,2,2840,139,0.666670,0.150000
"DEbest","dixonpr",10,2,2860,140,0.666669,0.150000
"DEbest","dixonpr",10,2,2880,141,0.666668,0.150000
"DEbest","dixonpr",10,2,2900,142,0.666668,0.150000
"DEbest","dixonpr",10,2,2920,143,0.666668,0.150000
"DEbest","dixonpr",10,2,2940,144,0.666667,0.150000
"DEbest","dixonpr",10,2,2960,145,0.666667,0.150000
"DEbest","dixonpr",10,2,2980,146,0.666667,0.150000
"DEbest","dixonpr",10,2,3000,147,0.666667,0.150000
