METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","elipsoid",20,8,200,1,968.858792,0.000000
"DEbest","elipsoid",20,8,250,2,523.644732,0.000000
"DEbest","elipsoid",20,8,300,3,523.644732,0.010000
"DEbest","elipsoid",20,8,350,4,523.644732,0.010000
"DEbest","elipsoid",20,8,400,5,523.644732,0.010000
"DEbest","elipsoid",20,8,450,6,523.644732,0.010000
"DEbest","elipsoid",20,8,500,7,396.257161,0.010000
"DEbest","elipsoid",20,8,550,8,287.155766,0.010000
"DEbest","elipsoid",20,8,600,9,287.155766,0.010000
"DEbest","elipsoid",20,8,650,10,281.228526,0.010000
"DEbest","elipsoid",20,8,700,11,246.812496,0.010000
"DEbest","elipsoid",20,8,750,12,242.186561,0.010000
"DEbest","elipsoid",20,8,800,13,206.863004,0.020000
"DEbest","elipsoid",20,8,850,14,206.863004,0.020000
"DEbest","elipsoid",20,8,900,15,178.538571,0.020000
"DEbest","elipsoid",20,8,950,16,178.538571,0.020000
"DEbest","elipsoid",20,8,1000,17,147.825286,0.020000
"DEbest","elipsoid",20,8,1050,18,125.063864,0.020000
"DEbest","elipsoid",20,8,1100,19,125.063864,0.020000
"DEbest","elipsoid",20,8,1150,20,117.489492,0.020000
"DEbest","elipsoid",20,8,1200,21,88.338723,0.020000
"DEbest","elipsoid",20,8,1250,22,88.338723,0.020000
"DEbest","elipsoid",20,8,1300,23,76.887011,0.020000
"DEbest","elipsoid",20,8,1350,24,70.441954,0.020000
"DEbest","elipsoid",20,8,1400,25,70.237610,0.030000
"DEbest","elipsoid",20,8,1450,26,44.712782,0.030000
"DEbest","elipsoid",20,8,1500,27,40.345363,0.030000
"DEbest","elipsoid",20,8,1550,28,36.050802,0.030000
"DEbest","elipsoid",20,8,1600,29,33.506682,0.030000
"DEbest","elipsoid",20,8,1650,30,33.506682,0.030000
"DEbest","elipsoid",20,8,1700,31,33.506682,0.030000
"DEbest","elipsoid",20,8,1750,32,32.576836,0.030000
"DEbest","elipsoid",20,8,1800,33,25.597848,0.030000
"DEbest","elipsoid",20,8,1850,34,25.597848,0.030000
"DEbest","elipsoid",20,8,1900,35,16.497241,0.030000
"DEbest","elipsoid",20,8,1950,36,16.497241,0.040000
"DEbest","elipsoid",20,8,2000,37,14.479845,0.040000
"DEbest","elipsoid",20,8,2050,38,13.517152,0.040000
"DEbest","elipsoid",20,8,2100,39,13.517152,0.040000
"DEbest","elipsoid",20,8,2150,40,12.837588,0.040000
"DEbest","elipsoid",20,8,2200,41,11.653419,0.040000
"DEbest","elipsoid",20,8,2250,42,10.203613,0.040000
"DEbest","elipsoid",20,8,2300,43,8.457351,0.040000
"DEbest","elipsoid",20,8,2350,44,8.457351,0.040000
"DEbest","elipsoid",20,8,2400,45,7.939764,0.040000
"DEbest","elipsoid",20,8,2450,46,5.472771,0.040000
"DEbest","elipsoid",20,8,2500,47,5.472771,0.050000
"DEbest","elipsoid",20,8,2550,48,5.448775,0.050000
"DEbest","elipsoid",20,8,2600,49,5.448775,0.050000
"DEbest","elipsoid",20,8,2650,50,3.384694,0.050000
"DEbest","elipsoid",20,8,2700,51,3.384694,0.050000
"DEbest","elipsoid",20,8,2750,52,3.384694,0.050000
"DEbest","elipsoid",20,8,2800,53,3.097713,0.050000
"DEbest","elipsoid",20,8,2850,54,1.858260,0.050000
"DEbest","elipsoid",20,8,2900,55,1.858260,0.050000
"DEbest","elipsoid",20,8,2950,56,1.858260,0.050000
"DEbest","elipsoid",20,8,3000,57,1.539586,0.050000
"DEbest","elipsoid",20,8,3050,58,1.298820,0.060000
"DEbest","elipsoid",20,8,3100,59,1.298820,0.060000
"DEbest","elipsoid",20,8,3150,60,1.115820,0.060000
"DEbest","elipsoid",20,8,3200,61,1.115820,0.060000
"DEbest","elipsoid",20,8,3250,62,0.632463,0.060000
"DEbest","elipsoid",20,8,3300,63,0.544654,0.060000
"DEbest","elipsoid",20,8,3350,64,0.544654,0.060000
"DEbest","elipsoid",20,8,3400,65,0.544654,0.060000
