METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","griewank",10,16,80,1,125.314791,0.000000
"DEbest","griewank",10,16,100,2,98.834360,0.000000
"DEbest","griewank",10,16,120,3,62.212754,0.000000
"DEbest","griewank",10,16,140,4,30.105822,0.000000
"DEbest","griewank",10,16,160,5,30.105822,0.000000
"DEbest","griewank",10,16,180,6,30.105822,0.000000
"DEbest","griewank",10,16,200,7,30.105822,0.010000
"DEbest","griewank",10,16,220,8,20.784685,0.010000
"DEbest","griewank",10,16,240,9,18.094832,0.010000
"DEbest","griewank",10,16,260,10,18.094832,0.010000
"DEbest","griewank",10,16,280,11,14.490050,0.010000
"DEbest","griewank",10,16,300,12,14.490050,0.010000
"DEbest","griewank",10,16,320,13,11.933878,0.010000
"DEbest","griewank",10,16,340,14,8.489718,0.010000
"DEbest","griewank",10,16,360,15,7.417054,0.010000
"DEbest","griewank",10,16,380,16,7.417054,0.010000
"DEbest","griewank",10,16,400,17,6.381657,0.010000
"DEbest","griewank",10,16,420,18,5.259349,0.010000
"DEbest","griewank",10,16,440,19,5.259349,0.020000
"DEbest","griewank",10,16,460,20,5.259349,0.020000
"DEbest","griewank",10,16,480,21,4.983782,0.020000
"DEbest","griewank",10,16,500,22,3.107328,0.020000
"DEbest","griewank",10,16,520,23,2.907901,0.020000
"DEbest","griewank",10,16,540,24,2.630925,0.020000
"DEbest","griewank",10,16,560,25,2.630925,0.020000
"DEbest","griewank",10,16,580,26,2.303732,0.020000
"DEbest","griewank",10,16,600,27,1.662408,0.020000
"DEbest","griewank",10,16,620,28,1.662408,0.020000
"DEbest","griewank",10,16,640,29,1.462858,0.020000
"DEbest","griewank",10,16,660,30,1.462858,0.020000
"DEbest","griewank",10,16,680,31,1.462858,0.020000
"DEbest","griewank",10,16,700,32,1.449905,0.020000
"DEbest","griewank",10,16,720,33,1.444756,0.020000
"DEbest","griewank",10,16,740,34,1.206703,0.020000
"DEbest","griewank",10,16,760,35,1.206703,0.020000
"DEbest","griewank",10,16,780,36,1.206703,0.030000
"DEbest","griewank",10,16,800,37,1.206703,0.030000
"DEbest","griewank",10,16,820,38,1.105325,0.030000
"DEbest","griewank",10,16,840,39,1.105325,0.030000
"DEbest","griewank",10,16,860,40,1.105325,0.030000
"DEbest","griewank",10,16,880,41,1.105325,0.030000
