METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","levy",20,13,200,1,111.613349,0.000000
"DEbest","levy",20,13,250,2,111.613349,0.000000
"DEbest","levy",20,13,300,3,111.613349,0.010000
"DEbest","levy",20,13,350,4,91.833948,0.010000
"DEbest","levy",20,13,400,5,83.321569,0.010000
"DEbest","levy",20,13,450,6,81.679464,0.010000
"DEbest","levy",20,13,500,7,73.243363,0.010000
"DEbest","levy",20,13,550,8,60.490742,0.010000
"DEbest","levy",20,13,600,9,57.464757,0.020000
"DEbest","levy",20,13,650,10,54.210326,0.020000
"DEbest","levy",20,13,700,11,41.329772,0.020000
"DEbest","levy",20,13,750,12,32.897070,0.020000
"DEbest","levy",20,13,800,13,32.897070,0.020000
"DEbest","levy",20,13,850,14,32.897070,0.020000
"DEbest","levy",20,13,900,15,32.897070,0.030000
"DEbest","levy",20,13,950,16,26.475270,0.030000
"DEbest","levy",20,13,1000,17,26.475270,0.030000
"DEbest","levy",20,13,1050,18,23.157874,0.030000
"DEbest","levy",20,13,1100,19,23.157874,0.030000
"DEbest","levy",20,13,1150,20,21.510028,0.030000
"DEbest","levy",20,13,1200,21,15.395942,0.030000
"DEbest","levy",20,13,1250,22,15.395942,0.040000
"DEbest","levy",20,13,1300,23,15.395942,0.040000
"DEbest","levy",20,13,1350,24,15.395942,0.040000
"DEbest","levy",20,13,1400,25,13.501262,0.040000
"DEbest","levy",20,13,1450,26,13.501262,0.040000
"DEbest","levy",20,13,1500,27,13.501262,0.040000
"DEbest","levy",20,13,1550,28,12.808450,0.050000
"DEbest","levy",20,13,1600,29,9.317126,0.050000
"DEbest","levy",20,13,1650,30,9.317126,0.050000
"DEbest","levy",20,13,1700,31,6.611886,0.050000
"DEbest","levy",20,13,1750,32,6.611886,0.050000
"DEbest","levy",20,13,1800,33,6.611886,0.050000
"DEbest","levy",20,13,1850,34,5.497594,0.060000
"DEbest","levy",20,13,1900,35,5.497594,0.060000
"DEbest","levy",20,13,1950,36,5.497594,0.060000
"DEbest","levy",20,13,2000,37,5.436481,0.060000
"DEbest","levy",20,13,2050,38,5.436481,0.060000
"DEbest","levy",20,13,2100,39,4.960275,0.060000
"DEbest","levy",20,13,2150,40,4.960275,0.060000
"DEbest","levy",20,13,2200,41,3.500409,0.070000
"DEbest","levy",20,13,2250,42,3.500409,0.070000
"DEbest","levy",20,13,2300,43,3.500409,0.070000
"DEbest","levy",20,13,2350,44,3.500409,0.070000
"DEbest","levy",20,13,2400,45,3.318356,0.070000
"DEbest","levy",20,13,2450,46,3.318356,0.070000
"DEbest","levy",20,13,2500,47,2.449509,0.080000
"DEbest","levy",20,13,2550,48,1.974297,0.080000
"DEbest","levy",20,13,2600,49,1.925361,0.080000
"DEbest","levy",20,13,2650,50,1.899458,0.080000
"DEbest","levy",20,13,2700,51,1.839955,0.080000
"DEbest","levy",20,13,2750,52,1.154308,0.080000
"DEbest","levy",20,13,2800,53,1.154308,0.080000
"DEbest","levy",20,13,2850,54,1.154308,0.090000
"DEbest","levy",20,13,2900,55,1.154308,0.090000
"DEbest","levy",20,13,2950,56,1.154308,0.090000
"DEbest","levy",20,13,3000,57,1.154308,0.090000
"DEbest","levy",20,13,3050,58,1.100696,0.090000
"DEbest","levy",20,13,3100,59,0.972665,0.090000
"DEbest","levy",20,13,3150,60,0.972665,0.100000
"DEbest","levy",20,13,3200,61,0.922022,0.100000
"DEbest","levy",20,13,3250,62,0.720314,0.100000
"DEbest","levy",20,13,3300,63,0.720314,0.100000
"DEbest","levy",20,13,3350,64,0.609236,0.100000
"DEbest","levy",20,13,3400,65,0.609236,0.100000
"DEbest","levy",20,13,3450,66,0.609236,0.110000
"DEbest","levy",20,13,3500,67,0.609236,0.110000
"DEbest","levy",20,13,3550,68,0.580366,0.110000
"DEbest","levy",20,13,3600,69,0.580366,0.110000
"DEbest","levy",20,13,3650,70,0.566237,0.110000
"DEbest","levy",20,13,3700,71,0.470535,0.110000
"DEbest","levy",20,13,3750,72,0.432347,0.110000
"DEbest","levy",20,13,3800,73,0.367644,0.120000
"DEbest","levy",20,13,3850,74,0.320789,0.120000
"DEbest","levy",20,13,3900,75,0.282648,0.120000
"DEbest","levy",20,13,3950,76,0.282648,0.120000
"DEbest","levy",20,13,4000,77,0.264558,0.120000
"DEbest","levy",20,13,4050,78,0.264558,0.120000
"DEbest","levy",20,13,4100,79,0.264558,0.120000
"DEbest","levy",20,13,4150,80,0.217061,0.130000
"DEbest","levy",20,13,4200,81,0.177385,0.130000
"DEbest","levy",20,13,4250,82,0.177385,0.130000
"DEbest","levy",20,13,4300,83,0.177385,0.130000
"DEbest","levy",20,13,4350,84,0.136726,0.130000
"DEbest","levy",20,13,4400,85,0.136726,0.130000
"DEbest","levy",20,13,4450,86,0.117135,0.140000
"DEbest","levy",20,13,4500,87,0.117135,0.140000
"DEbest","levy",20,13,4550,88,0.117135,0.140000
"DEbest","levy",20,13,4600,89,0.117135,0.140000
"DEbest","levy",20,13,4650,90,0.084863,0.140000
"DEbest","levy",20,13,4700,91,0.070338,0.140000
"DEbest","levy",20,13,4750,92,0.070338,0.140000
"DEbest","levy",20,13,4800,93,0.070338,0.150000
"DEbest","levy",20,13,4850,94,0.063157,0.150000
"DEbest","levy",20,13,4900,95,0.063157,0.150000
"DEbest","levy",20,13,4950,96,0.063157,0.150000
"DEbest","levy",20,13,5000,97,0.063157,0.150000
