METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","perm0db",10,17,80,1,4275199873652368896.000000,0.000000
"DEbest","perm0db",10,17,100,2,4275199873652368896.000000,0.000000
"DEbest","perm0db",10,17,120,3,307047977468359744.000000,0.000000
"DEbest","perm0db",10,17,140,4,84665814507899056.000000,0.000000
"DEbest","perm0db",10,17,160,5,84665814507899056.000000,0.000000
"DEbest","perm0db",10,17,180,6,21804073943437904.000000,0.000000
"DEbest","perm0db",10,17,200,7,5400317109852758.000000,0.010000
"DEbest","perm0db",10,17,220,8,5400317109852758.000000,0.010000
"DEbest","perm0db",10,17,240,9,382975476515641.937500,0.010000
"DEbest","perm0db",10,17,260,10,382975476515641.937500,0.010000
"DEbest","perm0db",10,17,280,11,382975476515641.937500,0.010000
"DEbest","perm0db",10,17,300,12,382975476515641.937500,0.010000
"DEbest","perm0db",10,17,320,13,111008575815708.515625,0.010000
"DEbest","perm0db",10,17,340,14,111008575815708.515625,0.010000
"DEbest","perm0db",10,17,360,15,20056102603756.515625,0.010000
"DEbest","perm0db",10,17,380,16,393258519260.358765,0.010000
"DEbest","perm0db",10,17,400,17,65965343078.036079,0.010000
"DEbest","perm0db",10,17,420,18,184906656.035186,0.010000
"DEbest","perm0db",10,17,440,19,184906656.035186,0.020000
"DEbest","perm0db",10,17,460,20,2696957.389255,0.020000
"DEbest","perm0db",10,17,480,21,308685.382233,0.020000
"DEbest","perm0db",10,17,500,22,308685.382233,0.020000
"DEbest","perm0db",10,17,520,23,308685.382233,0.020000
"DEbest","perm0db",10,17,540,24,206727.090818,0.020000
"DEbest","perm0db",10,17,560,25,206727.090818,0.020000
"DEbest","perm0db",10,17,580,26,186175.410338,0.020000
"DEbest","perm0db",10,17,600,27,15613.964597,0.020000
"DEbest","perm0db",10,17,620,28,12104.176755,0.020000
"DEbest","perm0db",10,17,640,29,2207.669718,0.020000
"DEbest","perm0db",10,17,660,30,1170.605645,0.020000
"DEbest","perm0db",10,17,680,31,852.351885,0.030000
"DEbest","perm0db",10,17,700,32,852.351885,0.030000
"DEbest","perm0db",10,17,720,33,687.733539,0.030000
"DEbest","perm0db",10,17,740,34,403.077376,0.030000
"DEbest","perm0db",10,17,760,35,403.077376,0.030000
"DEbest","perm0db",10,17,780,36,403.077376,0.030000
"DEbest","perm0db",10,17,800,37,403.077376,0.030000
"DEbest","perm0db",10,17,820,38,334.531989,0.030000
"DEbest","perm0db",10,17,840,39,316.042226,0.030000
"DEbest","perm0db",10,17,860,40,316.042226,0.030000
"DEbest","perm0db",10,17,880,41,316.042226,0.030000
"DEbest","perm0db",10,17,900,42,316.042226,0.040000
"DEbest","perm0db",10,17,920,43,127.666613,0.040000
"DEbest","perm0db",10,17,940,44,127.666613,0.040000
"DEbest","perm0db",10,17,960,45,127.666613,0.040000
"DEbest","perm0db",10,17,980,46,127.666613,0.040000
"DEbest","perm0db",10,17,1000,47,127.666613,0.040000
"DEbest","perm0db",10,17,1020,48,127.666613,0.040000
"DEbest","perm0db",10,17,1040,49,47.492730,0.040000
"DEbest","perm0db",10,17,1060,50,47.492730,0.040000
"DEbest","perm0db",10,17,1080,51,47.492730,0.040000
"DEbest","perm0db",10,17,1100,52,47.492730,0.040000
"DEbest","perm0db",10,17,1120,53,47.492730,0.040000
"DEbest","perm0db",10,17,1140,54,47.492730,0.050000
"DEbest","perm0db",10,17,1160,55,33.286226,0.050000
"DEbest","perm0db",10,17,1180,56,21.716682,0.050000
"DEbest","perm0db",10,17,1200,57,21.716682,0.050000
"DEbest","perm0db",10,17,1220,58,21.716682,0.050000
"DEbest","perm0db",10,17,1240,59,21.716682,0.050000
"DEbest","perm0db",10,17,1260,60,21.716682,0.050000
"DEbest","perm0db",10,17,1280,61,21.716682,0.050000
"DEbest","perm0db",10,17,1300,62,21.716682,0.050000
"DEbest","perm0db",10,17,1320,63,16.255999,0.050000
"DEbest","perm0db",10,17,1340,64,12.033536,0.050000
"DEbest","perm0db",10,17,1360,65,9.433803,0.050000
"DEbest","perm0db",10,17,1380,66,9.433803,0.060000
"DEbest","perm0db",10,17,1400,67,7.626309,0.060000
"DEbest","perm0db",10,17,1420,68,7.626309,0.060000
"DEbest","perm0db",10,17,1440,69,7.626309,0.060000
"DEbest","perm0db",10,17,1460,70,7.626309,0.060000
"DEbest","perm0db",10,17,1480,71,7.626309,0.060000
"DEbest","perm0db",10,17,1500,72,4.553484,0.060000
"DEbest","perm0db",10,17,1520,73,4.553484,0.060000
"DEbest","perm0db",10,17,1540,74,4.363051,0.060000
"DEbest","perm0db",10,17,1560,75,4.363051,0.060000
"DEbest","perm0db",10,17,1580,76,4.363051,0.060000
"DEbest","perm0db",10,17,1600,77,4.363051,0.060000
"DEbest","perm0db",10,17,1620,78,4.363051,0.070000
"DEbest","perm0db",10,17,1640,79,4.363051,0.070000
"DEbest","perm0db",10,17,1660,80,4.363051,0.070000
"DEbest","perm0db",10,17,1680,81,4.363051,0.070000
"DEbest","perm0db",10,17,1700,82,4.363051,0.070000
"DEbest","perm0db",10,17,1720,83,4.363051,0.070000
"DEbest","perm0db",10,17,1740,84,4.363051,0.070000
"DEbest","perm0db",10,17,1760,85,4.300891,0.070000
"DEbest","perm0db",10,17,1780,86,4.300891,0.070000
"DEbest","perm0db",10,17,1800,87,4.300891,0.070000
"DEbest","perm0db",10,17,1820,88,4.300891,0.070000
"DEbest","perm0db",10,17,1840,89,4.298682,0.070000
"DEbest","perm0db",10,17,1860,90,3.896311,0.080000
"DEbest","perm0db",10,17,1880,91,3.896311,0.080000
"DEbest","perm0db",10,17,1900,92,3.896311,0.080000
"DEbest","perm0db",10,17,1920,93,3.888121,0.080000
"DEbest","perm0db",10,17,1940,94,3.888121,0.080000
"DEbest","perm0db",10,17,1960,95,3.799561,0.080000
"DEbest","perm0db",10,17,1980,96,3.799561,0.080000
"DEbest","perm0db",10,17,2000,97,3.799561,0.080000
"DEbest","perm0db",10,17,2020,98,3.717941,0.080000
"DEbest","perm0db",10,17,2040,99,3.717941,0.080000
"DEbest","perm0db",10,17,2060,100,3.717941,0.080000
"DEbest","perm0db",10,17,2080,101,3.717941,0.080000
"DEbest","perm0db",10,17,2100,102,3.717941,0.090000
"DEbest","perm0db",10,17,2120,103,3.717941,0.090000
"DEbest","perm0db",10,17,2140,104,3.717941,0.090000
"DEbest","perm0db",10,17,2160,105,3.717941,0.090000
"DEbest","perm0db",10,17,2180,106,3.654710,0.090000
"DEbest","perm0db",10,17,2200,107,3.654710,0.090000
"DEbest","perm0db",10,17,2220,108,3.641869,0.090000
"DEbest","perm0db",10,17,2240,109,3.641869,0.090000
"DEbest","perm0db",10,17,2260,110,3.641869,0.090000
"DEbest","perm0db",10,17,2280,111,3.641869,0.090000
"DEbest","perm0db",10,17,2300,112,3.641869,0.090000
"DEbest","perm0db",10,17,2320,113,3.641869,0.090000
"DEbest","perm0db",10,17,2340,114,3.641869,0.100000
"DEbest","perm0db",10,17,2360,115,3.641869,0.100000
"DEbest","perm0db",10,17,2380,116,3.607455,0.100000
"DEbest","perm0db",10,17,2400,117,3.606261,0.100000
"DEbest","perm0db",10,17,2420,118,3.606261,0.100000
"DEbest","perm0db",10,17,2440,119,3.591032,0.100000
"DEbest","perm0db",10,17,2460,120,3.591032,0.100000
"DEbest","perm0db",10,17,2480,121,3.591032,0.100000
"DEbest","perm0db",10,17,2500,122,3.591032,0.100000
"DEbest","perm0db",10,17,2520,123,3.591032,0.100000
"DEbest","perm0db",10,17,2540,124,3.591032,0.100000
"DEbest","perm0db",10,17,2560,125,3.591032,0.100000
"DEbest","perm0db",10,17,2580,126,3.591032,0.110000
"DEbest","perm0db",10,17,2600,127,3.591032,0.110000
"DEbest","perm0db",10,17,2620,128,3.591032,0.110000
"DEbest","perm0db",10,17,2640,129,3.591032,0.110000
"DEbest","perm0db",10,17,2660,130,3.591032,0.110000
