METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","rastrigin",20,14,200,1,270.658659,0.000000
"DEbest","rastrigin",20,14,250,2,252.095953,0.000000
"DEbest","rastrigin",20,14,300,3,250.464687,0.000000
"DEbest","rastrigin",20,14,350,4,250.464687,0.000000
"DEbest","rastrigin",20,14,400,5,250.464687,0.000000
"DEbest","rastrigin",20,14,450,6,216.119401,0.000000
"DEbest","rastrigin",20,14,500,7,207.560590,0.000000
"DEbest","rastrigin",20,14,550,8,207.560590,0.000000
"DEbest","rastrigin",20,14,600,9,201.202305,0.010000
"DEbest","rastrigin",20,14,650,10,201.202305,0.010000
"DEbest","rastrigin",20,14,700,11,201.202305,0.010000
"DEbest","rastrigin",20,14,750,12,191.784229,0.010000
"DEbest","rastrigin",20,14,800,13,179.367488,0.010000
"DEbest","rastrigin",20,14,850,14,179.367488,0.010000
"DEbest","rastrigin",20,14,900,15,179.367488,0.010000
"DEbest","rastrigin",20,14,950,16,179.367488,0.010000
"DEbest","rastrigin",20,14,1000,17,179.367488,0.010000
"DEbest","rastrigin",20,14,1050,18,179.367488,0.010000
"DEbest","rastrigin",20,14,1100,19,179.367488,0.010000
"DEbest","rastrigin",20,14,1150,20,179.367488,0.020000
"DEbest","rastrigin",20,14,1200,21,179.367488,0.020000
"DEbest","rastrigin",20,14,1250,22,179.367488,0.020000
"DEbest","rastrigin",20,14,1300,23,179.367488,0.020000
"DEbest","rastrigin",20,14,1350,24,179.367488,0.020000
"DEbest","rastrigin",20,14,1400,25,179.367488,0.020000
"DEbest","rastrigin",20,14,1450,26,179.367488,0.020000
"DEbest","rastrigin",20,14,1500,27,169.737732,0.020000
"DEbest","rastrigin",20,14,1550,28,165.702381,0.020000
"DEbest","rastrigin",20,14,1600,29,165.702381,0.020000
"DEbest","rastrigin",20,14,1650,30,165.702381,0.020000
"DEbest","rastrigin",20,14,1700,31,165.702381,0.030000
"DEbest","rastrigin",20,14,1750,32,165.702381,0.030000
"DEbest","rastrigin",20,14,1800,33,165.702381,0.030000
"DEbest","rastrigin",20,14,1850,34,165.702381,0.030000
"DEbest","rastrigin",20,14,1900,35,165.702381,0.030000
"DEbest","rastrigin",20,14,1950,36,165.613681,0.030000
"DEbest","rastrigin",20,14,2000,37,163.146156,0.030000
"DEbest","rastrigin",20,14,2050,38,163.146156,0.030000
"DEbest","rastrigin",20,14,2100,39,143.810037,0.030000
"DEbest","rastrigin",20,14,2150,40,143.810037,0.030000
"DEbest","rastrigin",20,14,2200,41,143.810037,0.030000
"DEbest","rastrigin",20,14,2250,42,143.810037,0.040000
"DEbest","rastrigin",20,14,2300,43,117.855972,0.040000
"DEbest","rastrigin",20,14,2350,44,117.855972,0.040000
"DEbest","rastrigin",20,14,2400,45,117.855972,0.040000
"DEbest","rastrigin",20,14,2450,46,117.855972,0.040000
"DEbest","rastrigin",20,14,2500,47,117.855972,0.040000
"DEbest","rastrigin",20,14,2550,48,117.855972,0.040000
"DEbest","rastrigin",20,14,2600,49,117.855972,0.040000
"DEbest","rastrigin",20,14,2650,50,117.855972,0.040000
"DEbest","rastrigin",20,14,2700,51,117.855972,0.040000
"DEbest","rastrigin",20,14,2750,52,117.855972,0.040000
"DEbest","rastrigin",20,14,2800,53,117.855972,0.050000
"DEbest","rastrigin",20,14,2850,54,117.855972,0.050000
"DEbest","rastrigin",20,14,2900,55,117.855972,0.050000
"DEbest","rastrigin",20,14,2950,56,117.855972,0.050000
"DEbest","rastrigin",20,14,3000,57,117.855972,0.050000
"DEbest","rastrigin",20,14,3050,58,117.855972,0.050000
"DEbest","rastrigin",20,14,3100,59,88.714981,0.050000
"DEbest","rastrigin",20,14,3150,60,88.714981,0.050000
"DEbest","rastrigin",20,14,3200,61,88.714981,0.050000
"DEbest","rastrigin",20,14,3250,62,88.714981,0.050000
"DEbest","rastrigin",20,14,3300,63,88.714981,0.050000
"DEbest","rastrigin",20,14,3350,64,88.714981,0.060000
"DEbest","rastrigin",20,14,3400,65,88.714981,0.060000
"DEbest","rastrigin",20,14,3450,66,88.714981,0.060000
"DEbest","rastrigin",20,14,3500,67,88.714981,0.060000
"DEbest","rastrigin",20,14,3550,68,88.714981,0.060000
"DEbest","rastrigin",20,14,3600,69,88.714981,0.060000
"DEbest","rastrigin",20,14,3650,70,88.714981,0.060000
"DEbest","rastrigin",20,14,3700,71,88.714981,0.060000
"DEbest","rastrigin",20,14,3750,72,88.714981,0.060000
"DEbest","rastrigin",20,14,3800,73,88.714981,0.060000
"DEbest","rastrigin",20,14,3850,74,88.714981,0.060000
"DEbest","rastrigin",20,14,3900,75,88.714981,0.070000
"DEbest","rastrigin",20,14,3950,76,88.714981,0.070000
"DEbest","rastrigin",20,14,4000,77,88.714981,0.070000
"DEbest","rastrigin",20,14,4050,78,88.714981,0.070000
"DEbest","rastrigin",20,14,4100,79,88.714981,0.070000
"DEbest","rastrigin",20,14,4150,80,88.714981,0.070000
"DEbest","rastrigin",20,14,4200,81,88.714981,0.070000
"DEbest","rastrigin",20,14,4250,82,88.714981,0.070000
"DEbest","rastrigin",20,14,4300,83,88.714981,0.070000
"DEbest","rastrigin",20,14,4350,84,88.714981,0.070000
"DEbest","rastrigin",20,14,4400,85,88.714981,0.070000
"DEbest","rastrigin",20,14,4450,86,88.714981,0.070000
"DEbest","rastrigin",20,14,4500,87,88.714981,0.080000
"DEbest","rastrigin",20,14,4550,88,88.714981,0.080000
"DEbest","rastrigin",20,14,4600,89,88.714981,0.080000
"DEbest","rastrigin",20,14,4650,90,88.714981,0.080000
"DEbest","rastrigin",20,14,4700,91,88.714981,0.080000
"DEbest","rastrigin",20,14,4750,92,88.714981,0.080000
"DEbest","rastrigin",20,14,4800,93,88.714981,0.080000
"DEbest","rastrigin",20,14,4850,94,88.714981,0.080000
"DEbest","rastrigin",20,14,4900,95,88.714981,0.080000
"DEbest","rastrigin",20,14,4950,96,88.714981,0.080000
"DEbest","rastrigin",20,14,5000,97,88.714981,0.090000
