METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","rosen",5,10,80,1,95.379871,0.000000
"DEbest","rosen",5,10,100,2,95.379871,0.000000
"DEbest","rosen",5,10,120,3,95.379871,0.000000
"DEbest","rosen",5,10,140,4,37.905857,0.000000
"DEbest","rosen",5,10,160,5,37.905857,0.000000
"DEbest","rosen",5,10,180,6,37.905857,0.000000
"DEbest","rosen",5,10,200,7,37.905857,0.000000
"DEbest","rosen",5,10,220,8,37.905857,0.000000
"DEbest","rosen",5,10,240,9,30.547714,0.000000
"DEbest","rosen",5,10,260,10,26.657021,0.000000
"DEbest","rosen",5,10,280,11,10.644067,0.000000
"DEbest","rosen",5,10,300,12,10.418691,0.000000
"DEbest","rosen",5,10,320,13,7.679503,0.000000
"DEbest","rosen",5,10,340,14,5.523323,0.010000
"DEbest","rosen",5,10,360,15,5.523323,0.010000
"DEbest","rosen",5,10,380,16,5.523323,0.010000
"DEbest","rosen",5,10,400,17,5.344633,0.010000
"DEbest","rosen",5,10,420,18,5.344633,0.010000
"DEbest","rosen",5,10,440,19,4.919721,0.010000
"DEbest","rosen",5,10,460,20,4.919721,0.010000
"DEbest","rosen",5,10,480,21,4.823318,0.010000
"DEbest","rosen",5,10,500,22,4.823318,0.010000
"DEbest","rosen",5,10,520,23,4.755017,0.010000
"DEbest","rosen",5,10,540,24,4.755017,0.010000
"DEbest","rosen",5,10,560,25,4.734442,0.010000
"DEbest","rosen",5,10,580,26,4.726840,0.010000
"DEbest","rosen",5,10,600,27,4.676233,0.010000
"DEbest","rosen",5,10,620,28,4.662623,0.010000
"DEbest","rosen",5,10,640,29,4.662623,0.010000
"DEbest","rosen",5,10,660,30,4.662623,0.010000
"DEbest","rosen",5,10,680,31,4.662623,0.010000
"DEbest","rosen",5,10,700,32,4.662623,0.010000
"DEbest","rosen",5,10,720,33,4.661534,0.010000
"DEbest","rosen",5,10,740,34,4.655623,0.010000
"DEbest","rosen",5,10,760,35,4.655623,0.010000
"DEbest","rosen",5,10,780,36,4.654244,0.010000
"DEbest","rosen",5,10,800,37,4.654244,0.010000
"DEbest","rosen",5,10,820,38,4.654244,0.010000
"DEbest","rosen",5,10,840,39,4.651423,0.010000
"DEbest","rosen",5,10,860,40,4.649330,0.010000
"DEbest","rosen",5,10,880,41,4.643936,0.010000
"DEbest","rosen",5,10,900,42,4.641411,0.020000
"DEbest","rosen",5,10,920,43,4.641006,0.020000
"DEbest","rosen",5,10,940,44,4.641006,0.020000
"DEbest","rosen",5,10,960,45,4.636401,0.020000
"DEbest","rosen",5,10,980,46,4.630472,0.020000
"DEbest","rosen",5,10,1000,47,4.630472,0.020000
"DEbest","rosen",5,10,1020,48,4.630472,0.020000
"DEbest","rosen",5,10,1040,49,4.629820,0.020000
"DEbest","rosen",5,10,1060,50,4.629820,0.020000
"DEbest","rosen",5,10,1080,51,4.620953,0.020000
"DEbest","rosen",5,10,1100,52,4.620953,0.020000
"DEbest","rosen",5,10,1120,53,4.609831,0.020000
"DEbest","rosen",5,10,1140,54,4.609724,0.020000
"DEbest","rosen",5,10,1160,55,4.599982,0.020000
