METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","stybtang",15,11,200,1,204.471388,0.000000
"DEbest","stybtang",15,11,250,2,204.471388,0.000000
"DEbest","stybtang",15,11,300,3,204.471388,0.000000
"DEbest","stybtang",15,11,350,4,204.471388,0.000000
"DEbest","stybtang",15,11,400,5,204.471388,0.000000
"DEbest","stybtang",15,11,450,6,204.471388,0.000000
"DEbest","stybtang",15,11,500,7,204.234359,0.000000
"DEbest","stybtang",15,11,550,8,204.234359,0.010000
"DEbest","stybtang",15,11,600,9,204.234359,0.010000
"DEbest","stybtang",15,11,650,10,204.234359,0.010000
"DEbest","stybtang",15,11,700,11,204.234359,0.010000
"DEbest","stybtang",15,11,750,12,204.234359,0.010000
"DEbest","stybtang",15,11,800,13,204.234359,0.010000
"DEbest","stybtang",15,11,850,14,196.993947,0.010000
"DEbest","stybtang",15,11,900,15,172.156835,0.010000
"DEbest","stybtang",15,11,950,16,172.156835,0.010000
"DEbest","stybtang",15,11,1000,17,172.156835,0.010000
"DEbest","stybtang",15,11,1050,18,172.156835,0.020000
"DEbest","stybtang",15,11,1100,19,149.994584,0.020000
"DEbest","stybtang",15,11,1150,20,149.994584,0.020000
"DEbest","stybtang",15,11,1200,21,149.994584,0.020000
"DEbest","stybtang",15,11,1250,22,149.994584,0.020000
"DEbest","stybtang",15,11,1300,23,149.994584,0.020000
"DEbest","stybtang",15,11,1350,24,149.994584,0.020000
"DEbest","stybtang",15,11,1400,25,139.399541,0.020000
"DEbest","stybtang",15,11,1450,26,139.399541,0.020000
"DEbest","stybtang",15,11,1500,27,112.105109,0.020000
"DEbest","stybtang",15,11,1550,28,112.105109,0.030000
"DEbest","stybtang",15,11,1600,29,112.105109,0.030000
"DEbest","stybtang",15,11,1650,30,112.105109,0.030000
"DEbest","stybtang",15,11,1700,31,112.105109,0.030000
"DEbest","stybtang",15,11,1750,32,112.105109,0.030000
"DEbest","stybtang",15,11,1800,33,112.105109,0.030000
"DEbest","stybtang",15,11,1850,34,107.974850,0.030000
"DEbest","stybtang",15,11,1900,35,101.011862,0.030000
"DEbest","stybtang",15,11,1950,36,83.385216,0.030000
"DEbest","stybtang",15,11,2000,37,83.385216,0.030000
"DEbest","stybtang",15,11,2050,38,83.385216,0.040000
"DEbest","stybtang",15,11,2100,39,83.385216,0.040000
"DEbest","stybtang",15,11,2150,40,70.717734,0.040000
"DEbest","stybtang",15,11,2200,41,51.010879,0.040000
"DEbest","stybtang",15,11,2250,42,51.010879,0.040000
"DEbest","stybtang",15,11,2300,43,51.010879,0.040000
"DEbest","stybtang",15,11,2350,44,51.010879,0.040000
"DEbest","stybtang",15,11,2400,45,51.010879,0.040000
"DEbest","stybtang",15,11,2450,46,51.010879,0.040000
"DEbest","stybtang",15,11,2500,47,51.010879,0.040000
"DEbest","stybtang",15,11,2550,48,51.010879,0.050000
"DEbest","stybtang",15,11,2600,49,51.010879,0.050000
"DEbest","stybtang",15,11,2650,50,39.393508,0.050000
"DEbest","stybtang",15,11,2700,51,39.393508,0.050000
"DEbest","stybtang",15,11,2750,52,39.393508,0.050000
"DEbest","stybtang",15,11,2800,53,39.393508,0.050000
"DEbest","stybtang",15,11,2850,54,38.562680,0.050000
"DEbest","stybtang",15,11,2900,55,27.054599,0.050000
"DEbest","stybtang",15,11,2950,56,26.686264,0.050000
"DEbest","stybtang",15,11,3000,57,23.196299,0.050000
"DEbest","stybtang",15,11,3050,58,23.196299,0.050000
"DEbest","stybtang",15,11,3100,59,21.627391,0.060000
"DEbest","stybtang",15,11,3150,60,21.627391,0.060000
"DEbest","stybtang",15,11,3200,61,21.608767,0.060000
"DEbest","stybtang",15,11,3250,62,18.736889,0.060000
"DEbest","stybtang",15,11,3300,63,18.488911,0.060000
"DEbest","stybtang",15,11,3350,64,17.262878,0.060000
"DEbest","stybtang",15,11,3400,65,17.262878,0.060000
"DEbest","stybtang",15,11,3450,66,16.908922,0.060000
"DEbest","stybtang",15,11,3500,67,16.639396,0.060000
"DEbest","stybtang",15,11,3550,68,16.125139,0.060000
"DEbest","stybtang",15,11,3600,69,16.119756,0.070000
"DEbest","stybtang",15,11,3650,70,15.562663,0.070000
