METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","zakharov",15,13,200,1,248.673008,0.000000
"DEbest","zakharov",15,13,250,2,248.673008,0.000000
"DEbest","zakharov",15,13,300,3,170.822313,0.000000
"DEbest","zakharov",15,13,350,4,170.822313,0.000000
"DEbest","zakharov",15,13,400,5,170.822313,0.000000
"DEbest","zakharov",15,13,450,6,170.822313,0.000000
"DEbest","zakharov",15,13,500,7,149.693346,0.000000
"DEbest","zakharov",15,13,550,8,149.693346,0.000000
"DEbest","zakharov",15,13,600,9,149.693346,0.000000
"DEbest","zakharov",15,13,650,10,133.001075,0.010000
"DEbest","zakharov",15,13,700,11,133.001075,0.010000
"DEbest","zakharov",15,13,750,12,133.001075,0.010000
"DEbest","zakharov",15,13,800,13,133.001075,0.010000
"DEbest","zakharov",15,13,850,14,104.119780,0.010000
"DEbest","zakharov",15,13,900,15,92.127187,0.010000
"DEbest","zakharov",15,13,950,16,92.127187,0.010000
"DEbest","zakharov",15,13,1000,17,92.127187,0.010000
"DEbest","zakharov",15,13,1050,18,92.127187,0.010000
"DEbest","zakharov",15,13,1100,19,92.127187,0.010000
"DEbest","zakharov",15,13,1150,20,92.127187,0.010000
"DEbest","zakharov",15,13,1200,21,92.127187,0.010000
"DEbest","zakharov",15,13,1250,22,92.127187,0.020000
"DEbest","zakharov",15,13,1300,23,92.127187,0.020000
"DEbest","zakharov",15,13,1350,24,92.127187,0.020000
"DEbest","zakharov",15,13,1400,25,92.127187,0.020000
"DEbest","zakharov",15,13,1450,26,92.127187,0.020000
"DEbest","zakharov",15,13,1500,27,92.127187,0.020000
"DEbest","zakharov",15,13,1550,28,92.127187,0.020000
"DEbest","zakharov",15,13,1600,29,92.127187,0.020000
"DEbest","zakharov",15,13,1650,30,92.127187,0.020000
"DEbest","zakharov",15,13,1700,31,92.127187,0.020000
"DEbest","zakharov",15,13,1750,32,92.127187,0.020000
"DEbest","zakharov",15,13,1800,33,92.127187,0.020000
"DEbest","zakharov",15,13,1850,34,92.127187,0.030000
"DEbest","zakharov",15,13,1900,35,92.127187,0.030000
"DEbest","zakharov",15,13,1950,36,82.080402,0.030000
"DEbest","zakharov",15,13,2000,37,82.080402,0.030000
"DEbest","zakharov",15,13,2050,38,82.080402,0.030000
"DEbest","zakharov",15,13,2100,39,82.080402,0.030000
"DEbest","zakharov",15,13,2150,40,82.080402,0.030000
"DEbest","zakharov",15,13,2200,41,82.080402,0.030000
"DEbest","zakharov",15,13,2250,42,82.080402,0.030000
"DEbest","zakharov",15,13,2300,43,82.080402,0.030000
"DEbest","zakharov",15,13,2350,44,82.080402,0.030000
"DEbest","zakharov",15,13,2400,45,82.080402,0.030000
"DEbest","zakharov",15,13,2450,46,82.080402,0.040000
"DEbest","zakharov",15,13,2500,47,82.080402,0.040000
"DEbest","zakharov",15,13,2550,48,82.080402,0.040000
"DEbest","zakharov",15,13,2600,49,82.080402,0.040000
"DEbest","zakharov",15,13,2650,50,82.080402,0.040000
"DEbest","zakharov",15,13,2700,51,82.080402,0.040000
"DEbest","zakharov",15,13,2750,52,82.080402,0.040000
"DEbest","zakharov",15,13,2800,53,82.080402,0.040000
"DEbest","zakharov",15,13,2850,54,82.080402,0.040000
"DEbest","zakharov",15,13,2900,55,82.080402,0.040000
"DEbest","zakharov",15,13,2950,56,82.080402,0.040000
"DEbest","zakharov",15,13,3000,57,82.080402,0.040000
"DEbest","zakharov",15,13,3050,58,82.080402,0.050000
"DEbest","zakharov",15,13,3100,59,82.080402,0.050000
"DEbest","zakharov",15,13,3150,60,82.080402,0.050000
"DEbest","zakharov",15,13,3200,61,75.971714,0.050000
"DEbest","zakharov",15,13,3250,62,75.971714,0.050000
"DEbest","zakharov",15,13,3300,63,75.971714,0.050000
"DEbest","zakharov",15,13,3350,64,75.971714,0.050000
"DEbest","zakharov",15,13,3400,65,75.971714,0.050000
"DEbest","zakharov",15,13,3450,66,75.971714,0.050000
"DEbest","zakharov",15,13,3500,67,75.971714,0.050000
"DEbest","zakharov",15,13,3550,68,75.971714,0.050000
"DEbest","zakharov",15,13,3600,69,75.971714,0.050000
"DEbest","zakharov",15,13,3650,70,75.971714,0.060000
"DEbest","zakharov",15,13,3700,71,75.971714,0.060000
"DEbest","zakharov",15,13,3750,72,75.971714,0.060000
"DEbest","zakharov",15,13,3800,73,75.971714,0.060000
