METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","ackley",5,6,80,0,13.285117,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","ackley",5,6,100,1,13.285117,1.370523,0.010000,0.220000
"ordinary-kriging","k_nearest","ackley",5,6,120,2,8.675510,2.218084,0.010000,0.430000
"ordinary-kriging","k_nearest","ackley",5,6,140,3,8.626812,3.272150,0.020000,0.640000
"ordinary-kriging","k_nearest","ackley",5,6,160,4,3.808029,1.914283,0.000000,0.850000
"ordinary-kriging","k_nearest","ackley",5,6,180,5,3.808029,1.447897,0.000000,1.060000
"ordinary-kriging","k_nearest","ackley",5,6,200,6,2.429578,1.251885,0.010000,1.260000
"ordinary-kriging","k_nearest","ackley",5,6,220,7,2.429578,1.107151,0.010000,1.480000
"ordinary-kriging","k_nearest","ackley",5,6,240,8,1.788404,0.434601,0.010000,1.680000
"ordinary-kriging","k_nearest","ackley",5,6,260,9,1.213137,0.515291,0.010000,1.900000
"ordinary-kriging","k_nearest","ackley",5,6,280,10,0.883789,0.605867,0.010000,2.110000
"ordinary-kriging","k_nearest","ackley",5,6,300,11,0.241318,0.406550,0.010000,2.320000
"ordinary-kriging","k_nearest","ackley",5,6,320,12,0.231104,0.320299,0.010000,2.530000
"ordinary-kriging","k_nearest","ackley",5,6,340,13,0.174722,0.125347,0.010000,2.730000
"ordinary-kriging","k_nearest","ackley",5,6,360,14,0.051766,0.062661,0.010000,2.940000
"ordinary-kriging","k_nearest","ackley",5,6,380,15,0.049892,0.040166,0.010000,3.150000
"ordinary-kriging","k_nearest","ackley",5,6,400,16,0.035885,0.018667,0.010000,3.350000
"ordinary-kriging","k_nearest","ackley",5,6,420,17,0.023454,0.014258,0.010000,3.560000
"ordinary-kriging","k_nearest","ackley",5,6,440,18,0.023454,0.010221,0.010000,3.770000
"ordinary-kriging","k_nearest","ackley",5,6,460,19,0.013029,0.007662,0.010000,3.980000
"ordinary-kriging","k_nearest","ackley",5,6,480,20,0.012132,0.003185,0.010000,4.190000
"ordinary-kriging","k_nearest","ackley",5,6,500,21,0.009093,0.003883,0.010000,4.410000
"ordinary-kriging","k_nearest","ackley",5,6,520,22,0.004060,0.002951,0.010000,4.620000
"ordinary-kriging","k_nearest","ackley",5,6,540,23,0.003654,0.001628,0.010000,4.820000
"ordinary-kriging","k_nearest","ackley",5,6,560,24,0.001969,0.001387,0.010000,5.030000
"ordinary-kriging","k_nearest","ackley",5,6,580,25,0.001705,0.001048,0.010000,5.230000
"ordinary-kriging","k_nearest","ackley",5,6,600,26,0.001328,0.000534,0.010000,5.440000
"ordinary-kriging","k_nearest","ackley",5,6,620,27,0.000747,0.000532,0.010000,5.640000
"ordinary-kriging","k_nearest","ackley",5,6,640,28,0.000348,0.000437,0.010000,5.850000
"ordinary-kriging","k_nearest","ackley",5,6,660,29,0.000348,0.000226,0.010000,6.060000
"ordinary-kriging","k_nearest","ackley",5,6,680,30,0.000271,0.000165,0.010000,6.260000
"ordinary-kriging","k_nearest","ackley",5,6,700,31,0.000140,0.000166,0.000000,6.460000
"ordinary-kriging","k_nearest","ackley",5,6,720,32,0.000120,0.000091,0.000000,6.670000
"ordinary-kriging","k_nearest","ackley",5,6,740,33,0.000050,0.000054,0.000000,6.870000
"ordinary-kriging","k_nearest","ackley",5,6,760,34,0.000047,0.000035,0.000000,7.080000
"ordinary-kriging","k_nearest","ackley",5,6,780,35,0.000030,0.000029,0.000000,7.280000
"ordinary-kriging","k_nearest","ackley",5,6,800,36,0.000013,0.000012,0.010000,7.480000
"ordinary-kriging","k_nearest","ackley",5,6,820,37,0.000007,0.000014,0.010000,7.690000
"ordinary-kriging","k_nearest","ackley",5,6,840,38,0.000007,0.000007,0.010000,7.900000
"ordinary-kriging","k_nearest","ackley",5,6,860,39,0.000006,0.000004,0.010000,8.110000
"ordinary-kriging","k_nearest","ackley",5,6,880,40,0.000006,0.000003,0.010000,8.310000
"ordinary-kriging","k_nearest","ackley",5,6,900,41,0.000004,0.000001,0.010000,8.530000
"ordinary-kriging","k_nearest","ackley",5,6,920,42,0.000003,0.000001,0.010000,8.770000
"ordinary-kriging","k_nearest","ackley",5,6,940,43,0.000002,0.000000,0.010000,9.080000
"ordinary-kriging","k_nearest","ackley",5,6,960,44,0.000001,0.000000,0.010000,9.480000
"ordinary-kriging","k_nearest","ackley",5,6,980,45,0.000001,0.000000,0.010000,9.930000
"ordinary-kriging","k_nearest","ackley",5,6,1000,46,0.000000,0.000000,0.010000,10.380000
"ordinary-kriging","k_nearest","ackley",5,6,1020,47,0.000000,0.000000,0.010000,10.810000
"ordinary-kriging","k_nearest","ackley",5,6,1040,48,0.000000,0.000000,0.010000,11.230000
"ordinary-kriging","k_nearest","ackley",5,6,1060,49,0.000000,0.000000,0.010000,11.650000
"ordinary-kriging","k_nearest","ackley",5,6,1080,50,0.000000,0.000000,0.010000,12.090000
"ordinary-kriging","k_nearest","ackley",5,6,1100,51,0.000000,0.000000,0.010000,12.510000
"ordinary-kriging","k_nearest","ackley",5,6,1120,52,0.000000,0.000000,0.010000,12.920000
"ordinary-kriging","k_nearest","ackley",5,6,1140,53,0.000000,0.000000,0.010000,13.340000
"ordinary-kriging","k_nearest","ackley",5,6,1160,54,0.000000,0.000000,0.010000,13.760000
"ordinary-kriging","k_nearest","ackley",5,6,1180,55,0.000000,0.000000,0.010000,14.170000
"ordinary-kriging","k_nearest","ackley",5,6,1200,56,0.000000,0.000000,0.010000,14.590000
"ordinary-kriging","k_nearest","ackley",5,6,1220,57,0.000000,0.000000,0.010000,15.010000
"ordinary-kriging","k_nearest","ackley",5,6,1240,58,0.000000,0.000000,0.010000,15.430000
"ordinary-kriging","k_nearest","ackley",5,6,1260,59,0.000000,0.000000,0.010000,15.850000
"ordinary-kriging","k_nearest","ackley",5,6,1280,60,0.000000,0.000000,0.010000,16.290000
"ordinary-kriging","k_nearest","ackley",5,6,1300,61,0.000000,0.000000,0.010000,16.700000
