METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","dixonpr",20,16,200,0,427537.868890,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","dixonpr",20,16,250,1,410807.854220,331922.241324,0.020000,1.150000
"ordinary-kriging","k_nearest","dixonpr",20,16,300,2,98475.889459,283620.129689,0.020000,2.360000
"ordinary-kriging","k_nearest","dixonpr",20,16,350,3,25754.886423,165306.799596,0.030000,3.920000
"ordinary-kriging","k_nearest","dixonpr",20,16,400,4,25754.886423,128758.211860,0.020000,5.510000
"ordinary-kriging","k_nearest","dixonpr",20,16,450,5,18984.098340,62024.754793,0.020000,6.750000
"ordinary-kriging","k_nearest","dixonpr",20,16,500,6,14079.585856,44487.855990,0.020000,8.060000
"ordinary-kriging","k_nearest","dixonpr",20,16,550,7,6248.950481,19307.336300,0.020000,9.110000
"ordinary-kriging","k_nearest","dixonpr",20,16,600,8,4240.152469,14166.372788,0.020000,10.220000
"ordinary-kriging","k_nearest","dixonpr",20,16,650,9,2462.096784,7223.159940,0.020000,11.400000
"ordinary-kriging","k_nearest","dixonpr",20,16,700,10,1343.529423,2608.407382,0.020000,12.410000
"ordinary-kriging","k_nearest","dixonpr",20,16,750,11,860.952327,1796.142226,0.020000,13.560000
"ordinary-kriging","k_nearest","dixonpr",20,16,800,12,586.822716,800.345334,0.020000,14.810000
"ordinary-kriging","k_nearest","dixonpr",20,16,850,13,454.367819,340.989837,0.020000,16.050000
"ordinary-kriging","k_nearest","dixonpr",20,16,900,14,254.162483,346.684860,0.020000,17.280000
"ordinary-kriging","k_nearest","dixonpr",20,16,950,15,197.309370,172.892151,0.020000,18.510000
"ordinary-kriging","k_nearest","dixonpr",20,16,1000,16,113.032247,81.443479,0.020000,19.550000
"ordinary-kriging","k_nearest","dixonpr",20,16,1050,17,81.249504,61.123155,0.020000,20.800000
"ordinary-kriging","k_nearest","dixonpr",20,16,1100,18,76.291050,65.632662,0.020000,21.920000
"ordinary-kriging","k_nearest","dixonpr",20,16,1150,19,73.314328,17.135128,0.020000,23.120000
"ordinary-kriging","k_nearest","dixonpr",20,16,1200,20,52.542368,13.919318,0.030000,24.190000
"ordinary-kriging","k_nearest","dixonpr",20,16,1250,21,39.733979,13.840806,0.020000,25.390000
"ordinary-kriging","k_nearest","dixonpr",20,16,1300,22,32.043173,8.096687,0.020000,26.600000
"ordinary-kriging","k_nearest","dixonpr",20,16,1350,23,29.696541,6.539639,0.020000,27.770000
"ordinary-kriging","k_nearest","dixonpr",20,16,1400,24,27.420623,3.768339,0.020000,28.990000
"ordinary-kriging","k_nearest","dixonpr",20,16,1450,25,24.081787,2.033301,0.020000,30.050000
"ordinary-kriging","k_nearest","dixonpr",20,16,1500,26,21.187130,2.783833,0.020000,31.160000
"ordinary-kriging","k_nearest","dixonpr",20,16,1550,27,17.491503,2.493459,0.020000,32.080000
"ordinary-kriging","k_nearest","dixonpr",20,16,1600,28,15.205210,2.426826,0.020000,32.980000
"ordinary-kriging","k_nearest","dixonpr",20,16,1650,29,14.235205,1.319259,0.020000,34.100000
"ordinary-kriging","k_nearest","dixonpr",20,16,1700,30,12.913965,0.961007,0.020000,35.040000
"ordinary-kriging","k_nearest","dixonpr",20,16,1750,31,10.828451,1.538467,0.020000,36.080000
"ordinary-kriging","k_nearest","dixonpr",20,16,1800,32,9.636162,1.113050,0.020000,37.250000
"ordinary-kriging","k_nearest","dixonpr",20,16,1850,33,8.719182,0.629821,0.020000,38.230000
"ordinary-kriging","k_nearest","dixonpr",20,16,1900,34,8.087319,0.616194,0.020000,39.400000
"ordinary-kriging","k_nearest","dixonpr",20,16,1950,35,7.569540,0.631170,0.020000,40.530000
"ordinary-kriging","k_nearest","dixonpr",20,16,2000,36,6.855924,0.341141,0.020000,41.540000
"ordinary-kriging","k_nearest","dixonpr",20,16,2050,37,6.692191,0.246256,0.020000,42.690000
"ordinary-kriging","k_nearest","dixonpr",20,16,2100,38,6.432107,0.251042,0.020000,43.830000
"ordinary-kriging","k_nearest","dixonpr",20,16,2150,39,6.213546,0.183480,0.020000,45.090000
"ordinary-kriging","k_nearest","dixonpr",20,16,2200,40,5.985673,0.127064,0.020000,46.170000
"ordinary-kriging","k_nearest","dixonpr",20,16,2250,41,5.762163,0.163524,0.020000,47.300000
"ordinary-kriging","k_nearest","dixonpr",20,16,2300,42,5.636392,0.143443,0.020000,48.370000
"ordinary-kriging","k_nearest","dixonpr",20,16,2350,43,5.527200,0.164832,0.020000,49.560000
"ordinary-kriging","k_nearest","dixonpr",20,16,2400,44,5.230289,0.100370,0.020000,50.560000
"ordinary-kriging","k_nearest","dixonpr",20,16,2450,45,5.045789,0.131293,0.020000,51.890000
"ordinary-kriging","k_nearest","dixonpr",20,16,2500,46,4.974070,0.158049,0.020000,53.100000
"ordinary-kriging","k_nearest","dixonpr",20,16,2550,47,4.861534,0.068698,0.020000,54.090000
"ordinary-kriging","k_nearest","dixonpr",20,16,2600,48,4.745258,0.061674,0.020000,55.160000
"ordinary-kriging","k_nearest","dixonpr",20,16,2650,49,4.609106,0.112134,0.020000,56.340000
"ordinary-kriging","k_nearest","dixonpr",20,16,2700,50,4.425078,0.094505,0.020000,57.570000
"ordinary-kriging","k_nearest","dixonpr",20,16,2750,51,4.311349,0.092376,0.030000,58.810000
"ordinary-kriging","k_nearest","dixonpr",20,16,2800,52,4.169897,0.090190,0.020000,60.000000
"ordinary-kriging","k_nearest","dixonpr",20,16,2850,53,4.066762,0.061874,0.030000,61.150000
"ordinary-kriging","k_nearest","dixonpr",20,16,2900,54,3.968338,0.056669,0.020000,62.400000
"ordinary-kriging","k_nearest","dixonpr",20,16,2950,55,3.886486,0.062104,0.020000,63.590000
"ordinary-kriging","k_nearest","dixonpr",20,16,3000,56,3.839105,0.068677,0.010000,64.710000
"ordinary-kriging","k_nearest","dixonpr",20,16,3050,57,3.739344,0.036168,0.030000,65.960000
"ordinary-kriging","k_nearest","dixonpr",20,16,3100,58,3.642558,0.049862,0.020000,67.230000
"ordinary-kriging","k_nearest","dixonpr",20,16,3150,59,3.577871,0.042134,0.030000,68.530000
"ordinary-kriging","k_nearest","dixonpr",20,16,3200,60,3.485905,0.036860,0.020000,69.820000
"ordinary-kriging","k_nearest","dixonpr",20,16,3250,61,3.452186,0.051139,0.020000,70.950000
"ordinary-kriging","k_nearest","dixonpr",20,16,3300,62,3.382088,0.032414,0.020000,71.910000
"ordinary-kriging","k_nearest","dixonpr",20,16,3350,63,3.304794,0.038064,0.020000,73.030000
"ordinary-kriging","k_nearest","dixonpr",20,16,3400,64,3.253518,0.043057,0.020000,74.180000
"ordinary-kriging","k_nearest","dixonpr",20,16,3450,65,3.215656,0.025218,0.020000,75.450000
"ordinary-kriging","k_nearest","dixonpr",20,16,3500,66,3.155533,0.025002,0.020000,76.730000
"ordinary-kriging","k_nearest","dixonpr",20,16,3550,67,3.125862,0.028541,0.020000,77.910000
"ordinary-kriging","k_nearest","dixonpr",20,16,3600,68,3.091253,0.022369,0.020000,78.860000
"ordinary-kriging","k_nearest","dixonpr",20,16,3650,69,3.056684,0.016717,0.020000,79.830000
"ordinary-kriging","k_nearest","dixonpr",20,16,3700,70,3.037831,0.019795,0.020000,80.830000
"ordinary-kriging","k_nearest","dixonpr",20,16,3750,71,3.013338,0.012710,0.030000,81.920000
"ordinary-kriging","k_nearest","dixonpr",20,16,3800,72,2.989376,0.016035,0.020000,83.220000
"ordinary-kriging","k_nearest","dixonpr",20,16,3850,73,2.964431,0.018107,0.020000,84.550000
"ordinary-kriging","k_nearest","dixonpr",20,16,3900,74,2.947743,0.010062,0.020000,85.850000
"ordinary-kriging","k_nearest","dixonpr",20,16,3950,75,2.928530,0.016065,0.020000,86.980000
"ordinary-kriging","k_nearest","dixonpr",20,16,4000,76,2.917040,0.010672,0.020000,88.000000
"ordinary-kriging","k_nearest","dixonpr",20,16,4050,77,2.894606,0.007356,0.020000,89.190000
"ordinary-kriging","k_nearest","dixonpr",20,16,4100,78,2.888320,0.008375,0.020000,90.350000
"ordinary-kriging","k_nearest","dixonpr",20,16,4150,79,2.878492,0.008523,0.020000,91.470000
"ordinary-kriging","k_nearest","dixonpr",20,16,4200,80,2.866363,0.005411,0.020000,92.560000
"ordinary-kriging","k_nearest","dixonpr",20,16,4250,81,2.855732,0.006141,0.020000,93.620000
"ordinary-kriging","k_nearest","dixonpr",20,16,4300,82,2.844950,0.006065,0.030000,94.820000
"ordinary-kriging","k_nearest","dixonpr",20,16,4350,83,2.831433,0.007827,0.020000,95.950000
"ordinary-kriging","k_nearest","dixonpr",20,16,4400,84,2.821754,0.008022,0.020000,97.130000
"ordinary-kriging","k_nearest","dixonpr",20,16,4450,85,2.815769,0.005916,0.030000,98.370000
"ordinary-kriging","k_nearest","dixonpr",20,16,4500,86,2.804737,0.004624,0.020000,99.360000
"ordinary-kriging","k_nearest","dixonpr",20,16,4550,87,2.798505,0.005487,0.020000,100.460000
"ordinary-kriging","k_nearest","dixonpr",20,16,4600,88,2.792743,0.003920,0.020000,101.490000
"ordinary-kriging","k_nearest","dixonpr",20,16,4650,89,2.785789,0.004156,0.020000,102.580000
"ordinary-kriging","k_nearest","dixonpr",20,16,4700,90,2.779767,0.003669,0.020000,103.540000
"ordinary-kriging","k_nearest","dixonpr",20,16,4750,91,2.774966,0.003611,0.020000,104.500000
"ordinary-kriging","k_nearest","dixonpr",20,16,4800,92,2.767334,0.003326,0.020000,105.620000
"ordinary-kriging","k_nearest","dixonpr",20,16,4850,93,2.764359,0.005370,0.020000,106.830000
"ordinary-kriging","k_nearest","dixonpr",20,16,4900,94,2.761570,0.001917,0.020000,107.900000
"ordinary-kriging","k_nearest","dixonpr",20,16,4950,95,2.758983,0.001107,0.020000,109.200000
"ordinary-kriging","k_nearest","dixonpr",20,16,5000,96,2.756148,0.001219,0.020000,110.480000
