METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","elipsoid",2,5,80,0,1.524995,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","elipsoid",2,5,100,1,0.022699,1.419179,0.010000,0.200000
"ordinary-kriging","k_nearest","elipsoid",2,5,120,2,0.019874,1.564198,0.010000,0.400000
"ordinary-kriging","k_nearest","elipsoid",2,5,140,3,0.000697,0.476774,0.010000,0.590000
"ordinary-kriging","k_nearest","elipsoid",2,5,160,4,0.000632,0.090294,0.010000,0.780000
"ordinary-kriging","k_nearest","elipsoid",2,5,180,5,0.000082,0.014261,0.010000,0.980000
"ordinary-kriging","k_nearest","elipsoid",2,5,200,6,0.000045,0.001244,0.000000,1.170000
"ordinary-kriging","k_nearest","elipsoid",2,5,220,7,0.000036,0.000233,0.000000,1.370000
"ordinary-kriging","k_nearest","elipsoid",2,5,240,8,0.000001,0.000065,0.000000,1.560000
"ordinary-kriging","k_nearest","elipsoid",2,5,260,9,0.000000,0.000025,0.010000,1.760000
"ordinary-kriging","k_nearest","elipsoid",2,5,280,10,0.000000,0.000009,0.010000,1.960000
"ordinary-kriging","k_nearest","elipsoid",2,5,300,11,0.000000,0.000003,0.010000,2.180000
"ordinary-kriging","k_nearest","elipsoid",2,5,320,12,0.000000,0.000002,0.010000,2.460000
"ordinary-kriging","k_nearest","elipsoid",2,5,340,13,0.000000,0.000000,0.010000,2.810000
"ordinary-kriging","k_nearest","elipsoid",2,5,360,14,0.000000,0.000000,0.010000,3.320000
"ordinary-kriging","k_nearest","elipsoid",2,5,380,15,0.000000,0.000000,0.010000,4.020000
"ordinary-kriging","k_nearest","elipsoid",2,5,400,16,0.000000,0.000000,0.010000,4.980000
"ordinary-kriging","k_nearest","elipsoid",2,5,420,17,0.000000,0.000000,0.010000,6.240000
"ordinary-kriging","k_nearest","elipsoid",2,5,440,18,0.000000,0.000000,0.010000,7.770000
"ordinary-kriging","k_nearest","elipsoid",2,5,460,19,0.000000,0.000000,0.010000,9.560000
"ordinary-kriging","k_nearest","elipsoid",2,5,480,20,0.000000,0.000000,0.010000,11.330000
"ordinary-kriging","k_nearest","elipsoid",2,5,500,21,0.000000,0.000000,0.000000,13.130000
"ordinary-kriging","k_nearest","elipsoid",2,5,520,22,0.000000,0.000000,0.000000,14.920000
"ordinary-kriging","k_nearest","elipsoid",2,5,540,23,0.000000,0.000000,0.010000,16.720000
"ordinary-kriging","k_nearest","elipsoid",2,5,560,24,0.000000,0.000000,0.010000,18.550000
"ordinary-kriging","k_nearest","elipsoid",2,5,580,25,0.000000,0.000000,0.020000,20.410000
"ordinary-kriging","k_nearest","elipsoid",2,5,600,26,0.000000,0.000000,0.000000,22.280000
"ordinary-kriging","k_nearest","elipsoid",2,5,620,27,0.000000,0.000000,0.000000,24.150000
"ordinary-kriging","k_nearest","elipsoid",2,5,640,28,0.000000,0.000000,0.000000,26.060000
"ordinary-kriging","k_nearest","elipsoid",2,5,660,29,0.000000,0.000000,0.000000,27.970000
"ordinary-kriging","k_nearest","elipsoid",2,5,680,30,0.000000,0.000000,0.010000,29.870000
"ordinary-kriging","k_nearest","elipsoid",2,5,700,31,0.000000,0.000000,0.010000,31.790000
"ordinary-kriging","k_nearest","elipsoid",2,5,720,32,0.000000,0.000000,0.010000,34.570000
"ordinary-kriging","k_nearest","elipsoid",2,5,740,33,0.000000,0.000000,0.010000,36.560000
"ordinary-kriging","k_nearest","elipsoid",2,5,760,34,0.000000,0.000000,0.010000,38.540000
"ordinary-kriging","k_nearest","elipsoid",2,5,780,35,0.000000,0.000000,0.010000,40.500000
"ordinary-kriging","k_nearest","elipsoid",2,5,800,36,0.000000,0.000000,0.010000,42.450000
"ordinary-kriging","k_nearest","elipsoid",2,5,820,37,0.000000,0.000000,0.000000,44.400000
"ordinary-kriging","k_nearest","elipsoid",2,5,840,38,0.000000,0.000000,0.000000,46.370000
"ordinary-kriging","k_nearest","elipsoid",2,5,860,39,0.000000,0.000000,0.010000,48.320000
"ordinary-kriging","k_nearest","elipsoid",2,5,880,40,0.000000,0.000000,0.010000,50.260000
"ordinary-kriging","k_nearest","elipsoid",2,5,900,41,0.000000,0.000000,0.010000,52.110000
"ordinary-kriging","k_nearest","elipsoid",2,5,920,42,0.000000,0.000000,0.010000,54.050000
"ordinary-kriging","k_nearest","elipsoid",2,5,940,43,0.000000,0.000000,0.010000,56.040000
"ordinary-kriging","k_nearest","elipsoid",2,5,960,44,0.000000,0.000000,0.010000,58.420000
"ordinary-kriging","k_nearest","elipsoid",2,5,980,45,0.000000,0.000000,0.010000,60.290000
"ordinary-kriging","k_nearest","elipsoid",2,5,1000,46,0.000000,0.000000,0.010000,62.180000
