METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","griewank",15,6,200,0,227.165714,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","griewank",15,6,220,1,159.411832,73.510092,0.020000,0.340000
"ordinary-kriging","k_nearest","griewank",15,6,240,2,97.087125,58.026696,0.010000,0.670000
"ordinary-kriging","k_nearest","griewank",15,6,260,3,50.083487,23.378321,0.020000,1.040000
"ordinary-kriging","k_nearest","griewank",15,6,280,4,49.231803,10.391847,0.010000,1.320000
"ordinary-kriging","k_nearest","griewank",15,6,300,5,24.826734,10.830245,0.020000,1.620000
"ordinary-kriging","k_nearest","griewank",15,6,320,6,21.773753,7.388914,0.020000,1.930000
"ordinary-kriging","k_nearest","griewank",15,6,340,7,10.129181,4.494611,0.010000,2.310000
"ordinary-kriging","k_nearest","griewank",15,6,360,8,6.654121,2.917912,0.020000,2.680000
"ordinary-kriging","k_nearest","griewank",15,6,380,9,5.231186,0.957529,0.010000,2.970000
"ordinary-kriging","k_nearest","griewank",15,6,400,10,4.695039,0.649178,0.010000,3.340000
"ordinary-kriging","k_nearest","griewank",15,6,420,11,4.046074,0.483504,0.020000,3.700000
"ordinary-kriging","k_nearest","griewank",15,6,440,12,3.564476,0.376981,0.010000,4.080000
"ordinary-kriging","k_nearest","griewank",15,6,460,13,3.346733,0.198758,0.020000,4.460000
"ordinary-kriging","k_nearest","griewank",15,6,480,14,3.165446,0.115093,0.010000,4.760000
"ordinary-kriging","k_nearest","griewank",15,6,500,15,2.894904,0.119269,0.010000,5.080000
"ordinary-kriging","k_nearest","griewank",15,6,520,16,2.783863,0.249350,0.020000,5.410000
"ordinary-kriging","k_nearest","griewank",15,6,540,17,2.596633,0.127354,0.010000,5.780000
"ordinary-kriging","k_nearest","griewank",15,6,560,18,2.393419,0.072592,0.020000,6.170000
"ordinary-kriging","k_nearest","griewank",15,6,580,19,2.098382,0.153340,0.020000,6.570000
"ordinary-kriging","k_nearest","griewank",15,6,600,20,1.974661,0.074897,0.010000,6.870000
"ordinary-kriging","k_nearest","griewank",15,6,620,21,1.901138,0.115030,0.020000,7.210000
"ordinary-kriging","k_nearest","griewank",15,6,640,22,1.777618,0.055532,0.020000,7.620000
"ordinary-kriging","k_nearest","griewank",15,6,660,23,1.635213,0.056304,0.010000,8.040000
"ordinary-kriging","k_nearest","griewank",15,6,680,24,1.574746,0.050044,0.010000,8.450000
"ordinary-kriging","k_nearest","griewank",15,6,700,25,1.482730,0.057677,0.010000,8.850000
"ordinary-kriging","k_nearest","griewank",15,6,720,26,1.433975,0.050874,0.020000,9.250000
"ordinary-kriging","k_nearest","griewank",15,6,740,27,1.406534,0.016114,0.010000,9.550000
