METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","levy",10,14,80,0,22.803158,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","levy",10,14,100,1,22.446424,27.167638,0.020000,0.290000
"ordinary-kriging","k_nearest","levy",10,14,120,2,22.446424,26.721878,0.010000,0.530000
"ordinary-kriging","k_nearest","levy",10,14,140,3,17.622340,18.195755,0.010000,0.780000
"ordinary-kriging","k_nearest","levy",10,14,160,4,17.446274,16.277403,0.010000,1.040000
"ordinary-kriging","k_nearest","levy",10,14,180,5,3.042753,13.411736,0.010000,1.290000
"ordinary-kriging","k_nearest","levy",10,14,200,6,3.042753,10.677988,0.010000,1.550000
"ordinary-kriging","k_nearest","levy",10,14,220,7,3.042753,4.583113,0.010000,1.800000
"ordinary-kriging","k_nearest","levy",10,14,240,8,2.469803,2.073541,0.010000,2.040000
"ordinary-kriging","k_nearest","levy",10,14,260,9,2.072042,1.643444,0.010000,2.340000
"ordinary-kriging","k_nearest","levy",10,14,280,10,2.002815,1.002182,0.010000,2.590000
"ordinary-kriging","k_nearest","levy",10,14,300,11,1.861235,0.474732,0.010000,2.860000
"ordinary-kriging","k_nearest","levy",10,14,320,12,1.503637,0.866294,0.020000,3.110000
"ordinary-kriging","k_nearest","levy",10,14,340,13,1.037005,0.812519,0.010000,3.360000
"ordinary-kriging","k_nearest","levy",10,14,360,14,1.037005,0.821473,0.010000,3.600000
"ordinary-kriging","k_nearest","levy",10,14,380,15,0.931721,0.351408,0.010000,3.850000
"ordinary-kriging","k_nearest","levy",10,14,400,16,0.841631,0.199903,0.010000,4.120000
"ordinary-kriging","k_nearest","levy",10,14,420,17,0.757843,0.102895,0.010000,4.360000
"ordinary-kriging","k_nearest","levy",10,14,440,18,0.630635,0.101584,0.010000,4.610000
"ordinary-kriging","k_nearest","levy",10,14,460,19,0.548382,0.063105,0.010000,4.870000
"ordinary-kriging","k_nearest","levy",10,14,480,20,0.515874,0.050286,0.010000,5.170000
"ordinary-kriging","k_nearest","levy",10,14,500,21,0.503586,0.020245,0.010000,5.430000
"ordinary-kriging","k_nearest","levy",10,14,520,22,0.477293,0.017956,0.010000,5.720000
"ordinary-kriging","k_nearest","levy",10,14,540,23,0.469301,0.004722,0.000000,6.050000
"ordinary-kriging","k_nearest","levy",10,14,560,24,0.462776,0.002864,0.010000,6.330000
"ordinary-kriging","k_nearest","levy",10,14,580,25,0.460011,0.004208,0.010000,6.620000
"ordinary-kriging","k_nearest","levy",10,14,600,26,0.457713,0.001469,0.010000,6.870000
"ordinary-kriging","k_nearest","levy",10,14,620,27,0.457310,0.000814,0.010000,7.170000
"ordinary-kriging","k_nearest","levy",10,14,640,28,0.456235,0.000754,0.010000,7.460000
"ordinary-kriging","k_nearest","levy",10,14,660,29,0.455605,0.000583,0.010000,7.760000
"ordinary-kriging","k_nearest","levy",10,14,680,30,0.455188,0.000317,0.010000,8.060000
"ordinary-kriging","k_nearest","levy",10,14,700,31,0.454892,0.000324,0.010000,8.380000
"ordinary-kriging","k_nearest","levy",10,14,720,32,0.454594,0.000077,0.010000,8.630000
"ordinary-kriging","k_nearest","levy",10,14,740,33,0.454404,0.000135,0.010000,8.910000
"ordinary-kriging","k_nearest","levy",10,14,760,34,0.454362,0.000050,0.010000,9.240000
"ordinary-kriging","k_nearest","levy",10,14,780,35,0.454346,0.000019,0.010000,9.510000
"ordinary-kriging","k_nearest","levy",10,14,800,36,0.454341,0.000013,0.010000,9.760000
"ordinary-kriging","k_nearest","levy",10,14,820,37,0.454335,0.000007,0.010000,10.040000
"ordinary-kriging","k_nearest","levy",10,14,840,38,0.454328,0.000005,0.010000,10.340000
"ordinary-kriging","k_nearest","levy",10,14,860,39,0.454326,0.000002,0.010000,10.620000
"ordinary-kriging","k_nearest","levy",10,14,880,40,0.454326,0.000002,0.010000,10.870000
"ordinary-kriging","k_nearest","levy",10,14,900,41,0.454326,0.000001,0.010000,11.170000
"ordinary-kriging","k_nearest","levy",10,14,920,42,0.454325,0.000001,0.010000,11.430000
"ordinary-kriging","k_nearest","levy",10,14,940,43,0.454325,0.000000,0.010000,11.750000
"ordinary-kriging","k_nearest","levy",10,14,960,44,0.454324,0.000000,0.010000,12.090000
"ordinary-kriging","k_nearest","levy",10,14,980,45,0.454324,0.000000,0.010000,12.650000
"ordinary-kriging","k_nearest","levy",10,14,1000,46,0.454324,0.000000,0.010000,13.480000
"ordinary-kriging","k_nearest","levy",10,14,1020,47,0.454324,0.000000,0.010000,14.630000
"ordinary-kriging","k_nearest","levy",10,14,1040,48,0.454324,0.000000,0.000000,16.160000
"ordinary-kriging","k_nearest","levy",10,14,1060,49,0.454324,0.000000,0.010000,18.320000
"ordinary-kriging","k_nearest","levy",10,14,1080,50,0.454324,0.000000,0.010000,20.750000
"ordinary-kriging","k_nearest","levy",10,14,1100,51,0.454324,0.000000,0.010000,23.210000
"ordinary-kriging","k_nearest","levy",10,14,1120,52,0.454324,0.000000,0.010000,25.680000
"ordinary-kriging","k_nearest","levy",10,14,1140,53,0.454324,0.000000,0.010000,28.170000
"ordinary-kriging","k_nearest","levy",10,14,1160,54,0.454324,0.000000,0.010000,30.640000
"ordinary-kriging","k_nearest","levy",10,14,1180,55,0.454324,0.000000,0.010000,33.150000
"ordinary-kriging","k_nearest","levy",10,14,1200,56,0.454324,0.000000,0.010000,35.560000
"ordinary-kriging","k_nearest","levy",10,14,1220,57,0.454324,0.000000,0.010000,37.960000
"ordinary-kriging","k_nearest","levy",10,14,1240,58,0.454324,0.000000,0.010000,40.430000
"ordinary-kriging","k_nearest","levy",10,14,1260,59,0.454324,0.000000,0.010000,42.900000
"ordinary-kriging","k_nearest","levy",10,14,1280,60,0.454324,0.000000,0.010000,45.360000
"ordinary-kriging","k_nearest","levy",10,14,1300,61,0.454324,0.000000,0.010000,47.840000
"ordinary-kriging","k_nearest","levy",10,14,1320,62,0.454324,0.000000,0.010000,50.330000
"ordinary-kriging","k_nearest","levy",10,14,1340,63,0.454324,0.000000,0.010000,52.850000
"ordinary-kriging","k_nearest","levy",10,14,1360,64,0.454324,0.000000,0.010000,55.230000
"ordinary-kriging","k_nearest","levy",10,14,1380,65,0.454324,0.000000,0.010000,57.430000
"ordinary-kriging","k_nearest","levy",10,14,1400,66,0.454324,0.000000,0.010000,59.630000
"ordinary-kriging","k_nearest","levy",10,14,1420,67,0.454324,0.000000,0.010000,61.860000
"ordinary-kriging","k_nearest","levy",10,14,1440,68,0.454324,0.000000,0.010000,64.100000
"ordinary-kriging","k_nearest","levy",10,14,1460,69,0.454324,0.000000,0.010000,66.310000
"ordinary-kriging","k_nearest","levy",10,14,1480,70,0.454324,0.000000,0.010000,68.500000
"ordinary-kriging","k_nearest","levy",10,14,1500,71,0.454324,0.000000,0.010000,70.670000
"ordinary-kriging","k_nearest","levy",10,14,1520,72,0.454324,0.000000,0.010000,72.860000
"ordinary-kriging","k_nearest","levy",10,14,1540,73,0.454324,0.000000,0.010000,75.060000
"ordinary-kriging","k_nearest","levy",10,14,1560,74,0.454324,0.000000,0.010000,77.270000
