METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","perm0db",20,2,200,0,125247177539618545108716733300331371093806473543680.000000,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","perm0db",20,2,250,1,125247177539618545108716733300331371093806473543680.000000,21169878820987422951280129590226755817523678173263298560.000000,0.020000,1.130000
"ordinary-kriging","k_nearest","perm0db",20,2,300,2,13847219973354072302208547860036453191211913576448.000000,8492353427077086217946537493103693477568279091473285120.000000,0.030000,2.140000
"ordinary-kriging","k_nearest","perm0db",20,2,350,3,13668467479167608983256266624423752259307353145344.000000,10365285184527616212046889902416673285835739394182479872.000000,0.020000,3.280000
"ordinary-kriging","k_nearest","perm0db",20,2,400,4,2384370408345088688710402600940626269682714804224.000000,10836687511581681725195506190559176586888238486507225088.000000,0.020000,4.460000
"ordinary-kriging","k_nearest","perm0db",20,2,450,5,552220468260800838297811519592899117537053114368.000000,4048314619984804741647028966629243528297345050166165504.000000,0.020000,5.710000
"ordinary-kriging","k_nearest","perm0db",20,2,500,6,77482182938464270578890177876312447099338752.000000,2306263209605103565707346444397444534407576750544388096.000000,0.020000,6.970000
"ordinary-kriging","k_nearest","perm0db",20,2,550,7,5715746491720227610375315580208689237196800.000000,663964280259767872644338703887845184992513432903221248.000000,0.030000,8.290000
"ordinary-kriging","k_nearest","perm0db",20,2,600,8,761746181185394689324350809076927335235584.000000,678615820278918812561445203987765080584614998863511552.000000,0.020000,9.470000
"ordinary-kriging","k_nearest","perm0db",20,2,650,9,186180365854666914224877100096896658046976.000000,129511341303768275794465440421436043670774286859108352.000000,0.020000,10.760000
"ordinary-kriging","k_nearest","perm0db",20,2,700,10,7252679726101438647460847574382739980288.000000,5326768206686912496258551142158172081692412502605824.000000,0.020000,12.020000
"ordinary-kriging","k_nearest","perm0db",20,2,750,11,4049421653994366054285991539592134656.000000,3973579193337632135274811073374811894998157550944256.000000,0.020000,13.270000
"ordinary-kriging","k_nearest","perm0db",20,2,800,12,137905068287554932028204343487365120.000000,70409486115722139901857874780983517656736492435800064.000000,0.020000,14.510000
"ordinary-kriging","k_nearest","perm0db",20,2,850,13,137905068287554932028204343487365120.000000,217997188095225707183947701252536129737357906673664.000000,0.020000,15.750000
"ordinary-kriging","k_nearest","perm0db",20,2,900,14,1107113182790909211083915919360.000000,853619989752708255873337659005224170766263648256.000000,0.020000,17.010000
"ordinary-kriging","k_nearest","perm0db",20,2,950,15,277398449221835386419257802752.000000,693599194859730103765162156911720530064753819648.000000,0.020000,18.200000
"ordinary-kriging","k_nearest","perm0db",20,2,1000,16,408572331574343232699498496.000000,676564494809739462909022498653877754382428143616.000000,0.020000,19.380000
"ordinary-kriging","k_nearest","perm0db",20,2,1050,17,2550874017417766732038144.000000,18726562107369686391327454231899693645824.000000,0.020000,20.540000
"ordinary-kriging","k_nearest","perm0db",20,2,1100,18,2668477544133692489728.000000,348268419200038006208324806639246901248.000000,0.020000,21.740000
"ordinary-kriging","k_nearest","perm0db",20,2,1150,19,13088814058333668.000000,1103353325739348277266388846978793472.000000,0.020000,22.930000
"ordinary-kriging","k_nearest","perm0db",20,2,1200,20,13088814058333668.000000,3236846639555757576266464381370368.000000,0.020000,24.150000
"ordinary-kriging","k_nearest","perm0db",20,2,1250,21,144913581446000.625000,57218441217076729008908915835928576.000000,0.020000,25.340000
"ordinary-kriging","k_nearest","perm0db",20,2,1300,22,126471699050633.968750,8647603633618429831313132607242240.000000,0.020000,26.560000
"ordinary-kriging","k_nearest","perm0db",20,2,1350,23,13084453174172.568359,841077880085671901233061822464.000000,0.020000,27.780000
"ordinary-kriging","k_nearest","perm0db",20,2,1400,24,3223246594.831356,167324252014828999239794688.000000,0.020000,29.020000
"ordinary-kriging","k_nearest","perm0db",20,2,1450,25,17988877.810084,304001252800956760850432.000000,0.020000,30.250000
"ordinary-kriging","k_nearest","perm0db",20,2,1500,26,17988877.810084,7520046871127565271040.000000,0.020000,31.490000
"ordinary-kriging","k_nearest","perm0db",20,2,1550,27,203666.428929,1983439013160551710720.000000,0.020000,32.710000
"ordinary-kriging","k_nearest","perm0db",20,2,1600,28,203666.428929,37395157636557266944.000000,0.020000,33.930000
"ordinary-kriging","k_nearest","perm0db",20,2,1650,29,83820.393909,32557596044139832.000000,0.020000,35.080000
"ordinary-kriging","k_nearest","perm0db",20,2,1700,30,65983.542354,169349398496474.281250,0.020000,36.300000
"ordinary-kriging","k_nearest","perm0db",20,2,1750,31,10735.571501,194369853525.056915,0.020000,37.530000
"ordinary-kriging","k_nearest","perm0db",20,2,1800,32,7608.953290,77543377648.295303,0.020000,38.700000
"ordinary-kriging","k_nearest","perm0db",20,2,1850,33,6888.004123,12578251098.941566,0.020000,39.860000
"ordinary-kriging","k_nearest","perm0db",20,2,1900,34,4343.732225,1798372882.025504,0.020000,41.020000
"ordinary-kriging","k_nearest","perm0db",20,2,1950,35,4343.732225,26059105.595527,0.020000,42.120000
"ordinary-kriging","k_nearest","perm0db",20,2,2000,36,2172.236180,57308552.056907,0.020000,43.140000
"ordinary-kriging","k_nearest","perm0db",20,2,2050,37,1989.668288,65596.597555,0.020000,44.290000
"ordinary-kriging","k_nearest","perm0db",20,2,2100,38,1569.518083,8790.815702,0.020000,45.490000
"ordinary-kriging","k_nearest","perm0db",20,2,2150,39,1487.262213,4472.995587,0.020000,46.580000
"ordinary-kriging","k_nearest","perm0db",20,2,2200,40,1250.313984,2529.302545,0.020000,47.730000
