METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","rastrigin",20,18,200,0,237.505022,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","rastrigin",20,18,250,1,231.757842,31.346618,0.020000,1.150000
"ordinary-kriging","k_nearest","rastrigin",20,18,300,2,187.791781,38.608182,0.020000,2.120000
"ordinary-kriging","k_nearest","rastrigin",20,18,350,3,182.448163,30.904396,0.020000,3.180000
"ordinary-kriging","k_nearest","rastrigin",20,18,400,4,182.448163,26.936550,0.020000,4.180000
"ordinary-kriging","k_nearest","rastrigin",20,18,450,5,182.448163,29.098567,0.030000,5.350000
"ordinary-kriging","k_nearest","rastrigin",20,18,500,6,145.211470,33.746728,0.020000,6.440000
"ordinary-kriging","k_nearest","rastrigin",20,18,550,7,145.211470,34.304091,0.020000,7.420000
"ordinary-kriging","k_nearest","rastrigin",20,18,600,8,145.211470,26.551900,0.020000,8.460000
"ordinary-kriging","k_nearest","rastrigin",20,18,650,9,140.001929,22.724820,0.020000,9.630000
"ordinary-kriging","k_nearest","rastrigin",20,18,700,10,140.001929,24.056446,0.020000,10.830000
"ordinary-kriging","k_nearest","rastrigin",20,18,750,11,140.001929,31.043702,0.020000,12.030000
"ordinary-kriging","k_nearest","rastrigin",20,18,800,12,140.001929,25.873637,0.020000,13.300000
"ordinary-kriging","k_nearest","rastrigin",20,18,850,13,140.001929,26.335598,0.020000,14.550000
"ordinary-kriging","k_nearest","rastrigin",20,18,900,14,132.372441,20.306127,0.020000,15.800000
"ordinary-kriging","k_nearest","rastrigin",20,18,950,15,132.372441,28.100277,0.020000,16.870000
"ordinary-kriging","k_nearest","rastrigin",20,18,1000,16,126.924482,26.531264,0.020000,17.880000
"ordinary-kriging","k_nearest","rastrigin",20,18,1050,17,118.217972,25.073927,0.020000,18.890000
"ordinary-kriging","k_nearest","rastrigin",20,18,1100,18,118.217972,26.986617,0.020000,19.890000
"ordinary-kriging","k_nearest","rastrigin",20,18,1150,19,118.217972,31.913080,0.020000,20.870000
"ordinary-kriging","k_nearest","rastrigin",20,18,1200,20,118.217972,25.233684,0.020000,21.880000
