METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","rosen",15,14,200,0,1192.202202,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","rosen",15,14,220,1,1182.705885,1562.011463,0.010000,0.340000
"ordinary-kriging","k_nearest","rosen",15,14,240,2,906.539457,822.051024,0.020000,0.680000
"ordinary-kriging","k_nearest","rosen",15,14,260,3,734.971956,732.937433,0.010000,1.090000
"ordinary-kriging","k_nearest","rosen",15,14,280,4,370.064508,576.769585,0.020000,1.430000
"ordinary-kriging","k_nearest","rosen",15,14,300,5,334.167245,391.524448,0.020000,1.710000
"ordinary-kriging","k_nearest","rosen",15,14,320,6,272.991609,192.900310,0.010000,1.980000
"ordinary-kriging","k_nearest","rosen",15,14,340,7,130.738818,163.413364,0.020000,2.290000
"ordinary-kriging","k_nearest","rosen",15,14,360,8,130.738818,69.676317,0.010000,2.620000
"ordinary-kriging","k_nearest","rosen",15,14,380,9,88.730917,49.230192,0.010000,2.980000
"ordinary-kriging","k_nearest","rosen",15,14,400,10,72.174475,22.602365,0.020000,3.240000
"ordinary-kriging","k_nearest","rosen",15,14,420,11,39.029504,27.909410,0.010000,3.540000
"ordinary-kriging","k_nearest","rosen",15,14,440,12,39.029504,10.012559,0.010000,3.880000
"ordinary-kriging","k_nearest","rosen",15,14,460,13,24.093204,5.371324,0.020000,4.150000
"ordinary-kriging","k_nearest","rosen",15,14,480,14,24.093204,7.449145,0.010000,4.430000
"ordinary-kriging","k_nearest","rosen",15,14,500,15,22.469170,1.828206,0.010000,4.700000
"ordinary-kriging","k_nearest","rosen",15,14,520,16,19.316983,1.984254,0.010000,5.080000
"ordinary-kriging","k_nearest","rosen",15,14,540,17,17.798287,2.496378,0.010000,5.430000
"ordinary-kriging","k_nearest","rosen",15,14,560,18,15.681653,0.970759,0.020000,5.820000
"ordinary-kriging","k_nearest","rosen",15,14,580,19,14.605872,0.963904,0.020000,6.190000
"ordinary-kriging","k_nearest","rosen",15,14,600,20,13.775691,0.408581,0.010000,6.500000
"ordinary-kriging","k_nearest","rosen",15,14,620,21,13.499142,0.937230,0.010000,6.800000
"ordinary-kriging","k_nearest","rosen",15,14,640,22,13.464979,0.319293,0.010000,7.080000
"ordinary-kriging","k_nearest","rosen",15,14,660,23,13.207824,0.172635,0.010000,7.370000
"ordinary-kriging","k_nearest","rosen",15,14,680,24,13.151557,0.094574,0.010000,7.660000
"ordinary-kriging","k_nearest","rosen",15,14,700,25,12.973751,0.136398,0.020000,8.010000
"ordinary-kriging","k_nearest","rosen",15,14,720,26,12.948789,0.152756,0.020000,8.320000
