METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","stybtang",10,15,80,0,166.115501,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","stybtang",10,15,100,1,166.115501,168.459567,0.010000,0.300000
"ordinary-kriging","k_nearest","stybtang",10,15,120,2,137.088114,78.584056,0.010000,0.550000
"ordinary-kriging","k_nearest","stybtang",10,15,140,3,135.136139,81.788309,0.010000,0.810000
"ordinary-kriging","k_nearest","stybtang",10,15,160,4,135.136139,63.315610,0.020000,1.050000
"ordinary-kriging","k_nearest","stybtang",10,15,180,5,120.794975,83.582532,0.010000,1.300000
"ordinary-kriging","k_nearest","stybtang",10,15,200,6,116.035370,62.422940,0.020000,1.540000
"ordinary-kriging","k_nearest","stybtang",10,15,220,7,97.762743,102.601594,0.010000,1.790000
"ordinary-kriging","k_nearest","stybtang",10,15,240,8,87.748456,44.441948,0.020000,2.050000
"ordinary-kriging","k_nearest","stybtang",10,15,260,9,60.661919,41.541394,0.010000,2.290000
"ordinary-kriging","k_nearest","stybtang",10,15,280,10,50.612770,25.536979,0.020000,2.540000
"ordinary-kriging","k_nearest","stybtang",10,15,300,11,50.612770,5.687892,0.010000,2.790000
"ordinary-kriging","k_nearest","stybtang",10,15,320,12,47.933031,3.452685,0.020000,3.100000
"ordinary-kriging","k_nearest","stybtang",10,15,340,13,46.420163,2.484677,0.010000,3.380000
"ordinary-kriging","k_nearest","stybtang",10,15,360,14,45.094751,1.470796,0.010000,3.680000
"ordinary-kriging","k_nearest","stybtang",10,15,380,15,44.571515,0.964851,0.010000,3.930000
"ordinary-kriging","k_nearest","stybtang",10,15,400,16,43.217279,0.855036,0.010000,4.190000
"ordinary-kriging","k_nearest","stybtang",10,15,420,17,42.763182,0.656113,0.010000,4.500000
"ordinary-kriging","k_nearest","stybtang",10,15,440,18,42.763182,0.296285,0.020000,4.750000
"ordinary-kriging","k_nearest","stybtang",10,15,460,19,42.634944,0.116355,0.010000,5.010000
"ordinary-kriging","k_nearest","stybtang",10,15,480,20,42.505963,0.051634,0.010000,5.330000
"ordinary-kriging","k_nearest","stybtang",10,15,500,21,42.479207,0.045732,0.010000,5.580000
"ordinary-kriging","k_nearest","stybtang",10,15,520,22,42.461336,0.020997,0.010000,5.820000
"ordinary-kriging","k_nearest","stybtang",10,15,540,23,42.449976,0.016280,0.010000,6.080000
"ordinary-kriging","k_nearest","stybtang",10,15,560,24,42.440128,0.012569,0.010000,6.320000
"ordinary-kriging","k_nearest","stybtang",10,15,580,25,42.420966,0.010494,0.010000,6.580000
"ordinary-kriging","k_nearest","stybtang",10,15,600,26,42.420921,0.005842,0.010000,6.830000
"ordinary-kriging","k_nearest","stybtang",10,15,620,27,42.415202,0.002197,0.010000,7.090000
"ordinary-kriging","k_nearest","stybtang",10,15,640,28,42.411100,0.002646,0.020000,7.350000
"ordinary-kriging","k_nearest","stybtang",10,15,660,29,42.410516,0.001654,0.010000,7.590000
"ordinary-kriging","k_nearest","stybtang",10,15,680,30,42.409999,0.000563,0.010000,7.830000
"ordinary-kriging","k_nearest","stybtang",10,15,700,31,42.409285,0.000712,0.010000,8.080000
"ordinary-kriging","k_nearest","stybtang",10,15,720,32,42.408823,0.000276,0.010000,8.320000
"ordinary-kriging","k_nearest","stybtang",10,15,740,33,42.408600,0.000336,0.010000,8.570000
"ordinary-kriging","k_nearest","stybtang",10,15,760,34,42.408551,0.000167,0.020000,8.840000
"ordinary-kriging","k_nearest","stybtang",10,15,780,35,42.408522,0.000119,0.010000,9.140000
"ordinary-kriging","k_nearest","stybtang",10,15,800,36,42.408475,0.000058,0.010000,9.390000
"ordinary-kriging","k_nearest","stybtang",10,15,820,37,42.408436,0.000040,0.010000,9.660000
"ordinary-kriging","k_nearest","stybtang",10,15,840,38,42.408415,0.000031,0.010000,9.900000
"ordinary-kriging","k_nearest","stybtang",10,15,860,39,42.408406,0.000010,0.010000,10.140000
"ordinary-kriging","k_nearest","stybtang",10,15,880,40,42.408406,0.000005,0.010000,10.380000
"ordinary-kriging","k_nearest","stybtang",10,15,900,41,42.408404,0.000002,0.010000,10.620000
"ordinary-kriging","k_nearest","stybtang",10,15,920,42,42.408402,0.000001,0.010000,10.880000
"ordinary-kriging","k_nearest","stybtang",10,15,940,43,42.408401,0.000001,0.010000,11.120000
"ordinary-kriging","k_nearest","stybtang",10,15,960,44,42.408401,0.000001,0.010000,11.360000
"ordinary-kriging","k_nearest","stybtang",10,15,980,45,42.408401,0.000001,0.010000,11.640000
"ordinary-kriging","k_nearest","stybtang",10,15,1000,46,42.408400,0.000000,0.010000,12.000000
"ordinary-kriging","k_nearest","stybtang",10,15,1020,47,42.408400,0.000000,0.010000,12.550000
"ordinary-kriging","k_nearest","stybtang",10,15,1040,48,42.408400,0.000000,0.010000,13.390000
"ordinary-kriging","k_nearest","stybtang",10,15,1060,49,42.408400,0.000000,0.010000,14.530000
"ordinary-kriging","k_nearest","stybtang",10,15,1080,50,42.408400,0.000000,0.010000,16.040000
"ordinary-kriging","k_nearest","stybtang",10,15,1100,51,42.408400,0.000000,0.010000,18.000000
"ordinary-kriging","k_nearest","stybtang",10,15,1120,52,42.408400,0.000000,0.010000,20.240000
"ordinary-kriging","k_nearest","stybtang",10,15,1140,53,42.408400,0.000000,0.010000,22.460000
"ordinary-kriging","k_nearest","stybtang",10,15,1160,54,42.408400,0.000000,0.010000,24.680000
"ordinary-kriging","k_nearest","stybtang",10,15,1180,55,42.408400,0.000000,0.010000,26.910000
"ordinary-kriging","k_nearest","stybtang",10,15,1200,56,42.408400,0.000000,0.010000,29.190000
"ordinary-kriging","k_nearest","stybtang",10,15,1220,57,42.408400,0.000000,0.010000,31.520000
"ordinary-kriging","k_nearest","stybtang",10,15,1240,58,42.408400,0.000000,0.010000,33.930000
"ordinary-kriging","k_nearest","stybtang",10,15,1260,59,42.408400,0.000000,0.010000,36.270000
"ordinary-kriging","k_nearest","stybtang",10,15,1280,60,42.408400,0.000000,0.010000,38.590000
"ordinary-kriging","k_nearest","stybtang",10,15,1300,61,42.408400,0.000000,0.010000,40.910000
"ordinary-kriging","k_nearest","stybtang",10,15,1320,62,42.408400,0.000000,0.010000,43.170000
"ordinary-kriging","k_nearest","stybtang",10,15,1340,63,42.408400,0.000000,0.010000,45.470000
"ordinary-kriging","k_nearest","stybtang",10,15,1360,64,42.408400,0.000000,0.010000,47.840000
"ordinary-kriging","k_nearest","stybtang",10,15,1380,65,42.408400,0.000000,0.010000,50.210000
"ordinary-kriging","k_nearest","stybtang",10,15,1400,66,42.408400,0.000000,0.010000,52.580000
"ordinary-kriging","k_nearest","stybtang",10,15,1420,67,42.408400,0.000000,0.010000,54.950000
"ordinary-kriging","k_nearest","stybtang",10,15,1440,68,42.408400,0.000000,0.010000,57.320000
"ordinary-kriging","k_nearest","stybtang",10,15,1460,69,42.408400,0.000000,0.010000,59.680000
"ordinary-kriging","k_nearest","stybtang",10,15,1480,70,42.408400,0.000000,0.010000,62.060000
"ordinary-kriging","k_nearest","stybtang",10,15,1500,71,42.408400,0.000000,0.010000,64.430000
"ordinary-kriging","k_nearest","stybtang",10,15,1520,72,42.408400,0.000000,0.010000,66.810000
"ordinary-kriging","k_nearest","stybtang",10,15,1540,73,42.408400,0.000000,0.010000,69.170000
"ordinary-kriging","k_nearest","stybtang",10,15,1560,74,42.408400,0.000000,0.000000,71.520000
"ordinary-kriging","k_nearest","stybtang",10,15,1580,75,42.408400,0.000000,0.010000,73.870000
"ordinary-kriging","k_nearest","stybtang",10,15,1600,76,42.408400,0.000000,0.010000,76.210000
"ordinary-kriging","k_nearest","stybtang",10,15,1620,77,42.408400,0.000000,0.010000,78.490000
"ordinary-kriging","k_nearest","stybtang",10,15,1640,78,42.408400,0.000000,0.010000,80.780000
"ordinary-kriging","k_nearest","stybtang",10,15,1660,79,42.408400,0.000000,0.010000,83.070000
"ordinary-kriging","k_nearest","stybtang",10,15,1680,80,42.408400,0.000000,0.010000,85.490000
"ordinary-kriging","k_nearest","stybtang",10,15,1700,81,42.408400,0.000000,0.010000,87.710000
"ordinary-kriging","k_nearest","stybtang",10,15,1720,82,42.408400,0.000000,0.010000,89.920000
"ordinary-kriging","k_nearest","stybtang",10,15,1740,83,42.408400,0.000000,0.010000,92.110000
"ordinary-kriging","k_nearest","stybtang",10,15,1760,84,42.408400,0.000000,0.010000,94.290000
"ordinary-kriging","k_nearest","stybtang",10,15,1780,85,42.408400,0.000000,0.010000,96.560000
"ordinary-kriging","k_nearest","stybtang",10,15,1800,86,42.408400,0.000000,0.010000,98.890000
"ordinary-kriging","k_nearest","stybtang",10,15,1820,87,42.408400,0.000000,0.010000,101.160000
"ordinary-kriging","k_nearest","stybtang",10,15,1840,88,42.408400,0.000000,0.010000,103.460000
"ordinary-kriging","k_nearest","stybtang",10,15,1860,89,42.408400,0.000000,0.010000,105.740000
"ordinary-kriging","k_nearest","stybtang",10,15,1880,90,42.408400,0.000000,0.010000,108.170000
"ordinary-kriging","k_nearest","stybtang",10,15,1900,91,42.408400,0.000000,0.010000,110.660000
"ordinary-kriging","k_nearest","stybtang",10,15,1920,92,42.408400,0.000000,0.010000,113.150000
"ordinary-kriging","k_nearest","stybtang",10,15,1940,93,42.408400,0.000000,0.010000,115.600000
"ordinary-kriging","k_nearest","stybtang",10,15,1960,94,42.408400,0.000000,0.010000,117.980000
"ordinary-kriging","k_nearest","stybtang",10,15,1980,95,42.408400,0.000000,0.010000,120.390000
"ordinary-kriging","k_nearest","stybtang",10,15,2000,96,42.408400,0.000000,0.010000,122.790000
"ordinary-kriging","k_nearest","stybtang",10,15,2020,97,42.408400,0.000000,0.010000,125.190000
"ordinary-kriging","k_nearest","stybtang",10,15,2040,98,42.408400,0.000000,0.010000,127.580000
"ordinary-kriging","k_nearest","stybtang",10,15,2060,99,42.408400,0.000000,0.010000,129.940000
"ordinary-kriging","k_nearest","stybtang",10,15,2080,100,42.408400,0.000000,0.010000,132.310000
"ordinary-kriging","k_nearest","stybtang",10,15,2100,101,42.408400,0.000000,0.010000,134.680000
