METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","k_nearest","zakharov",2,17,80,0,1.854634,0.000000,0.000000,0.000000
"ordinary-kriging","k_nearest","zakharov",2,17,100,1,0.936028,31.776025,0.010000,0.210000
"ordinary-kriging","k_nearest","zakharov",2,17,120,2,0.003869,4.776602,0.010000,0.400000
"ordinary-kriging","k_nearest","zakharov",2,17,140,3,0.003869,1.019884,0.010000,0.600000
"ordinary-kriging","k_nearest","zakharov",2,17,160,4,0.000668,0.178168,0.010000,0.810000
"ordinary-kriging","k_nearest","zakharov",2,17,180,5,0.000422,0.027373,0.010000,1.010000
"ordinary-kriging","k_nearest","zakharov",2,17,200,6,0.000158,0.009362,0.010000,1.220000
"ordinary-kriging","k_nearest","zakharov",2,17,220,7,0.000023,0.000646,0.010000,1.420000
"ordinary-kriging","k_nearest","zakharov",2,17,240,8,0.000023,0.000495,0.010000,1.620000
"ordinary-kriging","k_nearest","zakharov",2,17,260,9,0.000000,0.000094,0.010000,1.830000
"ordinary-kriging","k_nearest","zakharov",2,17,280,10,0.000000,0.000038,0.000000,2.030000
"ordinary-kriging","k_nearest","zakharov",2,17,300,11,0.000000,0.000004,0.000000,2.230000
"ordinary-kriging","k_nearest","zakharov",2,17,320,12,0.000000,0.000003,0.000000,2.440000
"ordinary-kriging","k_nearest","zakharov",2,17,340,13,0.000000,0.000000,0.000000,2.700000
"ordinary-kriging","k_nearest","zakharov",2,17,360,14,0.000000,0.000000,0.000000,3.050000
"ordinary-kriging","k_nearest","zakharov",2,17,380,15,0.000000,0.000000,0.000000,3.550000
"ordinary-kriging","k_nearest","zakharov",2,17,400,16,0.000000,0.000000,0.000000,4.250000
"ordinary-kriging","k_nearest","zakharov",2,17,420,17,0.000000,0.000000,0.000000,5.200000
"ordinary-kriging","k_nearest","zakharov",2,17,440,18,0.000000,0.000000,0.010000,6.420000
"ordinary-kriging","k_nearest","zakharov",2,17,460,19,0.000000,0.000000,0.010000,7.940000
"ordinary-kriging","k_nearest","zakharov",2,17,480,20,0.000000,0.000000,0.010000,9.670000
"ordinary-kriging","k_nearest","zakharov",2,17,500,21,0.000000,0.000000,0.010000,11.390000
"ordinary-kriging","k_nearest","zakharov",2,17,520,22,0.000000,0.000000,0.010000,13.100000
"ordinary-kriging","k_nearest","zakharov",2,17,540,23,0.000000,0.000000,0.010000,14.820000
"ordinary-kriging","k_nearest","zakharov",2,17,560,24,0.000000,0.000000,0.010000,16.560000
"ordinary-kriging","k_nearest","zakharov",2,17,580,25,0.000000,0.000000,0.010000,18.380000
"ordinary-kriging","k_nearest","zakharov",2,17,600,26,0.000000,0.000000,0.010000,20.140000
"ordinary-kriging","k_nearest","zakharov",2,17,620,27,0.000000,0.000000,0.010000,21.890000
"ordinary-kriging","k_nearest","zakharov",2,17,640,28,0.000000,0.000000,0.010000,23.650000
"ordinary-kriging","k_nearest","zakharov",2,17,660,29,0.000000,0.000000,0.010000,25.410000
"ordinary-kriging","k_nearest","zakharov",2,17,680,30,0.000000,0.000000,0.010000,27.190000
"ordinary-kriging","k_nearest","zakharov",2,17,700,31,0.000000,0.000000,0.010000,28.980000
"ordinary-kriging","k_nearest","zakharov",2,17,720,32,0.000000,0.000000,0.010000,30.810000
"ordinary-kriging","k_nearest","zakharov",2,17,740,33,0.000000,0.000000,0.010000,32.650000
"ordinary-kriging","k_nearest","zakharov",2,17,760,34,0.000000,0.000000,0.010000,34.470000
"ordinary-kriging","k_nearest","zakharov",2,17,780,35,0.000000,0.000000,0.010000,36.280000
"ordinary-kriging","k_nearest","zakharov",2,17,800,36,0.000000,0.000000,0.000000,38.090000
"ordinary-kriging","k_nearest","zakharov",2,17,820,37,0.000000,0.000000,0.010000,39.900000
"ordinary-kriging","k_nearest","zakharov",2,17,840,38,0.000000,0.000000,0.010000,41.710000
"ordinary-kriging","k_nearest","zakharov",2,17,860,39,0.000000,0.000000,0.010000,43.540000
"ordinary-kriging","k_nearest","zakharov",2,17,880,40,0.000000,0.000000,0.010000,45.340000
"ordinary-kriging","k_nearest","zakharov",2,17,900,41,0.000000,0.000000,0.010000,47.090000
"ordinary-kriging","k_nearest","zakharov",2,17,920,42,0.000000,0.000000,0.010000,48.890000
"ordinary-kriging","k_nearest","zakharov",2,17,940,43,0.000000,0.000000,0.010000,50.680000
"ordinary-kriging","k_nearest","zakharov",2,17,960,44,0.000000,0.000000,0.010000,52.480000
"ordinary-kriging","k_nearest","zakharov",2,17,980,45,0.000000,0.000000,0.010000,54.270000
"ordinary-kriging","k_nearest","zakharov",2,17,1000,46,0.000000,0.000000,0.010000,56.050000
