METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","ackley",15,15,200,0,19.486258,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","ackley",15,15,220,1,18.704145,0.399304,0.070000,0.130000
"ordinary-kriging","kmeans","ackley",15,15,240,2,17.928822,0.468809,0.050000,0.230000
"ordinary-kriging","kmeans","ackley",15,15,260,3,16.862033,0.609287,0.050000,0.330000
"ordinary-kriging","kmeans","ackley",15,15,280,4,14.622611,0.497865,0.050000,0.430000
"ordinary-kriging","kmeans","ackley",15,15,300,5,13.406285,0.514101,0.050000,0.530000
"ordinary-kriging","kmeans","ackley",15,15,320,6,11.606183,0.729609,0.040000,0.620000
"ordinary-kriging","kmeans","ackley",15,15,340,7,9.200216,0.592358,0.050000,0.720000
"ordinary-kriging","kmeans","ackley",15,15,360,8,8.251680,0.389394,0.050000,0.820000
"ordinary-kriging","kmeans","ackley",15,15,380,9,7.177477,0.642068,0.050000,0.920000
"ordinary-kriging","kmeans","ackley",15,15,400,10,5.605610,0.465477,0.050000,1.020000
"ordinary-kriging","kmeans","ackley",15,15,420,11,5.250255,0.538571,0.050000,1.120000
"ordinary-kriging","kmeans","ackley",15,15,440,12,4.979099,0.370997,0.050000,1.220000
"ordinary-kriging","kmeans","ackley",15,15,460,13,4.371659,0.227049,0.050000,1.310000
"ordinary-kriging","kmeans","ackley",15,15,480,14,3.450445,0.354942,0.050000,1.410000
"ordinary-kriging","kmeans","ackley",15,15,500,15,3.245531,0.213794,0.050000,1.510000
"ordinary-kriging","kmeans","ackley",15,15,520,16,2.708331,0.206768,0.050000,1.610000
"ordinary-kriging","kmeans","ackley",15,15,540,17,2.505789,0.256947,0.050000,1.710000
"ordinary-kriging","kmeans","ackley",15,15,560,18,1.954824,0.189397,0.050000,1.810000
"ordinary-kriging","kmeans","ackley",15,15,580,19,1.840031,0.261224,0.040000,1.900000
"ordinary-kriging","kmeans","ackley",15,15,600,20,1.516498,0.251706,0.060000,2.010000
"ordinary-kriging","kmeans","ackley",15,15,620,21,1.157596,0.191710,0.050000,2.110000
"ordinary-kriging","kmeans","ackley",15,15,640,22,0.896082,0.104091,0.050000,2.200000
"ordinary-kriging","kmeans","ackley",15,15,660,23,0.747546,0.098367,0.050000,2.300000
"ordinary-kriging","kmeans","ackley",15,15,680,24,0.648301,0.072884,0.050000,2.400000
"ordinary-kriging","kmeans","ackley",15,15,700,25,0.552617,0.046047,0.050000,2.500000
"ordinary-kriging","kmeans","ackley",15,15,720,26,0.419681,0.025119,0.050000,2.600000
"ordinary-kriging","kmeans","ackley",15,15,740,27,0.326757,0.023587,0.050000,2.700000
"ordinary-kriging","kmeans","ackley",15,15,760,28,0.203114,0.030999,0.050000,2.800000
"ordinary-kriging","kmeans","ackley",15,15,780,29,0.160167,0.018414,0.050000,2.900000
"ordinary-kriging","kmeans","ackley",15,15,800,30,0.126841,0.006821,0.060000,3.010000
"ordinary-kriging","kmeans","ackley",15,15,820,31,0.075317,0.006983,0.050000,3.110000
"ordinary-kriging","kmeans","ackley",15,15,840,32,0.062562,0.007517,0.050000,3.210000
"ordinary-kriging","kmeans","ackley",15,15,860,33,0.052949,0.008476,0.050000,3.310000
"ordinary-kriging","kmeans","ackley",15,15,880,34,0.045836,0.005435,0.050000,3.410000
"ordinary-kriging","kmeans","ackley",15,15,900,35,0.030129,0.003177,0.050000,3.510000
"ordinary-kriging","kmeans","ackley",15,15,920,36,0.024433,0.002570,0.050000,3.610000
"ordinary-kriging","kmeans","ackley",15,15,940,37,0.020413,0.004166,0.050000,3.710000
"ordinary-kriging","kmeans","ackley",15,15,960,38,0.017235,0.001722,0.050000,3.810000
"ordinary-kriging","kmeans","ackley",15,15,980,39,0.013959,0.001146,0.050000,3.910000
"ordinary-kriging","kmeans","ackley",15,15,1000,40,0.011870,0.000913,0.050000,4.000000
"ordinary-kriging","kmeans","ackley",15,15,1020,41,0.009326,0.000457,0.050000,4.100000
"ordinary-kriging","kmeans","ackley",15,15,1040,42,0.006585,0.000413,0.050000,4.200000
"ordinary-kriging","kmeans","ackley",15,15,1060,43,0.005934,0.000620,0.050000,4.300000
"ordinary-kriging","kmeans","ackley",15,15,1080,44,0.004460,0.000415,0.050000,4.400000
"ordinary-kriging","kmeans","ackley",15,15,1100,45,0.003675,0.000467,0.050000,4.500000
"ordinary-kriging","kmeans","ackley",15,15,1120,46,0.002803,0.000177,0.050000,4.600000
"ordinary-kriging","kmeans","ackley",15,15,1140,47,0.002360,0.000174,0.050000,4.700000
"ordinary-kriging","kmeans","ackley",15,15,1160,48,0.001497,0.000206,0.050000,4.800000
"ordinary-kriging","kmeans","ackley",15,15,1180,49,0.001497,0.000296,0.050000,4.900000
