METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","dixonpr",5,15,80,0,2952.810502,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","dixonpr",5,15,100,1,98.822703,38412.469163,0.030000,0.080000
"ordinary-kriging","kmeans","dixonpr",5,15,120,2,85.883388,13549.054203,0.030000,0.150000
"ordinary-kriging","kmeans","dixonpr",5,15,140,3,85.883388,4058.260131,0.030000,0.220000
"ordinary-kriging","kmeans","dixonpr",5,15,160,4,26.366498,731.338066,0.030000,0.300000
"ordinary-kriging","kmeans","dixonpr",5,15,180,5,26.366498,620.579784,0.030000,0.380000
"ordinary-kriging","kmeans","dixonpr",5,15,200,6,17.120928,401.018224,0.020000,0.450000
"ordinary-kriging","kmeans","dixonpr",5,15,220,7,17.120928,579.174962,0.020000,0.510000
"ordinary-kriging","kmeans","dixonpr",5,15,240,8,17.120928,283.406052,0.030000,0.590000
"ordinary-kriging","kmeans","dixonpr",5,15,260,9,0.954313,413.462648,0.020000,0.660000
"ordinary-kriging","kmeans","dixonpr",5,15,280,10,0.954313,134.106854,0.020000,0.730000
"ordinary-kriging","kmeans","dixonpr",5,15,300,11,0.913363,76.658591,0.020000,0.800000
"ordinary-kriging","kmeans","dixonpr",5,15,320,12,0.913363,44.274999,0.030000,0.870000
"ordinary-kriging","kmeans","dixonpr",5,15,340,13,0.913363,27.494990,0.030000,0.940000
"ordinary-kriging","kmeans","dixonpr",5,15,360,14,0.913363,38.199342,0.030000,1.020000
"ordinary-kriging","kmeans","dixonpr",5,15,380,15,0.852270,71.228524,0.030000,1.090000
"ordinary-kriging","kmeans","dixonpr",5,15,400,16,0.835487,26.397953,0.030000,1.160000
"ordinary-kriging","kmeans","dixonpr",5,15,420,17,0.835487,39.837789,0.030000,1.230000
"ordinary-kriging","kmeans","dixonpr",5,15,440,18,0.445673,12.903722,0.030000,1.300000
"ordinary-kriging","kmeans","dixonpr",5,15,460,19,0.445673,33.789616,0.030000,1.370000
"ordinary-kriging","kmeans","dixonpr",5,15,480,20,0.445673,24.176106,0.030000,1.440000
"ordinary-kriging","kmeans","dixonpr",5,15,500,21,0.374258,14.636963,0.030000,1.510000
"ordinary-kriging","kmeans","dixonpr",5,15,520,22,0.374258,11.289468,0.030000,1.580000
"ordinary-kriging","kmeans","dixonpr",5,15,540,23,0.374258,6.713867,0.030000,1.650000
"ordinary-kriging","kmeans","dixonpr",5,15,560,24,0.374258,7.760634,0.030000,1.720000
"ordinary-kriging","kmeans","dixonpr",5,15,580,25,0.374258,14.410499,0.030000,1.790000
"ordinary-kriging","kmeans","dixonpr",5,15,600,26,0.374258,7.258361,0.030000,1.860000
"ordinary-kriging","kmeans","dixonpr",5,15,620,27,0.374258,4.836333,0.030000,1.930000
"ordinary-kriging","kmeans","dixonpr",5,15,640,28,0.374258,7.404012,0.030000,2.000000
"ordinary-kriging","kmeans","dixonpr",5,15,660,29,0.374258,3.410298,0.030000,2.070000
"ordinary-kriging","kmeans","dixonpr",5,15,680,30,0.374258,5.188966,0.030000,2.140000
"ordinary-kriging","kmeans","dixonpr",5,15,700,31,0.374258,4.879746,0.030000,2.210000
"ordinary-kriging","kmeans","dixonpr",5,15,720,32,0.289066,4.234208,0.030000,2.280000
"ordinary-kriging","kmeans","dixonpr",5,15,740,33,0.289066,3.458623,0.030000,2.350000
"ordinary-kriging","kmeans","dixonpr",5,15,760,34,0.289066,4.461842,0.030000,2.430000
"ordinary-kriging","kmeans","dixonpr",5,15,780,35,0.289066,2.521952,0.020000,2.500000
"ordinary-kriging","kmeans","dixonpr",5,15,800,36,0.289066,10.949461,0.030000,2.570000
"ordinary-kriging","kmeans","dixonpr",5,15,820,37,0.289066,4.479481,0.030000,2.640000
