METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","elipsoid",10,7,80,0,220.566097,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","elipsoid",10,7,100,1,133.986715,19.005301,0.030000,0.070000
"ordinary-kriging","kmeans","elipsoid",10,7,120,2,51.221819,16.290492,0.030000,0.140000
"ordinary-kriging","kmeans","elipsoid",10,7,140,3,30.482863,8.347941,0.030000,0.210000
"ordinary-kriging","kmeans","elipsoid",10,7,160,4,16.814973,2.242310,0.030000,0.280000
"ordinary-kriging","kmeans","elipsoid",10,7,180,5,7.198649,2.131067,0.030000,0.350000
"ordinary-kriging","kmeans","elipsoid",10,7,200,6,5.856074,1.304304,0.030000,0.430000
"ordinary-kriging","kmeans","elipsoid",10,7,220,7,2.559406,0.715193,0.030000,0.500000
"ordinary-kriging","kmeans","elipsoid",10,7,240,8,2.017508,0.455608,0.020000,0.570000
"ordinary-kriging","kmeans","elipsoid",10,7,260,9,0.969288,0.316893,0.030000,0.640000
"ordinary-kriging","kmeans","elipsoid",10,7,280,10,0.578561,0.102244,0.030000,0.710000
"ordinary-kriging","kmeans","elipsoid",10,7,300,11,0.298501,0.040614,0.030000,0.780000
"ordinary-kriging","kmeans","elipsoid",10,7,320,12,0.118567,0.037778,0.030000,0.850000
"ordinary-kriging","kmeans","elipsoid",10,7,340,13,0.093529,0.019613,0.030000,0.920000
"ordinary-kriging","kmeans","elipsoid",10,7,360,14,0.030181,0.007752,0.030000,0.990000
"ordinary-kriging","kmeans","elipsoid",10,7,380,15,0.018528,0.010440,0.030000,1.060000
"ordinary-kriging","kmeans","elipsoid",10,7,400,16,0.013220,0.004344,0.030000,1.130000
"ordinary-kriging","kmeans","elipsoid",10,7,420,17,0.007109,0.001830,0.030000,1.200000
"ordinary-kriging","kmeans","elipsoid",10,7,440,18,0.005213,0.000805,0.030000,1.270000
"ordinary-kriging","kmeans","elipsoid",10,7,460,19,0.003076,0.000628,0.030000,1.340000
"ordinary-kriging","kmeans","elipsoid",10,7,480,20,0.001585,0.000401,0.030000,1.410000
"ordinary-kriging","kmeans","elipsoid",10,7,500,21,0.000865,0.000207,0.030000,1.480000
"ordinary-kriging","kmeans","elipsoid",10,7,520,22,0.000470,0.000095,0.030000,1.550000
"ordinary-kriging","kmeans","elipsoid",10,7,540,23,0.000151,0.000060,0.030000,1.630000
"ordinary-kriging","kmeans","elipsoid",10,7,560,24,0.000095,0.000031,0.020000,1.700000
"ordinary-kriging","kmeans","elipsoid",10,7,580,25,0.000022,0.000019,0.020000,1.770000
"ordinary-kriging","kmeans","elipsoid",10,7,600,26,0.000022,0.000011,0.030000,1.840000
"ordinary-kriging","kmeans","elipsoid",10,7,620,27,0.000013,0.000005,0.030000,1.910000
"ordinary-kriging","kmeans","elipsoid",10,7,640,28,0.000008,0.000003,0.030000,1.980000
"ordinary-kriging","kmeans","elipsoid",10,7,660,29,0.000002,0.000001,0.030000,2.050000
"ordinary-kriging","kmeans","elipsoid",10,7,680,30,0.000001,0.000001,0.030000,2.120000
"ordinary-kriging","kmeans","elipsoid",10,7,700,31,0.000001,0.000000,0.030000,2.190000
"ordinary-kriging","kmeans","elipsoid",10,7,720,32,0.000000,0.000000,0.030000,2.270000
"ordinary-kriging","kmeans","elipsoid",10,7,740,33,0.000000,0.000000,0.030000,2.340000
"ordinary-kriging","kmeans","elipsoid",10,7,760,34,0.000000,0.000000,0.030000,2.410000
"ordinary-kriging","kmeans","elipsoid",10,7,780,35,0.000000,0.000000,0.030000,2.480000
"ordinary-kriging","kmeans","elipsoid",10,7,800,36,0.000000,0.000000,0.040000,2.570000
"ordinary-kriging","kmeans","elipsoid",10,7,820,37,0.000000,0.000000,0.050000,2.670000
"ordinary-kriging","kmeans","elipsoid",10,7,840,38,0.000000,0.000000,0.060000,2.780000
"ordinary-kriging","kmeans","elipsoid",10,7,860,39,0.000000,0.000000,0.070000,2.900000
"ordinary-kriging","kmeans","elipsoid",10,7,880,40,0.000000,0.000000,0.080000,3.030000
"ordinary-kriging","kmeans","elipsoid",10,7,900,41,0.000000,0.000000,0.090000,3.160000
"ordinary-kriging","kmeans","elipsoid",10,7,920,42,0.000000,0.000000,0.090000,3.310000
"ordinary-kriging","kmeans","elipsoid",10,7,940,43,0.000000,0.000000,0.100000,3.460000
"ordinary-kriging","kmeans","elipsoid",10,7,960,44,0.000000,0.000000,0.110000,3.620000
"ordinary-kriging","kmeans","elipsoid",10,7,980,45,0.000000,0.000000,0.110000,3.780000
"ordinary-kriging","kmeans","elipsoid",10,7,1000,46,0.000000,0.000000,0.090000,3.920000
"ordinary-kriging","kmeans","elipsoid",10,7,1020,47,0.000000,0.000000,0.090000,4.060000
"ordinary-kriging","kmeans","elipsoid",10,7,1040,48,0.000000,0.000000,0.090000,4.200000
"ordinary-kriging","kmeans","elipsoid",10,7,1060,49,0.000000,0.000000,0.080000,4.340000
"ordinary-kriging","kmeans","elipsoid",10,7,1080,50,0.000000,0.000000,0.090000,4.490000
"ordinary-kriging","kmeans","elipsoid",10,7,1100,51,0.000000,0.000000,0.090000,4.630000
"ordinary-kriging","kmeans","elipsoid",10,7,1120,52,0.000000,0.000000,0.090000,4.770000
"ordinary-kriging","kmeans","elipsoid",10,7,1140,53,0.000000,0.000000,0.080000,4.910000
"ordinary-kriging","kmeans","elipsoid",10,7,1160,54,0.000000,0.000000,0.090000,5.060000
"ordinary-kriging","kmeans","elipsoid",10,7,1180,55,0.000000,0.000000,0.090000,5.200000
"ordinary-kriging","kmeans","elipsoid",10,7,1200,56,0.000000,0.000000,0.090000,5.340000
"ordinary-kriging","kmeans","elipsoid",10,7,1220,57,0.000000,0.000000,0.080000,5.480000
"ordinary-kriging","kmeans","elipsoid",10,7,1240,58,0.000000,0.000000,0.090000,5.620000
"ordinary-kriging","kmeans","elipsoid",10,7,1260,59,0.000000,0.000000,0.080000,5.770000
"ordinary-kriging","kmeans","elipsoid",10,7,1280,60,0.000000,0.000000,0.090000,5.920000
"ordinary-kriging","kmeans","elipsoid",10,7,1300,61,0.000000,0.000000,0.100000,6.080000
"ordinary-kriging","kmeans","elipsoid",10,7,1320,62,0.000000,0.000000,0.090000,6.220000
"ordinary-kriging","kmeans","elipsoid",10,7,1340,63,0.000000,0.000000,0.090000,6.370000
"ordinary-kriging","kmeans","elipsoid",10,7,1360,64,0.000000,0.000000,0.090000,6.510000
"ordinary-kriging","kmeans","elipsoid",10,7,1380,65,0.000000,0.000000,0.090000,6.650000
"ordinary-kriging","kmeans","elipsoid",10,7,1400,66,0.000000,0.000000,0.090000,6.790000
"ordinary-kriging","kmeans","elipsoid",10,7,1420,67,0.000000,0.000000,0.080000,6.930000
"ordinary-kriging","kmeans","elipsoid",10,7,1440,68,0.000000,0.000000,0.090000,7.080000
"ordinary-kriging","kmeans","elipsoid",10,7,1460,69,0.000000,0.000000,0.090000,7.220000
"ordinary-kriging","kmeans","elipsoid",10,7,1480,70,0.000000,0.000000,0.090000,7.370000
"ordinary-kriging","kmeans","elipsoid",10,7,1500,71,0.000000,0.000000,0.090000,7.510000
"ordinary-kriging","kmeans","elipsoid",10,7,1520,72,0.000000,0.000000,0.090000,7.650000
"ordinary-kriging","kmeans","elipsoid",10,7,1540,73,0.000000,0.000000,0.090000,7.790000
"ordinary-kriging","kmeans","elipsoid",10,7,1560,74,0.000000,0.000000,0.100000,7.940000
"ordinary-kriging","kmeans","elipsoid",10,7,1580,75,0.000000,0.000000,0.090000,8.080000
"ordinary-kriging","kmeans","elipsoid",10,7,1600,76,0.000000,0.000000,0.090000,8.230000
"ordinary-kriging","kmeans","elipsoid",10,7,1620,77,0.000000,0.000000,0.090000,8.370000
"ordinary-kriging","kmeans","elipsoid",10,7,1640,78,0.000000,0.000000,0.090000,8.520000
"ordinary-kriging","kmeans","elipsoid",10,7,1660,79,0.000000,0.000000,0.090000,8.660000
"ordinary-kriging","kmeans","elipsoid",10,7,1680,80,0.000000,0.000000,0.090000,8.800000
"ordinary-kriging","kmeans","elipsoid",10,7,1700,81,0.000000,0.000000,0.090000,8.940000
"ordinary-kriging","kmeans","elipsoid",10,7,1720,82,0.000000,0.000000,0.090000,9.090000
"ordinary-kriging","kmeans","elipsoid",10,7,1740,83,0.000000,0.000000,0.090000,9.230000
"ordinary-kriging","kmeans","elipsoid",10,7,1760,84,0.000000,0.000000,0.090000,9.380000
"ordinary-kriging","kmeans","elipsoid",10,7,1780,85,0.000000,0.000000,0.090000,9.520000
"ordinary-kriging","kmeans","elipsoid",10,7,1800,86,0.000000,0.000000,0.090000,9.660000
"ordinary-kriging","kmeans","elipsoid",10,7,1820,87,0.000000,0.000000,0.090000,9.810000
"ordinary-kriging","kmeans","elipsoid",10,7,1840,88,0.000000,0.000000,0.090000,9.950000
"ordinary-kriging","kmeans","elipsoid",10,7,1860,89,0.000000,0.000000,0.080000,10.090000
"ordinary-kriging","kmeans","elipsoid",10,7,1880,90,0.000000,0.000000,0.090000,10.240000
"ordinary-kriging","kmeans","elipsoid",10,7,1900,91,0.000000,0.000000,0.090000,10.380000
"ordinary-kriging","kmeans","elipsoid",10,7,1920,92,0.000000,0.000000,0.100000,10.530000
"ordinary-kriging","kmeans","elipsoid",10,7,1940,93,0.000000,0.000000,0.090000,10.680000
"ordinary-kriging","kmeans","elipsoid",10,7,1960,94,0.000000,0.000000,0.090000,10.830000
"ordinary-kriging","kmeans","elipsoid",10,7,1980,95,0.000000,0.000000,0.090000,10.980000
"ordinary-kriging","kmeans","elipsoid",10,7,2000,96,0.000000,0.000000,0.090000,11.130000
"ordinary-kriging","kmeans","elipsoid",10,7,2020,97,0.000000,0.000000,0.090000,11.280000
"ordinary-kriging","kmeans","elipsoid",10,7,2040,98,0.000000,0.000000,0.090000,11.430000
"ordinary-kriging","kmeans","elipsoid",10,7,2060,99,0.000000,0.000000,0.090000,11.580000
"ordinary-kriging","kmeans","elipsoid",10,7,2080,100,0.000000,0.000000,0.090000,11.730000
"ordinary-kriging","kmeans","elipsoid",10,7,2100,101,0.000000,0.000000,0.090000,11.880000
"ordinary-kriging","kmeans","elipsoid",10,7,2120,102,0.000000,0.000000,0.090000,12.030000
"ordinary-kriging","kmeans","elipsoid",10,7,2140,103,0.000000,0.000000,0.090000,12.190000
"ordinary-kriging","kmeans","elipsoid",10,7,2160,104,0.000000,0.000000,0.100000,12.340000
"ordinary-kriging","kmeans","elipsoid",10,7,2180,105,0.000000,0.000000,0.090000,12.480000
"ordinary-kriging","kmeans","elipsoid",10,7,2200,106,0.000000,0.000000,0.090000,12.630000
"ordinary-kriging","kmeans","elipsoid",10,7,2220,107,0.000000,0.000000,0.090000,12.770000
"ordinary-kriging","kmeans","elipsoid",10,7,2240,108,0.000000,0.000000,0.090000,12.910000
"ordinary-kriging","kmeans","elipsoid",10,7,2260,109,0.000000,0.000000,0.080000,13.050000
"ordinary-kriging","kmeans","elipsoid",10,7,2280,110,0.000000,0.000000,0.090000,13.190000
"ordinary-kriging","kmeans","elipsoid",10,7,2300,111,0.000000,0.000000,0.090000,13.340000
"ordinary-kriging","kmeans","elipsoid",10,7,2320,112,0.000000,0.000000,0.090000,13.490000
"ordinary-kriging","kmeans","elipsoid",10,7,2340,113,0.000000,0.000000,0.090000,13.640000
"ordinary-kriging","kmeans","elipsoid",10,7,2360,114,0.000000,0.000000,0.100000,13.790000
"ordinary-kriging","kmeans","elipsoid",10,7,2380,115,0.000000,0.000000,0.090000,13.930000
"ordinary-kriging","kmeans","elipsoid",10,7,2400,116,0.000000,0.000000,0.090000,14.080000
"ordinary-kriging","kmeans","elipsoid",10,7,2420,117,0.000000,0.000000,0.090000,14.230000
"ordinary-kriging","kmeans","elipsoid",10,7,2440,118,0.000000,0.000000,0.100000,14.380000
"ordinary-kriging","kmeans","elipsoid",10,7,2460,119,0.000000,0.000000,0.090000,14.520000
"ordinary-kriging","kmeans","elipsoid",10,7,2480,120,0.000000,0.000000,0.090000,14.670000
"ordinary-kriging","kmeans","elipsoid",10,7,2500,121,0.000000,0.000000,0.090000,14.810000
"ordinary-kriging","kmeans","elipsoid",10,7,2520,122,0.000000,0.000000,0.090000,14.950000
"ordinary-kriging","kmeans","elipsoid",10,7,2540,123,0.000000,0.000000,0.080000,15.090000
"ordinary-kriging","kmeans","elipsoid",10,7,2560,124,0.000000,0.000000,0.090000,15.240000
"ordinary-kriging","kmeans","elipsoid",10,7,2580,125,0.000000,0.000000,0.090000,15.380000
"ordinary-kriging","kmeans","elipsoid",10,7,2600,126,0.000000,0.000000,0.090000,15.520000
"ordinary-kriging","kmeans","elipsoid",10,7,2620,127,0.000000,0.000000,0.090000,15.660000
"ordinary-kriging","kmeans","elipsoid",10,7,2640,128,0.000000,0.000000,0.090000,15.800000
"ordinary-kriging","kmeans","elipsoid",10,7,2660,129,0.000000,0.000000,0.090000,15.950000
"ordinary-kriging","kmeans","elipsoid",10,7,2680,130,0.000000,0.000000,0.090000,16.090000
"ordinary-kriging","kmeans","elipsoid",10,7,2700,131,0.000000,0.000000,0.090000,16.230000
"ordinary-kriging","kmeans","elipsoid",10,7,2720,132,0.000000,0.000000,0.090000,16.370000
"ordinary-kriging","kmeans","elipsoid",10,7,2740,133,0.000000,0.000000,0.090000,16.520000
"ordinary-kriging","kmeans","elipsoid",10,7,2760,134,0.000000,0.000000,0.090000,16.660000
"ordinary-kriging","kmeans","elipsoid",10,7,2780,135,0.000000,0.000000,0.090000,16.800000
"ordinary-kriging","kmeans","elipsoid",10,7,2800,136,0.000000,0.000000,0.090000,16.950000
"ordinary-kriging","kmeans","elipsoid",10,7,2820,137,0.000000,0.000000,0.090000,17.090000
"ordinary-kriging","kmeans","elipsoid",10,7,2840,138,0.000000,0.000000,0.090000,17.240000
"ordinary-kriging","kmeans","elipsoid",10,7,2860,139,0.000000,0.000000,0.090000,17.390000
"ordinary-kriging","kmeans","elipsoid",10,7,2880,140,0.000000,0.000000,0.090000,17.530000
"ordinary-kriging","kmeans","elipsoid",10,7,2900,141,0.000000,0.000000,0.090000,17.680000
"ordinary-kriging","kmeans","elipsoid",10,7,2920,142,0.000000,0.000000,0.090000,17.820000
"ordinary-kriging","kmeans","elipsoid",10,7,2940,143,0.000000,0.000000,0.090000,17.960000
"ordinary-kriging","kmeans","elipsoid",10,7,2960,144,0.000000,0.000000,0.090000,18.110000
"ordinary-kriging","kmeans","elipsoid",10,7,2980,145,0.000000,0.000000,0.100000,18.260000
