METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","griewank",2,18,80,0,1.975727,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","griewank",2,18,100,1,1.480263,0.875083,0.030000,0.070000
"ordinary-kriging","kmeans","griewank",2,18,120,2,1.381508,4.525015,0.030000,0.140000
"ordinary-kriging","kmeans","griewank",2,18,140,3,0.123501,1.736579,0.030000,0.210000
"ordinary-kriging","kmeans","griewank",2,18,160,4,0.123501,1.372498,0.030000,0.280000
"ordinary-kriging","kmeans","griewank",2,18,180,5,0.123501,2.611899,0.030000,0.350000
"ordinary-kriging","kmeans","griewank",2,18,200,6,0.123501,1.132907,0.030000,0.420000
"ordinary-kriging","kmeans","griewank",2,18,220,7,0.066593,1.760926,0.030000,0.490000
"ordinary-kriging","kmeans","griewank",2,18,240,8,0.066593,0.478878,0.030000,0.560000
"ordinary-kriging","kmeans","griewank",2,18,260,9,0.030715,0.532617,0.030000,0.630000
"ordinary-kriging","kmeans","griewank",2,18,280,10,0.030715,0.731382,0.030000,0.700000
"ordinary-kriging","kmeans","griewank",2,18,300,11,0.030715,0.512199,0.030000,0.770000
"ordinary-kriging","kmeans","griewank",2,18,320,12,0.030715,0.349253,0.020000,0.830000
"ordinary-kriging","kmeans","griewank",2,18,340,13,0.030715,0.432190,0.030000,0.900000
"ordinary-kriging","kmeans","griewank",2,18,360,14,0.030715,0.429564,0.030000,0.970000
"ordinary-kriging","kmeans","griewank",2,18,380,15,0.011198,0.412084,0.020000,1.050000
"ordinary-kriging","kmeans","griewank",2,18,400,16,0.003515,0.370132,0.020000,1.120000
"ordinary-kriging","kmeans","griewank",2,18,420,17,0.003515,0.587000,0.020000,1.180000
"ordinary-kriging","kmeans","griewank",2,18,440,18,0.003515,0.487069,0.030000,1.250000
"ordinary-kriging","kmeans","griewank",2,18,460,19,0.003515,0.703461,0.030000,1.320000
"ordinary-kriging","kmeans","griewank",2,18,480,20,0.003515,0.412344,0.030000,1.390000
"ordinary-kriging","kmeans","griewank",2,18,500,21,0.003515,0.385049,0.030000,1.460000
"ordinary-kriging","kmeans","griewank",2,18,520,22,0.003515,0.525880,0.020000,1.520000
"ordinary-kriging","kmeans","griewank",2,18,540,23,0.003515,0.517056,0.030000,1.590000
"ordinary-kriging","kmeans","griewank",2,18,560,24,0.003515,0.556671,0.030000,1.660000
"ordinary-kriging","kmeans","griewank",2,18,580,25,0.003515,0.482461,0.030000,1.730000
"ordinary-kriging","kmeans","griewank",2,18,600,26,0.003515,0.438066,0.020000,1.790000
"ordinary-kriging","kmeans","griewank",2,18,620,27,0.003515,0.497553,0.030000,1.860000
"ordinary-kriging","kmeans","griewank",2,18,640,28,0.003515,0.510052,0.030000,1.930000
"ordinary-kriging","kmeans","griewank",2,18,660,29,0.003515,0.365161,0.030000,2.000000
"ordinary-kriging","kmeans","griewank",2,18,680,30,0.003515,0.513095,0.030000,2.070000
"ordinary-kriging","kmeans","griewank",2,18,700,31,0.003515,0.491926,0.030000,2.140000
"ordinary-kriging","kmeans","griewank",2,18,720,32,0.003515,0.635418,0.030000,2.210000
"ordinary-kriging","kmeans","griewank",2,18,740,33,0.003515,0.496949,0.020000,2.270000
"ordinary-kriging","kmeans","griewank",2,18,760,34,0.003515,0.637467,0.030000,2.340000
"ordinary-kriging","kmeans","griewank",2,18,780,35,0.003515,0.358136,0.030000,2.410000
"ordinary-kriging","kmeans","griewank",2,18,800,36,0.003515,0.533185,0.030000,2.480000
"ordinary-kriging","kmeans","griewank",2,18,820,37,0.003515,0.659848,0.030000,2.550000
"ordinary-kriging","kmeans","griewank",2,18,840,38,0.003515,0.549298,0.020000,2.610000
"ordinary-kriging","kmeans","griewank",2,18,860,39,0.003515,0.499739,0.040000,2.690000
"ordinary-kriging","kmeans","griewank",2,18,880,40,0.003515,0.483253,0.030000,2.760000
"ordinary-kriging","kmeans","griewank",2,18,900,41,0.003515,0.545523,0.040000,2.840000
"ordinary-kriging","kmeans","griewank",2,18,920,42,0.003515,0.535524,0.030000,2.910000
"ordinary-kriging","kmeans","griewank",2,18,940,43,0.003515,0.372831,0.030000,2.980000
"ordinary-kriging","kmeans","griewank",2,18,960,44,0.003515,0.518425,0.040000,3.060000
"ordinary-kriging","kmeans","griewank",2,18,980,45,0.003515,0.407811,0.020000,3.120000
"ordinary-kriging","kmeans","griewank",2,18,1000,46,0.003515,0.487258,0.030000,3.190000
