METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","levy",5,1,80,0,6.733461,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","levy",5,1,100,1,1.125083,10.625098,0.030000,0.070000
"ordinary-kriging","kmeans","levy",5,1,120,2,0.510180,3.620195,0.030000,0.140000
"ordinary-kriging","kmeans","levy",5,1,140,3,0.510180,2.184301,0.030000,0.210000
"ordinary-kriging","kmeans","levy",5,1,160,4,0.173411,0.646706,0.030000,0.280000
"ordinary-kriging","kmeans","levy",5,1,180,5,0.150260,0.401323,0.030000,0.350000
"ordinary-kriging","kmeans","levy",5,1,200,6,0.092728,0.151504,0.030000,0.420000
"ordinary-kriging","kmeans","levy",5,1,220,7,0.011623,0.037467,0.030000,0.490000
"ordinary-kriging","kmeans","levy",5,1,240,8,0.011623,0.024892,0.030000,0.560000
"ordinary-kriging","kmeans","levy",5,1,260,9,0.005348,0.009359,0.030000,0.630000
"ordinary-kriging","kmeans","levy",5,1,280,10,0.001826,0.006158,0.030000,0.700000
"ordinary-kriging","kmeans","levy",5,1,300,11,0.001180,0.021806,0.030000,0.770000
"ordinary-kriging","kmeans","levy",5,1,320,12,0.000438,0.011288,0.030000,0.840000
"ordinary-kriging","kmeans","levy",5,1,340,13,0.000095,0.025797,0.030000,0.910000
"ordinary-kriging","kmeans","levy",5,1,360,14,0.000032,0.023355,0.030000,0.990000
"ordinary-kriging","kmeans","levy",5,1,380,15,0.000032,0.041918,0.030000,1.060000
"ordinary-kriging","kmeans","levy",5,1,400,16,0.000032,0.041156,0.030000,1.130000
"ordinary-kriging","kmeans","levy",5,1,420,17,0.000032,0.055758,0.030000,1.200000
"ordinary-kriging","kmeans","levy",5,1,440,18,0.000032,0.038950,0.030000,1.270000
"ordinary-kriging","kmeans","levy",5,1,460,19,0.000032,0.040886,0.030000,1.340000
"ordinary-kriging","kmeans","levy",5,1,480,20,0.000032,0.047572,0.030000,1.410000
"ordinary-kriging","kmeans","levy",5,1,500,21,0.000011,0.083523,0.030000,1.480000
"ordinary-kriging","kmeans","levy",5,1,520,22,0.000011,0.087325,0.020000,1.540000
"ordinary-kriging","kmeans","levy",5,1,540,23,0.000010,0.060630,0.030000,1.610000
"ordinary-kriging","kmeans","levy",5,1,560,24,0.000010,0.046162,0.030000,1.680000
"ordinary-kriging","kmeans","levy",5,1,580,25,0.000005,0.035158,0.030000,1.750000
"ordinary-kriging","kmeans","levy",5,1,600,26,0.000005,0.075623,0.030000,1.820000
"ordinary-kriging","kmeans","levy",5,1,620,27,0.000005,0.104593,0.030000,1.890000
"ordinary-kriging","kmeans","levy",5,1,640,28,0.000005,0.107129,0.030000,1.960000
"ordinary-kriging","kmeans","levy",5,1,660,29,0.000005,0.141926,0.030000,2.030000
"ordinary-kriging","kmeans","levy",5,1,680,30,0.000003,0.044508,0.030000,2.100000
"ordinary-kriging","kmeans","levy",5,1,700,31,0.000003,0.088866,0.040000,2.180000
"ordinary-kriging","kmeans","levy",5,1,720,32,0.000003,0.075901,0.040000,2.250000
"ordinary-kriging","kmeans","levy",5,1,740,33,0.000002,0.095948,0.030000,2.320000
"ordinary-kriging","kmeans","levy",5,1,760,34,0.000002,0.098651,0.030000,2.390000
"ordinary-kriging","kmeans","levy",5,1,780,35,0.000001,0.107844,0.030000,2.460000
"ordinary-kriging","kmeans","levy",5,1,800,36,0.000001,0.059402,0.040000,2.540000
"ordinary-kriging","kmeans","levy",5,1,820,37,0.000001,0.058356,0.030000,2.610000
"ordinary-kriging","kmeans","levy",5,1,840,38,0.000000,0.075711,0.030000,2.680000
"ordinary-kriging","kmeans","levy",5,1,860,39,0.000000,0.081576,0.030000,2.750000
"ordinary-kriging","kmeans","levy",5,1,880,40,0.000000,0.117769,0.030000,2.830000
"ordinary-kriging","kmeans","levy",5,1,900,41,0.000000,0.115649,0.040000,2.900000
"ordinary-kriging","kmeans","levy",5,1,920,42,0.000000,0.061021,0.030000,2.970000
"ordinary-kriging","kmeans","levy",5,1,940,43,0.000000,0.041139,0.030000,3.050000
"ordinary-kriging","kmeans","levy",5,1,960,44,0.000000,0.106892,0.030000,3.120000
"ordinary-kriging","kmeans","levy",5,1,980,45,0.000000,0.034851,0.030000,3.190000
"ordinary-kriging","kmeans","levy",5,1,1000,46,0.000000,0.001248,0.030000,3.260000
