METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","perm0db",10,14,80,0,27133446205749932032.000000,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","perm0db",10,14,100,1,3251411220693157376.000000,12533685636473787777024.000000,0.050000,0.120000
"ordinary-kriging","kmeans","perm0db",10,14,120,2,10784516091138242.000000,6299678053993386344448.000000,0.040000,0.230000
"ordinary-kriging","kmeans","perm0db",10,14,140,3,9194267871642276.000000,6387144431194329841664.000000,0.050000,0.340000
"ordinary-kriging","kmeans","perm0db",10,14,160,4,9194267871642276.000000,2806352340947590709248.000000,0.060000,0.460000
"ordinary-kriging","kmeans","perm0db",10,14,180,5,12312218082955.914062,1164588920439398072320.000000,0.050000,0.580000
"ordinary-kriging","kmeans","perm0db",10,14,200,6,3150368876074.895508,1904934691681172455424.000000,0.050000,0.690000
"ordinary-kriging","kmeans","perm0db",10,14,220,7,3150368876074.895508,1208733363607004250112.000000,0.050000,0.800000
"ordinary-kriging","kmeans","perm0db",10,14,240,8,1932733184171.125732,151330365066296262656.000000,0.050000,0.890000
"ordinary-kriging","kmeans","perm0db",10,14,260,9,36150125.307380,1489207906616668416.000000,0.030000,0.960000
"ordinary-kriging","kmeans","perm0db",10,14,280,10,36150125.307380,1277538779585692160.000000,0.040000,1.040000
"ordinary-kriging","kmeans","perm0db",10,14,300,11,36150125.307380,9884598848387508224.000000,0.030000,1.110000
"ordinary-kriging","kmeans","perm0db",10,14,320,12,36150125.307380,46623054361438064.000000,0.040000,1.190000
"ordinary-kriging","kmeans","perm0db",10,14,340,13,36150125.307380,12325109983723206.000000,0.030000,1.270000
"ordinary-kriging","kmeans","perm0db",10,14,360,14,5947063.151955,4432280784110149.000000,0.030000,1.350000
"ordinary-kriging","kmeans","perm0db",10,14,380,15,5947063.151955,2259131199988699.500000,0.040000,1.420000
"ordinary-kriging","kmeans","perm0db",10,14,400,16,5947063.151955,622976348824243.500000,0.030000,1.500000
"ordinary-kriging","kmeans","perm0db",10,14,420,17,33491.635765,18586713459072.136719,0.030000,1.570000
"ordinary-kriging","kmeans","perm0db",10,14,440,18,33491.635765,12225001110903.339844,0.030000,1.650000
"ordinary-kriging","kmeans","perm0db",10,14,460,19,33491.635765,8098595159807.513672,0.030000,1.720000
"ordinary-kriging","kmeans","perm0db",10,14,480,20,9689.639248,4214229417494.140625,0.040000,1.800000
"ordinary-kriging","kmeans","perm0db",10,14,500,21,6630.092884,576177943539.715332,0.030000,1.880000
"ordinary-kriging","kmeans","perm0db",10,14,520,22,6630.092884,306522230421.813171,0.030000,1.950000
"ordinary-kriging","kmeans","perm0db",10,14,540,23,6630.092884,26153717707.725910,0.030000,2.030000
"ordinary-kriging","kmeans","perm0db",10,14,560,24,6630.092884,826389770.527890,0.030000,2.110000
"ordinary-kriging","kmeans","perm0db",10,14,580,25,2452.257072,2517193980.314896,0.030000,2.180000
"ordinary-kriging","kmeans","perm0db",10,14,600,26,2425.573205,1894165484.360093,0.040000,2.260000
