METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","rastrigin",10,19,80,0,124.618195,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","rastrigin",10,19,100,1,111.060083,17.308084,0.050000,0.120000
"ordinary-kriging","kmeans","rastrigin",10,19,120,2,91.048142,17.951039,0.030000,0.200000
"ordinary-kriging","kmeans","rastrigin",10,19,140,3,91.048142,16.040447,0.030000,0.280000
"ordinary-kriging","kmeans","rastrigin",10,19,160,4,70.180442,22.002981,0.030000,0.360000
"ordinary-kriging","kmeans","rastrigin",10,19,180,5,70.180442,25.797223,0.040000,0.440000
"ordinary-kriging","kmeans","rastrigin",10,19,200,6,67.456636,22.192178,0.040000,0.520000
"ordinary-kriging","kmeans","rastrigin",10,19,220,7,59.423968,17.804195,0.040000,0.600000
"ordinary-kriging","kmeans","rastrigin",10,19,240,8,54.707401,15.733014,0.040000,0.680000
"ordinary-kriging","kmeans","rastrigin",10,19,260,9,51.314463,17.459586,0.040000,0.760000
"ordinary-kriging","kmeans","rastrigin",10,19,280,10,51.314463,15.918974,0.040000,0.850000
"ordinary-kriging","kmeans","rastrigin",10,19,300,11,41.924065,16.654741,0.040000,0.930000
"ordinary-kriging","kmeans","rastrigin",10,19,320,12,41.924065,18.706104,0.030000,1.010000
"ordinary-kriging","kmeans","rastrigin",10,19,340,13,41.924065,16.216712,0.030000,1.090000
"ordinary-kriging","kmeans","rastrigin",10,19,360,14,39.798971,17.086444,0.030000,1.170000
"ordinary-kriging","kmeans","rastrigin",10,19,380,15,37.480252,15.732908,0.030000,1.250000
"ordinary-kriging","kmeans","rastrigin",10,19,400,16,27.604139,21.239940,0.030000,1.330000
"ordinary-kriging","kmeans","rastrigin",10,19,420,17,27.604139,18.107372,0.040000,1.410000
"ordinary-kriging","kmeans","rastrigin",10,19,440,18,26.797750,19.224937,0.040000,1.490000
"ordinary-kriging","kmeans","rastrigin",10,19,460,19,26.797750,12.292160,0.030000,1.570000
"ordinary-kriging","kmeans","rastrigin",10,19,480,20,22.681357,14.204896,0.030000,1.650000
"ordinary-kriging","kmeans","rastrigin",10,19,500,21,22.200467,16.676385,0.040000,1.730000
"ordinary-kriging","kmeans","rastrigin",10,19,520,22,19.642129,9.282573,0.040000,1.810000
"ordinary-kriging","kmeans","rastrigin",10,19,540,23,17.482867,12.533162,0.040000,1.890000
"ordinary-kriging","kmeans","rastrigin",10,19,560,24,12.541599,6.727930,0.030000,1.970000
"ordinary-kriging","kmeans","rastrigin",10,19,580,25,12.203218,8.963635,0.040000,2.050000
"ordinary-kriging","kmeans","rastrigin",10,19,600,26,12.201220,9.057006,0.040000,2.130000
"ordinary-kriging","kmeans","rastrigin",10,19,620,27,10.978386,7.842138,0.030000,2.210000
"ordinary-kriging","kmeans","rastrigin",10,19,640,28,10.978386,6.693859,0.030000,2.290000
"ordinary-kriging","kmeans","rastrigin",10,19,660,29,9.902181,2.707240,0.030000,2.370000
"ordinary-kriging","kmeans","rastrigin",10,19,680,30,9.525581,5.852416,0.030000,2.440000
"ordinary-kriging","kmeans","rastrigin",10,19,700,31,8.858067,4.782480,0.040000,2.520000
"ordinary-kriging","kmeans","rastrigin",10,19,720,32,8.858067,8.118898,0.040000,2.600000
"ordinary-kriging","kmeans","rastrigin",10,19,740,33,8.313289,8.878339,0.040000,2.680000
"ordinary-kriging","kmeans","rastrigin",10,19,760,34,8.313289,6.254658,0.030000,2.760000
"ordinary-kriging","kmeans","rastrigin",10,19,780,35,7.947112,4.468471,0.030000,2.840000
"ordinary-kriging","kmeans","rastrigin",10,19,800,36,7.772243,1.538963,0.030000,2.920000
"ordinary-kriging","kmeans","rastrigin",10,19,820,37,7.397467,0.513151,0.030000,2.990000
"ordinary-kriging","kmeans","rastrigin",10,19,840,38,7.397467,0.276255,0.040000,3.070000
"ordinary-kriging","kmeans","rastrigin",10,19,860,39,7.199916,0.081982,0.040000,3.150000
"ordinary-kriging","kmeans","rastrigin",10,19,880,40,7.073491,0.045303,0.030000,3.230000
"ordinary-kriging","kmeans","rastrigin",10,19,900,41,7.037627,0.029430,0.030000,3.310000
"ordinary-kriging","kmeans","rastrigin",10,19,920,42,7.014365,0.008262,0.030000,3.380000
"ordinary-kriging","kmeans","rastrigin",10,19,940,43,6.992834,0.006577,0.040000,3.460000
"ordinary-kriging","kmeans","rastrigin",10,19,960,44,6.976531,0.002431,0.030000,3.540000
"ordinary-kriging","kmeans","rastrigin",10,19,980,45,6.973125,0.001347,0.030000,3.610000
"ordinary-kriging","kmeans","rastrigin",10,19,1000,46,6.968312,0.000556,0.040000,3.690000
"ordinary-kriging","kmeans","rastrigin",10,19,1020,47,6.967384,0.000715,0.040000,3.770000
"ordinary-kriging","kmeans","rastrigin",10,19,1040,48,6.965850,0.000222,0.030000,3.850000
"ordinary-kriging","kmeans","rastrigin",10,19,1060,49,6.965440,0.000097,0.030000,3.930000
"ordinary-kriging","kmeans","rastrigin",10,19,1080,50,6.965026,0.000099,0.030000,4.000000
"ordinary-kriging","kmeans","rastrigin",10,19,1100,51,6.964930,0.000054,0.040000,4.080000
"ordinary-kriging","kmeans","rastrigin",10,19,1120,52,6.964797,0.000023,0.030000,4.160000
"ordinary-kriging","kmeans","rastrigin",10,19,1140,53,6.964756,0.000009,0.040000,4.240000
"ordinary-kriging","kmeans","rastrigin",10,19,1160,54,6.964734,0.000009,0.030000,4.320000
"ordinary-kriging","kmeans","rastrigin",10,19,1180,55,6.964722,0.000008,0.030000,4.390000
"ordinary-kriging","kmeans","rastrigin",10,19,1200,56,6.964719,0.000003,0.040000,4.470000
"ordinary-kriging","kmeans","rastrigin",10,19,1220,57,6.964712,0.000001,0.030000,4.550000
"ordinary-kriging","kmeans","rastrigin",10,19,1240,58,6.964710,0.000001,0.030000,4.630000
"ordinary-kriging","kmeans","rastrigin",10,19,1260,59,6.964710,0.000001,0.030000,4.700000
"ordinary-kriging","kmeans","rastrigin",10,19,1280,60,6.964709,0.000000,0.040000,4.780000
"ordinary-kriging","kmeans","rastrigin",10,19,1300,61,6.964709,0.000000,0.030000,4.860000
"ordinary-kriging","kmeans","rastrigin",10,19,1320,62,6.964709,0.000000,0.030000,4.940000
"ordinary-kriging","kmeans","rastrigin",10,19,1340,63,6.964708,0.000000,0.030000,5.010000
"ordinary-kriging","kmeans","rastrigin",10,19,1360,64,6.964708,0.000000,0.040000,5.090000
"ordinary-kriging","kmeans","rastrigin",10,19,1380,65,6.964708,0.000000,0.030000,5.170000
"ordinary-kriging","kmeans","rastrigin",10,19,1400,66,6.964708,0.000000,0.030000,5.240000
"ordinary-kriging","kmeans","rastrigin",10,19,1420,67,6.964708,0.000000,0.030000,5.320000
"ordinary-kriging","kmeans","rastrigin",10,19,1440,68,6.964708,0.000000,0.030000,5.390000
"ordinary-kriging","kmeans","rastrigin",10,19,1460,69,6.964708,0.000000,0.030000,5.470000
"ordinary-kriging","kmeans","rastrigin",10,19,1480,70,6.964708,0.000000,0.030000,5.540000
"ordinary-kriging","kmeans","rastrigin",10,19,1500,71,6.964708,0.000000,0.090000,5.690000
"ordinary-kriging","kmeans","rastrigin",10,19,1520,72,6.964708,0.000000,0.090000,5.830000
"ordinary-kriging","kmeans","rastrigin",10,19,1540,73,6.964708,0.000000,0.110000,6.000000
"ordinary-kriging","kmeans","rastrigin",10,19,1560,74,6.964708,0.000000,0.090000,6.150000
"ordinary-kriging","kmeans","rastrigin",10,19,1580,75,6.964708,0.000000,0.090000,6.310000
"ordinary-kriging","kmeans","rastrigin",10,19,1600,76,6.964708,0.000000,0.090000,6.450000
"ordinary-kriging","kmeans","rastrigin",10,19,1620,77,6.964708,0.000000,0.090000,6.610000
"ordinary-kriging","kmeans","rastrigin",10,19,1640,78,6.964708,0.000000,0.090000,6.750000
"ordinary-kriging","kmeans","rastrigin",10,19,1660,79,6.964708,0.000000,0.090000,6.900000
"ordinary-kriging","kmeans","rastrigin",10,19,1680,80,6.964708,0.000000,0.090000,7.050000
"ordinary-kriging","kmeans","rastrigin",10,19,1700,81,6.964708,0.000000,0.090000,7.200000
"ordinary-kriging","kmeans","rastrigin",10,19,1720,82,6.964708,0.000000,0.100000,7.350000
"ordinary-kriging","kmeans","rastrigin",10,19,1740,83,6.964708,0.000000,0.100000,7.500000
"ordinary-kriging","kmeans","rastrigin",10,19,1760,84,6.964708,0.000000,0.090000,7.650000
"ordinary-kriging","kmeans","rastrigin",10,19,1780,85,6.964708,0.000000,0.100000,7.800000
"ordinary-kriging","kmeans","rastrigin",10,19,1800,86,6.964708,0.000000,0.100000,7.950000
"ordinary-kriging","kmeans","rastrigin",10,19,1820,87,6.964708,0.000000,0.100000,8.100000
"ordinary-kriging","kmeans","rastrigin",10,19,1840,88,6.964708,0.000000,0.100000,8.250000
