METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","rosen",10,17,80,0,563.345909,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","rosen",10,17,100,1,558.276165,1154.885080,0.040000,0.080000
"ordinary-kriging","kmeans","rosen",10,17,120,2,369.812810,437.955212,0.030000,0.150000
"ordinary-kriging","kmeans","rosen",10,17,140,3,143.210792,279.204636,0.030000,0.220000
"ordinary-kriging","kmeans","rosen",10,17,160,4,92.605718,239.313743,0.020000,0.280000
"ordinary-kriging","kmeans","rosen",10,17,180,5,65.470007,111.641232,0.030000,0.350000
"ordinary-kriging","kmeans","rosen",10,17,200,6,65.470007,193.786892,0.030000,0.420000
"ordinary-kriging","kmeans","rosen",10,17,220,7,57.136350,187.764223,0.020000,0.480000
"ordinary-kriging","kmeans","rosen",10,17,240,8,41.312981,53.158606,0.030000,0.550000
"ordinary-kriging","kmeans","rosen",10,17,260,9,37.023264,48.586876,0.030000,0.620000
"ordinary-kriging","kmeans","rosen",10,17,280,10,34.771453,15.438592,0.030000,0.690000
"ordinary-kriging","kmeans","rosen",10,17,300,11,29.540079,29.365345,0.030000,0.750000
"ordinary-kriging","kmeans","rosen",10,17,320,12,21.591195,63.810133,0.030000,0.820000
"ordinary-kriging","kmeans","rosen",10,17,340,13,15.617366,43.078651,0.030000,0.890000
"ordinary-kriging","kmeans","rosen",10,17,360,14,9.366358,23.087698,0.020000,0.950000
"ordinary-kriging","kmeans","rosen",10,17,380,15,9.366358,21.789967,0.030000,1.020000
"ordinary-kriging","kmeans","rosen",10,17,400,16,8.714247,21.896948,0.030000,1.090000
"ordinary-kriging","kmeans","rosen",10,17,420,17,7.424180,8.319990,0.020000,1.160000
"ordinary-kriging","kmeans","rosen",10,17,440,18,6.429352,13.218650,0.030000,1.220000
"ordinary-kriging","kmeans","rosen",10,17,460,19,5.997084,12.775309,0.030000,1.290000
"ordinary-kriging","kmeans","rosen",10,17,480,20,5.147343,20.521188,0.030000,1.360000
"ordinary-kriging","kmeans","rosen",10,17,500,21,4.214921,65.191874,0.030000,1.420000
"ordinary-kriging","kmeans","rosen",10,17,520,22,3.849150,28.571973,0.030000,1.490000
"ordinary-kriging","kmeans","rosen",10,17,540,23,3.607870,17.701392,0.030000,1.560000
"ordinary-kriging","kmeans","rosen",10,17,560,24,3.538711,1.195817,0.030000,1.630000
"ordinary-kriging","kmeans","rosen",10,17,580,25,3.511971,0.910175,0.030000,1.700000
"ordinary-kriging","kmeans","rosen",10,17,600,26,3.491361,0.713543,0.030000,1.760000
"ordinary-kriging","kmeans","rosen",10,17,620,27,3.383758,0.140433,0.030000,1.830000
