METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","stybtang",15,19,200,0,247.511643,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","stybtang",15,19,220,1,239.883527,142.691753,0.070000,0.110000
"ordinary-kriging","kmeans","stybtang",15,19,240,2,239.883527,98.261472,0.070000,0.230000
"ordinary-kriging","kmeans","stybtang",15,19,260,3,222.628899,69.375885,0.040000,0.320000
"ordinary-kriging","kmeans","stybtang",15,19,280,4,186.901256,84.652839,0.040000,0.410000
"ordinary-kriging","kmeans","stybtang",15,19,300,5,185.443155,67.111796,0.040000,0.500000
"ordinary-kriging","kmeans","stybtang",15,19,320,6,137.293043,53.016616,0.050000,0.580000
"ordinary-kriging","kmeans","stybtang",15,19,340,7,125.257243,39.803762,0.050000,0.670000
"ordinary-kriging","kmeans","stybtang",15,19,360,8,125.257243,22.498882,0.050000,0.760000
"ordinary-kriging","kmeans","stybtang",15,19,380,9,119.905752,26.369992,0.050000,0.850000
"ordinary-kriging","kmeans","stybtang",15,19,400,10,97.960708,20.233882,0.050000,0.940000
"ordinary-kriging","kmeans","stybtang",15,19,420,11,90.930993,22.720104,0.050000,1.040000
"ordinary-kriging","kmeans","stybtang",15,19,440,12,76.891621,16.857198,0.040000,1.130000
"ordinary-kriging","kmeans","stybtang",15,19,460,13,61.369083,15.470327,0.040000,1.220000
"ordinary-kriging","kmeans","stybtang",15,19,480,14,61.369083,8.862409,0.050000,1.320000
"ordinary-kriging","kmeans","stybtang",15,19,500,15,58.072480,5.404601,0.050000,1.410000
"ordinary-kriging","kmeans","stybtang",15,19,520,16,52.868728,2.716644,0.040000,1.500000
"ordinary-kriging","kmeans","stybtang",15,19,540,17,48.926790,0.850465,0.040000,1.590000
"ordinary-kriging","kmeans","stybtang",15,19,560,18,46.478013,0.711335,0.050000,1.670000
"ordinary-kriging","kmeans","stybtang",15,19,580,19,45.215406,0.441598,0.050000,1.760000
"ordinary-kriging","kmeans","stybtang",15,19,600,20,44.193010,0.522048,0.050000,1.860000
"ordinary-kriging","kmeans","stybtang",15,19,620,21,43.427033,0.271615,0.050000,1.950000
"ordinary-kriging","kmeans","stybtang",15,19,640,22,43.047609,0.133282,0.050000,2.040000
"ordinary-kriging","kmeans","stybtang",15,19,660,23,42.892616,0.127404,0.040000,2.130000
"ordinary-kriging","kmeans","stybtang",15,19,680,24,42.719721,0.111262,0.040000,2.220000
"ordinary-kriging","kmeans","stybtang",15,19,700,25,42.697898,0.062715,0.040000,2.310000
"ordinary-kriging","kmeans","stybtang",15,19,720,26,42.634422,0.032773,0.040000,2.400000
"ordinary-kriging","kmeans","stybtang",15,19,740,27,42.570550,0.025384,0.040000,2.490000
"ordinary-kriging","kmeans","stybtang",15,19,760,28,42.533346,0.014926,0.050000,2.580000
"ordinary-kriging","kmeans","stybtang",15,19,780,29,42.498531,0.019263,0.040000,2.670000
"ordinary-kriging","kmeans","stybtang",15,19,800,30,42.466115,0.007682,0.040000,2.760000
"ordinary-kriging","kmeans","stybtang",15,19,820,31,42.455682,0.005584,0.050000,2.850000
"ordinary-kriging","kmeans","stybtang",15,19,840,32,42.446601,0.004503,0.050000,2.940000
"ordinary-kriging","kmeans","stybtang",15,19,860,33,42.436779,0.004214,0.040000,3.030000
"ordinary-kriging","kmeans","stybtang",15,19,880,34,42.427599,0.005188,0.040000,3.120000
