METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","kmeans","zakharov",10,6,80,0,168.288562,0.000000,0.000000,0.000000
"ordinary-kriging","kmeans","zakharov",10,6,100,1,168.288562,56136581.241927,0.040000,0.080000
"ordinary-kriging","kmeans","zakharov",10,6,120,2,168.288562,31796939.850432,0.030000,0.150000
"ordinary-kriging","kmeans","zakharov",10,6,140,3,168.288562,15265970.953194,0.040000,0.230000
"ordinary-kriging","kmeans","zakharov",10,6,160,4,122.390908,9779383.389111,0.030000,0.300000
"ordinary-kriging","kmeans","zakharov",10,6,180,5,122.390908,9439814.593456,0.030000,0.370000
"ordinary-kriging","kmeans","zakharov",10,6,200,6,113.334692,1944544.637384,0.030000,0.450000
"ordinary-kriging","kmeans","zakharov",10,6,220,7,113.334692,711297.894772,0.040000,0.520000
"ordinary-kriging","kmeans","zakharov",10,6,240,8,75.003180,543605.491892,0.030000,0.590000
"ordinary-kriging","kmeans","zakharov",10,6,260,9,75.003180,2501786.018515,0.030000,0.660000
"ordinary-kriging","kmeans","zakharov",10,6,280,10,75.003180,1491088.500870,0.040000,0.740000
"ordinary-kriging","kmeans","zakharov",10,6,300,11,75.003180,249760.416089,0.040000,0.820000
"ordinary-kriging","kmeans","zakharov",10,6,320,12,75.003180,707402.966992,0.030000,0.890000
"ordinary-kriging","kmeans","zakharov",10,6,340,13,75.003180,472536.015518,0.030000,0.970000
"ordinary-kriging","kmeans","zakharov",10,6,360,14,67.085952,1620528.221899,0.030000,1.040000
"ordinary-kriging","kmeans","zakharov",10,6,380,15,67.085952,1555412.531379,0.030000,1.110000
"ordinary-kriging","kmeans","zakharov",10,6,400,16,67.085952,534228.583984,0.030000,1.190000
"ordinary-kriging","kmeans","zakharov",10,6,420,17,67.085952,937429.393766,0.030000,1.260000
"ordinary-kriging","kmeans","zakharov",10,6,440,18,67.085952,1118675.966117,0.030000,1.330000
"ordinary-kriging","kmeans","zakharov",10,6,460,19,67.085952,1083284.484932,0.030000,1.410000
"ordinary-kriging","kmeans","zakharov",10,6,480,20,67.085952,2428996.540868,0.030000,1.480000
"ordinary-kriging","kmeans","zakharov",10,6,500,21,67.085952,424660.291018,0.030000,1.550000
"ordinary-kriging","kmeans","zakharov",10,6,520,22,65.759199,210059.501187,0.040000,1.630000
"ordinary-kriging","kmeans","zakharov",10,6,540,23,65.759199,100627.102768,0.030000,1.700000
"ordinary-kriging","kmeans","zakharov",10,6,560,24,65.759199,248689.338044,0.030000,1.780000
"ordinary-kriging","kmeans","zakharov",10,6,580,25,62.209737,79907.607946,0.030000,1.850000
"ordinary-kriging","kmeans","zakharov",10,6,600,26,62.209737,402129.665385,0.030000,1.920000
"ordinary-kriging","kmeans","zakharov",10,6,620,27,62.209737,752746.153715,0.030000,2.000000
"ordinary-kriging","kmeans","zakharov",10,6,640,28,62.209737,256849.522606,0.040000,2.070000
"ordinary-kriging","kmeans","zakharov",10,6,660,29,62.209737,673459.147024,0.030000,2.140000
"ordinary-kriging","kmeans","zakharov",10,6,680,30,62.209737,268732.735718,0.030000,2.220000
"ordinary-kriging","kmeans","zakharov",10,6,700,31,62.209737,50290.852477,0.040000,2.290000
"ordinary-kriging","kmeans","zakharov",10,6,720,32,62.209737,332239.466666,0.030000,2.360000
"ordinary-kriging","kmeans","zakharov",10,6,740,33,62.209737,321610.858521,0.030000,2.440000
"ordinary-kriging","kmeans","zakharov",10,6,760,34,62.209737,285383.481557,0.030000,2.510000
"ordinary-kriging","kmeans","zakharov",10,6,780,35,62.209737,193480.526841,0.030000,2.580000
"ordinary-kriging","kmeans","zakharov",10,6,800,36,62.209737,926826.968554,0.030000,2.660000
"ordinary-kriging","kmeans","zakharov",10,6,820,37,62.209737,1601876.718789,0.030000,2.730000
"ordinary-kriging","kmeans","zakharov",10,6,840,38,62.209737,943510.453623,0.030000,2.800000
"ordinary-kriging","kmeans","zakharov",10,6,860,39,62.209737,678354.570213,0.030000,2.880000
"ordinary-kriging","kmeans","zakharov",10,6,880,40,62.209737,1208320.727231,0.030000,2.950000
"ordinary-kriging","kmeans","zakharov",10,6,900,41,62.209737,527323.669027,0.030000,3.020000
"ordinary-kriging","kmeans","zakharov",10,6,920,42,56.807930,1306757.449918,0.040000,3.100000
"ordinary-kriging","kmeans","zakharov",10,6,940,43,56.593886,165654.889500,0.030000,3.170000
"ordinary-kriging","kmeans","zakharov",10,6,960,44,56.593886,367878.413383,0.030000,3.250000
"ordinary-kriging","kmeans","zakharov",10,6,980,45,56.593886,311765.420394,0.040000,3.320000
"ordinary-kriging","kmeans","zakharov",10,6,1000,46,56.593886,590898.548441,0.030000,3.390000
"ordinary-kriging","kmeans","zakharov",10,6,1020,47,56.593886,816759.879767,0.030000,3.460000
"ordinary-kriging","kmeans","zakharov",10,6,1040,48,56.593886,507356.340698,0.030000,3.540000
"ordinary-kriging","kmeans","zakharov",10,6,1060,49,56.593886,614060.392270,0.030000,3.620000
"ordinary-kriging","kmeans","zakharov",10,6,1080,50,56.593886,250318.616251,0.030000,3.690000
"ordinary-kriging","kmeans","zakharov",10,6,1100,51,56.593886,493363.219745,0.030000,3.760000
"ordinary-kriging","kmeans","zakharov",10,6,1120,52,31.875109,1499731.795237,0.030000,3.840000
"ordinary-kriging","kmeans","zakharov",10,6,1140,53,31.875109,404174.496333,0.030000,3.910000
"ordinary-kriging","kmeans","zakharov",10,6,1160,54,31.875109,365287.614435,0.030000,3.980000
"ordinary-kriging","kmeans","zakharov",10,6,1180,55,31.875109,926967.236298,0.030000,4.050000
"ordinary-kriging","kmeans","zakharov",10,6,1200,56,31.875109,492165.276625,0.030000,4.120000
"ordinary-kriging","kmeans","zakharov",10,6,1220,57,31.875109,436668.974873,0.030000,4.190000
"ordinary-kriging","kmeans","zakharov",10,6,1240,58,31.875109,538451.559806,0.030000,4.260000
