METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","ackley",5,17,80,0,15.732759,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","ackley",5,17,100,1,14.217987,1.057537,0.030000,0.070000
"ordinary-kriging","lowest","ackley",5,17,120,2,11.533228,1.041165,0.030000,0.140000
"ordinary-kriging","lowest","ackley",5,17,140,3,7.857705,1.360538,0.030000,0.210000
"ordinary-kriging","lowest","ackley",5,17,160,4,5.184620,0.567627,0.030000,0.280000
"ordinary-kriging","lowest","ackley",5,17,180,5,4.113178,1.157697,0.030000,0.350000
"ordinary-kriging","lowest","ackley",5,17,200,6,2.725047,0.618155,0.030000,0.420000
"ordinary-kriging","lowest","ackley",5,17,220,7,2.591343,0.731602,0.030000,0.490000
"ordinary-kriging","lowest","ackley",5,17,240,8,1.563409,0.337633,0.030000,0.560000
"ordinary-kriging","lowest","ackley",5,17,260,9,1.030796,0.636515,0.040000,0.630000
"ordinary-kriging","lowest","ackley",5,17,280,10,0.897936,0.298233,0.030000,0.690000
"ordinary-kriging","lowest","ackley",5,17,300,11,0.454010,0.130941,0.030000,0.760000
"ordinary-kriging","lowest","ackley",5,17,320,12,0.181102,0.031822,0.030000,0.830000
"ordinary-kriging","lowest","ackley",5,17,340,13,0.079341,0.027668,0.030000,0.900000
"ordinary-kriging","lowest","ackley",5,17,360,14,0.041144,0.016074,0.030000,0.970000
"ordinary-kriging","lowest","ackley",5,17,380,15,0.016634,0.011065,0.030000,1.040000
"ordinary-kriging","lowest","ackley",5,17,400,16,0.012744,0.008671,0.030000,1.100000
"ordinary-kriging","lowest","ackley",5,17,420,17,0.006136,0.004050,0.030000,1.170000
"ordinary-kriging","lowest","ackley",5,17,440,18,0.005531,0.003522,0.030000,1.240000
"ordinary-kriging","lowest","ackley",5,17,460,19,0.002729,0.001267,0.040000,1.310000
"ordinary-kriging","lowest","ackley",5,17,480,20,0.001313,0.001049,0.040000,1.380000
"ordinary-kriging","lowest","ackley",5,17,500,21,0.001313,0.000770,0.030000,1.450000
"ordinary-kriging","lowest","ackley",5,17,520,22,0.000519,0.000413,0.030000,1.510000
"ordinary-kriging","lowest","ackley",5,17,540,23,0.000519,0.000832,0.030000,1.580000
"ordinary-kriging","lowest","ackley",5,17,560,24,0.000435,0.000358,0.030000,1.650000
