METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","dixonpr",5,5,80,0,1107.384282,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","dixonpr",5,5,100,1,84.713218,24432.851441,0.050000,0.110000
"ordinary-kriging","lowest","dixonpr",5,5,120,2,84.713218,5532.326065,0.050000,0.210000
"ordinary-kriging","lowest","dixonpr",5,5,140,3,47.041151,1919.637538,0.040000,0.310000
"ordinary-kriging","lowest","dixonpr",5,5,160,4,36.351889,1278.687122,0.050000,0.420000
"ordinary-kriging","lowest","dixonpr",5,5,180,5,36.351889,523.292543,0.040000,0.520000
"ordinary-kriging","lowest","dixonpr",5,5,200,6,2.255960,109.962335,0.050000,0.620000
"ordinary-kriging","lowest","dixonpr",5,5,220,7,2.255960,35.145656,0.060000,0.730000
"ordinary-kriging","lowest","dixonpr",5,5,240,8,2.146613,19.050983,0.030000,0.800000
"ordinary-kriging","lowest","dixonpr",5,5,260,9,1.198950,11.472958,0.030000,0.870000
"ordinary-kriging","lowest","dixonpr",5,5,280,10,0.954200,4.975190,0.030000,0.940000
"ordinary-kriging","lowest","dixonpr",5,5,300,11,0.749304,1.210290,0.030000,1.010000
"ordinary-kriging","lowest","dixonpr",5,5,320,12,0.677334,0.543975,0.030000,1.080000
"ordinary-kriging","lowest","dixonpr",5,5,340,13,0.368861,0.395313,0.030000,1.140000
"ordinary-kriging","lowest","dixonpr",5,5,360,14,0.168927,0.653935,0.030000,1.210000
"ordinary-kriging","lowest","dixonpr",5,5,380,15,0.168927,2.238353,0.030000,1.280000
"ordinary-kriging","lowest","dixonpr",5,5,400,16,0.052164,5.338073,0.030000,1.350000
"ordinary-kriging","lowest","dixonpr",5,5,420,17,0.052164,2.985517,0.040000,1.420000
"ordinary-kriging","lowest","dixonpr",5,5,440,18,0.047213,1.236155,0.030000,1.490000
"ordinary-kriging","lowest","dixonpr",5,5,460,19,0.047213,0.321031,0.030000,1.560000
"ordinary-kriging","lowest","dixonpr",5,5,480,20,0.014732,1.790207,0.030000,1.630000
"ordinary-kriging","lowest","dixonpr",5,5,500,21,0.001434,1.775766,0.030000,1.690000
"ordinary-kriging","lowest","dixonpr",5,5,520,22,0.001434,1.393509,0.040000,1.770000
"ordinary-kriging","lowest","dixonpr",5,5,540,23,0.001434,2.272936,0.040000,1.840000
"ordinary-kriging","lowest","dixonpr",5,5,560,24,0.001434,2.100621,0.040000,1.910000
"ordinary-kriging","lowest","dixonpr",5,5,580,25,0.001434,1.723138,0.030000,1.980000
"ordinary-kriging","lowest","dixonpr",5,5,600,26,0.001434,3.098335,0.030000,2.050000
"ordinary-kriging","lowest","dixonpr",5,5,620,27,0.001434,1.248851,0.030000,2.120000
"ordinary-kriging","lowest","dixonpr",5,5,640,28,0.001434,3.161295,0.030000,2.190000
"ordinary-kriging","lowest","dixonpr",5,5,660,29,0.001434,2.996320,0.030000,2.260000
"ordinary-kriging","lowest","dixonpr",5,5,680,30,0.001434,1.518769,0.030000,2.330000
"ordinary-kriging","lowest","dixonpr",5,5,700,31,0.001434,0.935291,0.030000,2.400000
"ordinary-kriging","lowest","dixonpr",5,5,720,32,0.001434,0.644253,0.040000,2.470000
"ordinary-kriging","lowest","dixonpr",5,5,740,33,0.001434,1.251434,0.030000,2.530000
"ordinary-kriging","lowest","dixonpr",5,5,760,34,0.001434,1.497451,0.030000,2.600000
"ordinary-kriging","lowest","dixonpr",5,5,780,35,0.001434,1.679975,0.030000,2.670000
"ordinary-kriging","lowest","dixonpr",5,5,800,36,0.001404,4.013525,0.030000,2.740000
"ordinary-kriging","lowest","dixonpr",5,5,820,37,0.001404,1.335760,0.030000,2.810000
"ordinary-kriging","lowest","dixonpr",5,5,840,38,0.001404,3.016054,0.030000,2.880000
"ordinary-kriging","lowest","dixonpr",5,5,860,39,0.001404,1.274558,0.030000,2.950000
"ordinary-kriging","lowest","dixonpr",5,5,880,40,0.001404,3.364279,0.040000,3.020000
"ordinary-kriging","lowest","dixonpr",5,5,900,41,0.001404,2.532212,0.030000,3.080000
"ordinary-kriging","lowest","dixonpr",5,5,920,42,0.001404,1.351124,0.030000,3.150000
"ordinary-kriging","lowest","dixonpr",5,5,940,43,0.001404,2.222335,0.030000,3.220000
"ordinary-kriging","lowest","dixonpr",5,5,960,44,0.001404,3.090387,0.030000,3.290000
"ordinary-kriging","lowest","dixonpr",5,5,980,45,0.001404,2.910097,0.030000,3.360000
"ordinary-kriging","lowest","dixonpr",5,5,1000,46,0.001404,3.636350,0.030000,3.430000
"ordinary-kriging","lowest","dixonpr",5,5,1020,47,0.001404,2.252831,0.040000,3.500000
"ordinary-kriging","lowest","dixonpr",5,5,1040,48,0.001404,5.177481,0.040000,3.570000
"ordinary-kriging","lowest","dixonpr",5,5,1060,49,0.001404,1.277115,0.030000,3.630000
"ordinary-kriging","lowest","dixonpr",5,5,1080,50,0.001404,2.726407,0.030000,3.700000
"ordinary-kriging","lowest","dixonpr",5,5,1100,51,0.001404,3.355396,0.020000,3.770000
"ordinary-kriging","lowest","dixonpr",5,5,1120,52,0.001404,3.685845,0.030000,3.840000
"ordinary-kriging","lowest","dixonpr",5,5,1140,53,0.001404,2.437786,0.030000,3.900000
"ordinary-kriging","lowest","dixonpr",5,5,1160,54,0.001404,2.835970,0.030000,3.970000
"ordinary-kriging","lowest","dixonpr",5,5,1180,55,0.001404,2.515774,0.030000,4.050000
"ordinary-kriging","lowest","dixonpr",5,5,1200,56,0.001404,2.619491,0.030000,4.120000
"ordinary-kriging","lowest","dixonpr",5,5,1220,57,0.001404,4.427318,0.030000,4.180000
"ordinary-kriging","lowest","dixonpr",5,5,1240,58,0.001404,1.804742,0.030000,4.250000
"ordinary-kriging","lowest","dixonpr",5,5,1260,59,0.001404,3.734860,0.020000,4.320000
"ordinary-kriging","lowest","dixonpr",5,5,1280,60,0.001404,3.711038,0.030000,4.380000
"ordinary-kriging","lowest","dixonpr",5,5,1300,61,0.001404,2.469445,0.030000,4.450000
"ordinary-kriging","lowest","dixonpr",5,5,1320,62,0.001404,3.375485,0.030000,4.520000
"ordinary-kriging","lowest","dixonpr",5,5,1340,63,0.001392,2.875454,0.030000,4.580000
"ordinary-kriging","lowest","dixonpr",5,5,1360,64,0.001392,2.960234,0.030000,4.650000
"ordinary-kriging","lowest","dixonpr",5,5,1380,65,0.001392,3.226021,0.030000,4.720000
"ordinary-kriging","lowest","dixonpr",5,5,1400,66,0.001392,3.490135,0.040000,4.790000
"ordinary-kriging","lowest","dixonpr",5,5,1420,67,0.001392,2.334677,0.040000,4.860000
"ordinary-kriging","lowest","dixonpr",5,5,1440,68,0.001392,3.417894,0.040000,4.930000
"ordinary-kriging","lowest","dixonpr",5,5,1460,69,0.001392,5.947537,0.030000,5.000000
"ordinary-kriging","lowest","dixonpr",5,5,1480,70,0.001392,3.269011,0.030000,5.070000
"ordinary-kriging","lowest","dixonpr",5,5,1500,71,0.001392,3.689024,0.030000,5.140000
"ordinary-kriging","lowest","dixonpr",5,5,1520,72,0.001392,3.133862,0.030000,5.200000
"ordinary-kriging","lowest","dixonpr",5,5,1540,73,0.001392,3.029393,0.030000,5.270000
"ordinary-kriging","lowest","dixonpr",5,5,1560,74,0.001392,2.857034,0.030000,5.340000
"ordinary-kriging","lowest","dixonpr",5,5,1580,75,0.001392,3.183967,0.030000,5.410000
"ordinary-kriging","lowest","dixonpr",5,5,1600,76,0.001392,3.823008,0.030000,5.480000
"ordinary-kriging","lowest","dixonpr",5,5,1620,77,0.001392,4.723172,0.040000,5.550000
"ordinary-kriging","lowest","dixonpr",5,5,1640,78,0.001392,3.302392,0.030000,5.610000
"ordinary-kriging","lowest","dixonpr",5,5,1660,79,0.001392,4.532531,0.030000,5.680000
"ordinary-kriging","lowest","dixonpr",5,5,1680,80,0.001392,3.923026,0.030000,5.750000
"ordinary-kriging","lowest","dixonpr",5,5,1700,81,0.001392,1.620826,0.030000,5.820000
"ordinary-kriging","lowest","dixonpr",5,5,1720,82,0.001392,5.382372,0.030000,5.890000
"ordinary-kriging","lowest","dixonpr",5,5,1740,83,0.001392,5.410014,0.030000,5.960000
"ordinary-kriging","lowest","dixonpr",5,5,1760,84,0.001392,3.819103,0.030000,6.020000
"ordinary-kriging","lowest","dixonpr",5,5,1780,85,0.001392,4.472870,0.030000,6.090000
"ordinary-kriging","lowest","dixonpr",5,5,1800,86,0.001392,2.567370,0.030000,6.160000
"ordinary-kriging","lowest","dixonpr",5,5,1820,87,0.001392,3.350312,0.030000,6.230000
"ordinary-kriging","lowest","dixonpr",5,5,1840,88,0.001392,4.210809,0.030000,6.300000
"ordinary-kriging","lowest","dixonpr",5,5,1860,89,0.001392,2.844955,0.040000,6.370000
"ordinary-kriging","lowest","dixonpr",5,5,1880,90,0.001392,5.026895,0.040000,6.440000
"ordinary-kriging","lowest","dixonpr",5,5,1900,91,0.001392,4.322273,0.030000,6.500000
"ordinary-kriging","lowest","dixonpr",5,5,1920,92,0.001392,5.151944,0.030000,6.570000
"ordinary-kriging","lowest","dixonpr",5,5,1940,93,0.001392,3.795539,0.030000,6.640000
"ordinary-kriging","lowest","dixonpr",5,5,1960,94,0.001392,2.930590,0.030000,6.710000
"ordinary-kriging","lowest","dixonpr",5,5,1980,95,0.001392,4.553358,0.030000,6.780000
"ordinary-kriging","lowest","dixonpr",5,5,2000,96,0.001392,3.076549,0.030000,6.850000
