METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","griewank",10,12,80,0,140.805398,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","griewank",10,12,100,1,32.442867,4.419048,0.040000,0.080000
"ordinary-kriging","lowest","griewank",10,12,120,2,31.818613,3.189177,0.030000,0.160000
"ordinary-kriging","lowest","griewank",10,12,140,3,19.373351,1.726954,0.040000,0.240000
"ordinary-kriging","lowest","griewank",10,12,160,4,10.262267,1.743217,0.040000,0.310000
"ordinary-kriging","lowest","griewank",10,12,180,5,7.514399,0.844001,0.030000,0.390000
"ordinary-kriging","lowest","griewank",10,12,200,6,4.714403,0.999305,0.030000,0.470000
"ordinary-kriging","lowest","griewank",10,12,220,7,3.403949,0.374512,0.040000,0.540000
"ordinary-kriging","lowest","griewank",10,12,240,8,1.949896,0.291944,0.040000,0.620000
"ordinary-kriging","lowest","griewank",10,12,260,9,1.689587,0.147045,0.030000,0.700000
"ordinary-kriging","lowest","griewank",10,12,280,10,1.495434,0.053561,0.030000,0.780000
"ordinary-kriging","lowest","griewank",10,12,300,11,1.323168,0.043015,0.040000,0.860000
"ordinary-kriging","lowest","griewank",10,12,320,12,1.136070,0.021323,0.040000,0.930000
"ordinary-kriging","lowest","griewank",10,12,340,13,1.044532,0.022442,0.030000,1.010000
"ordinary-kriging","lowest","griewank",10,12,360,14,1.025981,0.017511,0.040000,1.090000
"ordinary-kriging","lowest","griewank",10,12,380,15,1.023384,0.029726,0.040000,1.160000
"ordinary-kriging","lowest","griewank",10,12,400,16,1.019218,0.022142,0.040000,1.240000
"ordinary-kriging","lowest","griewank",10,12,420,17,0.984000,0.010578,0.030000,1.320000
"ordinary-kriging","lowest","griewank",10,12,440,18,0.900492,0.079239,0.030000,1.400000
"ordinary-kriging","lowest","griewank",10,12,460,19,0.900492,0.040041,0.040000,1.470000
"ordinary-kriging","lowest","griewank",10,12,480,20,0.900492,0.027561,0.040000,1.550000
"ordinary-kriging","lowest","griewank",10,12,500,21,0.900492,0.035747,0.040000,1.630000
"ordinary-kriging","lowest","griewank",10,12,520,22,0.855211,0.040461,0.030000,1.710000
"ordinary-kriging","lowest","griewank",10,12,540,23,0.855211,0.032254,0.030000,1.790000
