METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","levy",5,20,80,0,7.124388,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","levy",5,20,100,1,1.626549,8.842382,0.030000,0.070000
"ordinary-kriging","lowest","levy",5,20,120,2,0.719416,4.851544,0.030000,0.130000
"ordinary-kriging","lowest","levy",5,20,140,3,0.719416,1.751350,0.030000,0.200000
"ordinary-kriging","lowest","levy",5,20,160,4,0.138820,1.126784,0.040000,0.270000
"ordinary-kriging","lowest","levy",5,20,180,5,0.138820,0.651896,0.030000,0.330000
"ordinary-kriging","lowest","levy",5,20,200,6,0.096369,0.328974,0.030000,0.400000
"ordinary-kriging","lowest","levy",5,20,220,7,0.051035,0.089288,0.030000,0.460000
"ordinary-kriging","lowest","levy",5,20,240,8,0.028650,0.041172,0.030000,0.530000
"ordinary-kriging","lowest","levy",5,20,260,9,0.017844,0.009899,0.030000,0.590000
"ordinary-kriging","lowest","levy",5,20,280,10,0.004636,0.005726,0.030000,0.660000
"ordinary-kriging","lowest","levy",5,20,300,11,0.000862,0.000884,0.030000,0.720000
"ordinary-kriging","lowest","levy",5,20,320,12,0.000680,0.000258,0.030000,0.790000
"ordinary-kriging","lowest","levy",5,20,340,13,0.000168,0.000131,0.030000,0.850000
"ordinary-kriging","lowest","levy",5,20,360,14,0.000037,0.000023,0.030000,0.920000
"ordinary-kriging","lowest","levy",5,20,380,15,0.000009,0.000003,0.030000,0.990000
"ordinary-kriging","lowest","levy",5,20,400,16,0.000009,0.000014,0.030000,1.050000
"ordinary-kriging","lowest","levy",5,20,420,17,0.000008,0.000011,0.020000,1.110000
"ordinary-kriging","lowest","levy",5,20,440,18,0.000005,0.000034,0.030000,1.180000
"ordinary-kriging","lowest","levy",5,20,460,19,0.000002,0.000049,0.020000,1.240000
"ordinary-kriging","lowest","levy",5,20,480,20,0.000001,0.000140,0.030000,1.310000
"ordinary-kriging","lowest","levy",5,20,500,21,0.000001,0.000070,0.030000,1.380000
"ordinary-kriging","lowest","levy",5,20,520,22,0.000000,0.000195,0.030000,1.450000
"ordinary-kriging","lowest","levy",5,20,540,23,0.000000,0.000236,0.030000,1.510000
"ordinary-kriging","lowest","levy",5,20,560,24,0.000000,0.000322,0.030000,1.580000
"ordinary-kriging","lowest","levy",5,20,580,25,0.000000,0.000036,0.030000,1.650000
"ordinary-kriging","lowest","levy",5,20,600,26,0.000000,0.000056,0.030000,1.710000
"ordinary-kriging","lowest","levy",5,20,620,27,0.000000,0.000030,0.030000,1.780000
"ordinary-kriging","lowest","levy",5,20,640,28,0.000000,0.000050,0.030000,1.850000
"ordinary-kriging","lowest","levy",5,20,660,29,0.000000,0.000031,0.030000,1.920000
"ordinary-kriging","lowest","levy",5,20,680,30,0.000000,0.000044,0.030000,1.990000
"ordinary-kriging","lowest","levy",5,20,700,31,0.000000,0.000042,0.030000,2.060000
"ordinary-kriging","lowest","levy",5,20,720,32,0.000000,0.000069,0.030000,2.130000
"ordinary-kriging","lowest","levy",5,20,740,33,0.000000,0.000065,0.030000,2.200000
