METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","perm0db",10,11,80,0,127529874292472037376.000000,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","perm0db",10,11,100,1,15639368441248232.000000,21627615791839554043904.000000,0.050000,0.090000
"ordinary-kriging","lowest","perm0db",10,11,120,2,11329477955867146.000000,5360048227569090166784.000000,0.030000,0.160000
"ordinary-kriging","lowest","perm0db",10,11,140,3,11329477955867146.000000,3308990503125550891008.000000,0.030000,0.230000
"ordinary-kriging","lowest","perm0db",10,11,160,4,19925242983920.492188,715558157341025501184.000000,0.040000,0.310000
"ordinary-kriging","lowest","perm0db",10,11,180,5,4949310279374.514648,102125971540954742784.000000,0.030000,0.380000
"ordinary-kriging","lowest","perm0db",10,11,200,6,5207415072.878550,11166008009309173760.000000,0.030000,0.450000
"ordinary-kriging","lowest","perm0db",10,11,220,7,497613297.548533,618555173743628544.000000,0.040000,0.530000
"ordinary-kriging","lowest","perm0db",10,11,240,8,231424760.052488,43934757498492600.000000,0.040000,0.600000
"ordinary-kriging","lowest","perm0db",10,11,260,9,231424760.052488,10951672117231886.000000,0.040000,0.670000
"ordinary-kriging","lowest","perm0db",10,11,280,10,635851.374794,50523190458824.234375,0.030000,0.740000
"ordinary-kriging","lowest","perm0db",10,11,300,11,635851.374794,15883437958162.947266,0.030000,0.810000
"ordinary-kriging","lowest","perm0db",10,11,320,12,165683.687591,559658698893.343994,0.030000,0.890000
"ordinary-kriging","lowest","perm0db",10,11,340,13,10679.986371,33987045597.014229,0.030000,0.970000
"ordinary-kriging","lowest","perm0db",10,11,360,14,4287.960949,1730857743.898488,0.040000,1.040000
"ordinary-kriging","lowest","perm0db",10,11,380,15,1906.309030,3592315695.053555,0.030000,1.110000
"ordinary-kriging","lowest","perm0db",10,11,400,16,766.307857,210613467.267836,0.030000,1.190000
"ordinary-kriging","lowest","perm0db",10,11,420,17,351.833723,6262989.519983,0.040000,1.270000
"ordinary-kriging","lowest","perm0db",10,11,440,18,351.833723,277761.114429,0.040000,1.340000
"ordinary-kriging","lowest","perm0db",10,11,460,19,152.636287,27528.610333,0.040000,1.410000
"ordinary-kriging","lowest","perm0db",10,11,480,20,152.636287,4731.295498,0.030000,1.480000
"ordinary-kriging","lowest","perm0db",10,11,500,21,152.636287,2125.062594,0.030000,1.560000
"ordinary-kriging","lowest","perm0db",10,11,520,22,152.636287,16088.711169,0.040000,1.630000
"ordinary-kriging","lowest","perm0db",10,11,540,23,101.495434,70674.995308,0.030000,1.700000
"ordinary-kriging","lowest","perm0db",10,11,560,24,95.597712,1871.588759,0.030000,1.770000
"ordinary-kriging","lowest","perm0db",10,11,580,25,33.151357,179.364208,0.030000,1.850000
"ordinary-kriging","lowest","perm0db",10,11,600,26,15.086324,101.775696,0.040000,1.920000
"ordinary-kriging","lowest","perm0db",10,11,620,27,15.086324,46.338748,0.040000,1.990000
"ordinary-kriging","lowest","perm0db",10,11,640,28,15.086324,17.167369,0.030000,2.060000
"ordinary-kriging","lowest","perm0db",10,11,660,29,13.505968,15.812451,0.030000,2.140000
"ordinary-kriging","lowest","perm0db",10,11,680,30,11.304401,13.681102,0.030000,2.210000
"ordinary-kriging","lowest","perm0db",10,11,700,31,8.310103,8.479667,0.040000,2.280000
"ordinary-kriging","lowest","perm0db",10,11,720,32,7.876037,4.555645,0.030000,2.350000
"ordinary-kriging","lowest","perm0db",10,11,740,33,5.972997,2.721966,0.030000,2.420000
"ordinary-kriging","lowest","perm0db",10,11,760,34,5.493632,1.702490,0.030000,2.500000
"ordinary-kriging","lowest","perm0db",10,11,780,35,5.493632,0.757602,0.040000,2.570000
"ordinary-kriging","lowest","perm0db",10,11,800,36,4.834543,0.847530,0.040000,2.640000
"ordinary-kriging","lowest","perm0db",10,11,820,37,4.722361,0.510079,0.030000,2.710000
"ordinary-kriging","lowest","perm0db",10,11,840,38,4.495212,0.958365,0.030000,2.790000
"ordinary-kriging","lowest","perm0db",10,11,860,39,4.387606,0.650051,0.040000,2.860000
"ordinary-kriging","lowest","perm0db",10,11,880,40,4.292031,0.275838,0.030000,2.930000
"ordinary-kriging","lowest","perm0db",10,11,900,41,4.163098,0.183008,0.030000,3.000000
"ordinary-kriging","lowest","perm0db",10,11,920,42,4.157286,0.129445,0.030000,3.080000
"ordinary-kriging","lowest","perm0db",10,11,940,43,4.073486,0.088735,0.040000,3.150000
"ordinary-kriging","lowest","perm0db",10,11,960,44,4.073486,0.077702,0.030000,3.220000
"ordinary-kriging","lowest","perm0db",10,11,980,45,4.050194,0.057662,0.030000,3.290000
"ordinary-kriging","lowest","perm0db",10,11,1000,46,4.009571,0.101902,0.030000,3.370000
"ordinary-kriging","lowest","perm0db",10,11,1020,47,3.959028,0.058707,0.040000,3.440000
"ordinary-kriging","lowest","perm0db",10,11,1040,48,3.929085,0.039029,0.030000,3.510000
"ordinary-kriging","lowest","perm0db",10,11,1060,49,3.925259,0.062781,0.030000,3.590000
"ordinary-kriging","lowest","perm0db",10,11,1080,50,3.888036,0.032761,0.030000,3.660000
"ordinary-kriging","lowest","perm0db",10,11,1100,51,3.866467,0.030125,0.040000,3.730000
"ordinary-kriging","lowest","perm0db",10,11,1120,52,3.830565,0.026004,0.030000,3.800000
