METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","rastrigin",5,7,80,0,40.002316,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","rastrigin",5,7,100,1,40.002316,16.949494,0.030000,0.070000
"ordinary-kriging","lowest","rastrigin",5,7,120,2,22.901118,14.300991,0.040000,0.140000
"ordinary-kriging","lowest","rastrigin",5,7,140,3,22.901118,16.297501,0.040000,0.210000
"ordinary-kriging","lowest","rastrigin",5,7,160,4,21.471269,19.505200,0.030000,0.280000
"ordinary-kriging","lowest","rastrigin",5,7,180,5,21.471269,12.424133,0.030000,0.350000
"ordinary-kriging","lowest","rastrigin",5,7,200,6,18.262712,10.661902,0.030000,0.420000
"ordinary-kriging","lowest","rastrigin",5,7,220,7,18.262712,10.973338,0.030000,0.490000
"ordinary-kriging","lowest","rastrigin",5,7,240,8,11.180787,13.611922,0.030000,0.570000
"ordinary-kriging","lowest","rastrigin",5,7,260,9,10.694934,10.998131,0.030000,0.640000
"ordinary-kriging","lowest","rastrigin",5,7,280,10,10.694934,9.305203,0.040000,0.710000
"ordinary-kriging","lowest","rastrigin",5,7,300,11,10.694934,9.990064,0.040000,0.780000
"ordinary-kriging","lowest","rastrigin",5,7,320,12,8.941125,9.267365,0.030000,0.850000
"ordinary-kriging","lowest","rastrigin",5,7,340,13,8.941125,14.915044,0.030000,0.920000
"ordinary-kriging","lowest","rastrigin",5,7,360,14,8.941125,8.232739,0.030000,0.980000
"ordinary-kriging","lowest","rastrigin",5,7,380,15,8.941125,10.564579,0.030000,1.050000
"ordinary-kriging","lowest","rastrigin",5,7,400,16,8.534184,5.187134,0.030000,1.120000
"ordinary-kriging","lowest","rastrigin",5,7,420,17,6.948003,5.497598,0.030000,1.190000
"ordinary-kriging","lowest","rastrigin",5,7,440,18,5.581901,3.105646,0.040000,1.260000
"ordinary-kriging","lowest","rastrigin",5,7,460,19,4.430941,2.955744,0.030000,1.330000
"ordinary-kriging","lowest","rastrigin",5,7,480,20,4.234589,0.922320,0.030000,1.400000
"ordinary-kriging","lowest","rastrigin",5,7,500,21,4.123549,0.323238,0.030000,1.470000
"ordinary-kriging","lowest","rastrigin",5,7,520,22,4.040304,0.015326,0.030000,1.540000
"ordinary-kriging","lowest","rastrigin",5,7,540,23,3.994420,0.010735,0.040000,1.610000
"ordinary-kriging","lowest","rastrigin",5,7,560,24,3.990056,0.002010,0.030000,1.680000
"ordinary-kriging","lowest","rastrigin",5,7,580,25,3.983638,0.000955,0.030000,1.740000
"ordinary-kriging","lowest","rastrigin",5,7,600,26,3.980972,0.001592,0.030000,1.810000
"ordinary-kriging","lowest","rastrigin",5,7,620,27,3.980559,0.008641,0.030000,1.880000
"ordinary-kriging","lowest","rastrigin",5,7,640,28,3.980559,0.003312,0.040000,1.950000
"ordinary-kriging","lowest","rastrigin",5,7,660,29,3.980394,0.003282,0.040000,2.020000
"ordinary-kriging","lowest","rastrigin",5,7,680,30,3.980032,0.003146,0.040000,2.080000
"ordinary-kriging","lowest","rastrigin",5,7,700,31,3.980032,0.012325,0.030000,2.150000
"ordinary-kriging","lowest","rastrigin",5,7,720,32,3.980032,0.010771,0.030000,2.230000
"ordinary-kriging","lowest","rastrigin",5,7,740,33,3.979933,0.006625,0.030000,2.300000
"ordinary-kriging","lowest","rastrigin",5,7,760,34,3.979901,0.013857,0.030000,2.370000
"ordinary-kriging","lowest","rastrigin",5,7,780,35,3.979901,0.010973,0.030000,2.440000
"ordinary-kriging","lowest","rastrigin",5,7,800,36,3.979891,0.014583,0.030000,2.500000
"ordinary-kriging","lowest","rastrigin",5,7,820,37,3.979891,0.011943,0.030000,2.570000
"ordinary-kriging","lowest","rastrigin",5,7,840,38,3.979891,0.013902,0.030000,2.640000
"ordinary-kriging","lowest","rastrigin",5,7,860,39,3.979891,0.013499,0.030000,2.710000
"ordinary-kriging","lowest","rastrigin",5,7,880,40,3.979891,0.008099,0.030000,2.770000
"ordinary-kriging","lowest","rastrigin",5,7,900,41,3.979891,0.012801,0.030000,2.840000
"ordinary-kriging","lowest","rastrigin",5,7,920,42,3.979891,0.009401,0.030000,2.910000
"ordinary-kriging","lowest","rastrigin",5,7,940,43,3.979886,0.016178,0.030000,2.980000
"ordinary-kriging","lowest","rastrigin",5,7,960,44,3.979868,0.014812,0.030000,3.050000
"ordinary-kriging","lowest","rastrigin",5,7,980,45,3.979868,0.014282,0.030000,3.110000
"ordinary-kriging","lowest","rastrigin",5,7,1000,46,3.979868,0.008413,0.030000,3.180000
"ordinary-kriging","lowest","rastrigin",5,7,1020,47,3.979866,0.005986,0.030000,3.250000
"ordinary-kriging","lowest","rastrigin",5,7,1040,48,3.979866,0.006513,0.030000,3.320000
"ordinary-kriging","lowest","rastrigin",5,7,1060,49,3.979846,0.010227,0.030000,3.380000
"ordinary-kriging","lowest","rastrigin",5,7,1080,50,3.979845,0.007672,0.030000,3.450000
"ordinary-kriging","lowest","rastrigin",5,7,1100,51,3.979842,0.012334,0.030000,3.520000
"ordinary-kriging","lowest","rastrigin",5,7,1120,52,3.979842,0.001791,0.030000,3.600000
"ordinary-kriging","lowest","rastrigin",5,7,1140,53,3.979842,0.002868,0.030000,3.670000
"ordinary-kriging","lowest","rastrigin",5,7,1160,54,3.979842,0.002559,0.040000,3.740000
"ordinary-kriging","lowest","rastrigin",5,7,1180,55,3.979842,0.003333,0.040000,3.810000
"ordinary-kriging","lowest","rastrigin",5,7,1200,56,3.979840,0.002932,0.040000,3.880000
"ordinary-kriging","lowest","rastrigin",5,7,1220,57,3.979840,0.003286,0.040000,3.950000
"ordinary-kriging","lowest","rastrigin",5,7,1240,58,3.979840,0.004672,0.030000,4.020000
"ordinary-kriging","lowest","rastrigin",5,7,1260,59,3.979838,0.004847,0.030000,4.100000
"ordinary-kriging","lowest","rastrigin",5,7,1280,60,3.979838,0.004475,0.040000,4.170000
"ordinary-kriging","lowest","rastrigin",5,7,1300,61,3.979838,0.005297,0.040000,4.240000
"ordinary-kriging","lowest","rastrigin",5,7,1320,62,3.979838,0.006007,0.030000,4.310000
