METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","rosen",20,1,200,0,3035.248715,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","rosen",20,1,250,1,1590.311519,1914.772355,0.200000,0.350000
"ordinary-kriging","lowest","rosen",20,1,300,2,912.385861,954.886131,0.120000,0.600000
"ordinary-kriging","lowest","rosen",20,1,350,3,672.706135,477.182123,0.110000,0.830000
"ordinary-kriging","lowest","rosen",20,1,400,4,259.665767,323.943248,0.110000,1.070000
"ordinary-kriging","lowest","rosen",20,1,450,5,213.834665,261.748250,0.100000,1.300000
"ordinary-kriging","lowest","rosen",20,1,500,6,193.263586,124.891532,0.120000,1.550000
"ordinary-kriging","lowest","rosen",20,1,550,7,137.066985,79.215977,0.100000,1.790000
"ordinary-kriging","lowest","rosen",20,1,600,8,137.066985,49.082056,0.110000,2.030000
"ordinary-kriging","lowest","rosen",20,1,650,9,97.583129,24.504300,0.130000,2.290000
"ordinary-kriging","lowest","rosen",20,1,700,10,76.475709,18.823487,0.190000,2.620000
"ordinary-kriging","lowest","rosen",20,1,750,11,72.372510,10.599632,0.180000,2.930000
"ordinary-kriging","lowest","rosen",20,1,800,12,57.199897,9.554086,0.190000,3.260000
"ordinary-kriging","lowest","rosen",20,1,850,13,51.611763,6.782523,0.130000,3.520000
"ordinary-kriging","lowest","rosen",20,1,900,14,40.707270,5.373202,0.160000,3.820000
"ordinary-kriging","lowest","rosen",20,1,950,15,39.391285,5.446926,0.110000,4.080000
"ordinary-kriging","lowest","rosen",20,1,1000,16,30.309006,4.360929,0.170000,4.390000
"ordinary-kriging","lowest","rosen",20,1,1050,17,28.486204,4.291608,0.120000,4.660000
"ordinary-kriging","lowest","rosen",20,1,1100,18,25.313595,3.610387,0.120000,4.910000
"ordinary-kriging","lowest","rosen",20,1,1150,19,21.953098,1.136071,0.110000,5.150000
"ordinary-kriging","lowest","rosen",20,1,1200,20,19.912582,0.883214,0.100000,5.400000
"ordinary-kriging","lowest","rosen",20,1,1250,21,18.003361,0.692970,0.120000,5.640000
"ordinary-kriging","lowest","rosen",20,1,1300,22,17.904433,0.367824,0.160000,5.940000
"ordinary-kriging","lowest","rosen",20,1,1350,23,17.179528,0.416959,0.160000,6.220000
"ordinary-kriging","lowest","rosen",20,1,1400,24,16.659902,0.211679,0.100000,6.460000
"ordinary-kriging","lowest","rosen",20,1,1450,25,16.465308,0.134739,0.140000,6.730000
"ordinary-kriging","lowest","rosen",20,1,1500,26,16.064708,0.096346,0.110000,6.980000
"ordinary-kriging","lowest","rosen",20,1,1550,27,16.034858,0.089989,0.110000,7.230000
"ordinary-kriging","lowest","rosen",20,1,1600,28,15.866801,0.062375,0.130000,7.500000
"ordinary-kriging","lowest","rosen",20,1,1650,29,15.822272,0.033784,0.190000,7.820000
"ordinary-kriging","lowest","rosen",20,1,1700,30,15.782394,0.035022,0.170000,8.130000
"ordinary-kriging","lowest","rosen",20,1,1750,31,15.696997,0.025546,0.170000,8.450000
"ordinary-kriging","lowest","rosen",20,1,1800,32,15.664384,0.012130,0.180000,8.760000
"ordinary-kriging","lowest","rosen",20,1,1850,33,15.648336,0.013915,0.170000,9.070000
"ordinary-kriging","lowest","rosen",20,1,1900,34,15.638848,0.007780,0.120000,9.340000
"ordinary-kriging","lowest","rosen",20,1,1950,35,15.619443,0.007237,0.180000,9.660000
"ordinary-kriging","lowest","rosen",20,1,2000,36,15.602303,0.005022,0.170000,9.970000
"ordinary-kriging","lowest","rosen",20,1,2050,37,15.600030,0.002971,0.120000,10.230000
"ordinary-kriging","lowest","rosen",20,1,2100,38,15.592451,0.002204,0.140000,10.500000
"ordinary-kriging","lowest","rosen",20,1,2150,39,15.585387,0.001442,0.180000,10.830000
"ordinary-kriging","lowest","rosen",20,1,2200,40,15.579611,0.001961,0.180000,11.140000
"ordinary-kriging","lowest","rosen",20,1,2250,41,15.573601,0.002578,0.170000,11.450000
"ordinary-kriging","lowest","rosen",20,1,2300,42,15.569427,0.003965,0.160000,11.740000
"ordinary-kriging","lowest","rosen",20,1,2350,43,15.563666,0.001773,0.180000,12.060000
"ordinary-kriging","lowest","rosen",20,1,2400,44,15.558928,0.001816,0.180000,12.380000
"ordinary-kriging","lowest","rosen",20,1,2450,45,15.554317,0.001082,0.180000,12.700000
"ordinary-kriging","lowest","rosen",20,1,2500,46,15.551238,0.000945,0.190000,13.030000
"ordinary-kriging","lowest","rosen",20,1,2550,47,15.549287,0.000952,0.120000,13.280000
"ordinary-kriging","lowest","rosen",20,1,2600,48,15.546715,0.001006,0.130000,13.560000
"ordinary-kriging","lowest","rosen",20,1,2650,49,15.545093,0.000536,0.130000,13.820000
"ordinary-kriging","lowest","rosen",20,1,2700,50,15.543779,0.000569,0.180000,14.150000
"ordinary-kriging","lowest","rosen",20,1,2750,51,15.541743,0.000661,0.190000,14.470000
"ordinary-kriging","lowest","rosen",20,1,2800,52,15.540808,0.001239,0.160000,14.770000
"ordinary-kriging","lowest","rosen",20,1,2850,53,15.539272,0.000587,0.190000,15.090000
"ordinary-kriging","lowest","rosen",20,1,2900,54,15.537920,0.000707,0.180000,15.410000
"ordinary-kriging","lowest","rosen",20,1,2950,55,15.536318,0.000723,0.170000,15.730000
"ordinary-kriging","lowest","rosen",20,1,3000,56,15.535009,0.000494,0.190000,16.050000
"ordinary-kriging","lowest","rosen",20,1,3050,57,15.534032,0.000380,0.190000,16.370000
"ordinary-kriging","lowest","rosen",20,1,3100,58,15.532865,0.000471,0.120000,16.620000
"ordinary-kriging","lowest","rosen",20,1,3150,59,15.532276,0.000723,0.130000,16.890000
"ordinary-kriging","lowest","rosen",20,1,3200,60,15.531692,0.000338,0.110000,17.140000
"ordinary-kriging","lowest","rosen",20,1,3250,61,15.531135,0.000225,0.130000,17.420000
"ordinary-kriging","lowest","rosen",20,1,3300,62,15.530463,0.000208,0.130000,17.690000
"ordinary-kriging","lowest","rosen",20,1,3350,63,15.529944,0.000205,0.130000,17.950000
"ordinary-kriging","lowest","rosen",20,1,3400,64,15.529509,0.000204,0.130000,18.220000
"ordinary-kriging","lowest","rosen",20,1,3450,65,15.529010,0.000168,0.180000,18.540000
"ordinary-kriging","lowest","rosen",20,1,3500,66,15.528655,0.000186,0.190000,18.860000
"ordinary-kriging","lowest","rosen",20,1,3550,67,15.528371,0.000131,0.190000,19.180000
"ordinary-kriging","lowest","rosen",20,1,3600,68,15.527834,0.000152,0.190000,19.510000
"ordinary-kriging","lowest","rosen",20,1,3650,69,15.527628,0.000165,0.140000,19.780000
"ordinary-kriging","lowest","rosen",20,1,3700,70,15.527451,0.000258,0.150000,20.060000
