METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","stybtang",15,5,200,0,285.349189,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","stybtang",15,5,220,1,259.471093,139.283827,0.070000,0.120000
"ordinary-kriging","lowest","stybtang",15,5,240,2,259.471093,136.049980,0.060000,0.210000
"ordinary-kriging","lowest","stybtang",15,5,260,3,240.508901,103.167378,0.050000,0.310000
"ordinary-kriging","lowest","stybtang",15,5,280,4,240.508901,132.852929,0.050000,0.390000
"ordinary-kriging","lowest","stybtang",15,5,300,5,228.881287,119.545156,0.050000,0.480000
"ordinary-kriging","lowest","stybtang",15,5,320,6,228.881287,119.732176,0.050000,0.570000
"ordinary-kriging","lowest","stybtang",15,5,340,7,228.881287,117.550418,0.040000,0.660000
"ordinary-kriging","lowest","stybtang",15,5,360,8,228.881287,109.809821,0.040000,0.750000
"ordinary-kriging","lowest","stybtang",15,5,380,9,228.881287,132.209515,0.040000,0.840000
"ordinary-kriging","lowest","stybtang",15,5,400,10,219.676798,200.123400,0.050000,0.930000
"ordinary-kriging","lowest","stybtang",15,5,420,11,208.329063,126.626332,0.050000,1.020000
"ordinary-kriging","lowest","stybtang",15,5,440,12,208.329063,126.279683,0.050000,1.110000
"ordinary-kriging","lowest","stybtang",15,5,460,13,208.329063,111.601949,0.040000,1.200000
"ordinary-kriging","lowest","stybtang",15,5,480,14,178.889451,92.818129,0.050000,1.290000
"ordinary-kriging","lowest","stybtang",15,5,500,15,178.889451,134.945342,0.040000,1.380000
"ordinary-kriging","lowest","stybtang",15,5,520,16,178.889451,89.680393,0.050000,1.470000
"ordinary-kriging","lowest","stybtang",15,5,540,17,168.521595,47.395193,0.040000,1.560000
"ordinary-kriging","lowest","stybtang",15,5,560,18,127.161657,43.968256,0.040000,1.650000
"ordinary-kriging","lowest","stybtang",15,5,580,19,127.161657,40.895567,0.040000,1.740000
