METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","lowest","zakharov",10,7,80,0,122.026249,0.000000,0.000000,0.000000
"ordinary-kriging","lowest","zakharov",10,7,100,1,122.026249,35866141.205919,0.050000,0.080000
"ordinary-kriging","lowest","zakharov",10,7,120,2,122.026249,8634418.334895,0.030000,0.150000
"ordinary-kriging","lowest","zakharov",10,7,140,3,122.026249,1960797.605386,0.030000,0.220000
"ordinary-kriging","lowest","zakharov",10,7,160,4,122.026249,1101719.222864,0.030000,0.290000
"ordinary-kriging","lowest","zakharov",10,7,180,5,63.005911,100251.629099,0.030000,0.350000
"ordinary-kriging","lowest","zakharov",10,7,200,6,63.005911,182062.467177,0.030000,0.420000
"ordinary-kriging","lowest","zakharov",10,7,220,7,56.321767,73183.762573,0.030000,0.490000
"ordinary-kriging","lowest","zakharov",10,7,240,8,56.321767,48599.385088,0.030000,0.550000
"ordinary-kriging","lowest","zakharov",10,7,260,9,48.811190,71515.299135,0.030000,0.620000
"ordinary-kriging","lowest","zakharov",10,7,280,10,45.217088,150006.977660,0.030000,0.690000
"ordinary-kriging","lowest","zakharov",10,7,300,11,33.501098,36928.189429,0.030000,0.760000
"ordinary-kriging","lowest","zakharov",10,7,320,12,33.501098,2588.219338,0.040000,0.830000
"ordinary-kriging","lowest","zakharov",10,7,340,13,33.501098,3216.507268,0.040000,0.900000
"ordinary-kriging","lowest","zakharov",10,7,360,14,33.501098,48450.726968,0.040000,0.970000
"ordinary-kriging","lowest","zakharov",10,7,380,15,31.725817,5764.624557,0.030000,1.040000
"ordinary-kriging","lowest","zakharov",10,7,400,16,27.387098,15658.767103,0.030000,1.110000
"ordinary-kriging","lowest","zakharov",10,7,420,17,27.387098,66141.506228,0.040000,1.180000
"ordinary-kriging","lowest","zakharov",10,7,440,18,22.350209,5767.464517,0.030000,1.250000
"ordinary-kriging","lowest","zakharov",10,7,460,19,22.350209,4137.824432,0.040000,1.320000
"ordinary-kriging","lowest","zakharov",10,7,480,20,17.429313,3140.261224,0.030000,1.380000
"ordinary-kriging","lowest","zakharov",10,7,500,21,17.429313,22678.376869,0.030000,1.450000
"ordinary-kriging","lowest","zakharov",10,7,520,22,17.429313,17950.563749,0.040000,1.520000
"ordinary-kriging","lowest","zakharov",10,7,540,23,17.429313,42579.375260,0.030000,1.590000
"ordinary-kriging","lowest","zakharov",10,7,560,24,14.810922,328.042089,0.030000,1.660000
"ordinary-kriging","lowest","zakharov",10,7,580,25,12.195030,1607.679652,0.030000,1.730000
"ordinary-kriging","lowest","zakharov",10,7,600,26,10.775534,644.870322,0.030000,1.800000
"ordinary-kriging","lowest","zakharov",10,7,620,27,10.248029,1789.103464,0.020000,1.860000
"ordinary-kriging","lowest","zakharov",10,7,640,28,8.627998,728.805381,0.030000,1.930000
"ordinary-kriging","lowest","zakharov",10,7,660,29,6.755306,541.208349,0.030000,2.000000
"ordinary-kriging","lowest","zakharov",10,7,680,30,6.755306,262.350762,0.030000,2.060000
"ordinary-kriging","lowest","zakharov",10,7,700,31,5.513103,870.048507,0.030000,2.130000
"ordinary-kriging","lowest","zakharov",10,7,720,32,2.870969,626.539645,0.030000,2.190000
"ordinary-kriging","lowest","zakharov",10,7,740,33,2.697521,409.170979,0.030000,2.260000
"ordinary-kriging","lowest","zakharov",10,7,760,34,2.697521,474.227642,0.030000,2.320000
"ordinary-kriging","lowest","zakharov",10,7,780,35,2.697521,293.967616,0.030000,2.390000
"ordinary-kriging","lowest","zakharov",10,7,800,36,2.003193,49.385607,0.020000,2.460000
"ordinary-kriging","lowest","zakharov",10,7,820,37,1.210173,147.160400,0.030000,2.520000
"ordinary-kriging","lowest","zakharov",10,7,840,38,0.765403,32.675249,0.030000,2.590000
"ordinary-kriging","lowest","zakharov",10,7,860,39,0.640035,45.458930,0.030000,2.650000
"ordinary-kriging","lowest","zakharov",10,7,880,40,0.533827,46.643806,0.030000,2.720000
"ordinary-kriging","lowest","zakharov",10,7,900,41,0.533827,4.868011,0.030000,2.780000
"ordinary-kriging","lowest","zakharov",10,7,920,42,0.533827,12.717958,0.030000,2.850000
"ordinary-kriging","lowest","zakharov",10,7,940,43,0.303127,15.526588,0.030000,2.910000
"ordinary-kriging","lowest","zakharov",10,7,960,44,0.303127,0.920966,0.030000,2.980000
"ordinary-kriging","lowest","zakharov",10,7,980,45,0.231325,5.830130,0.030000,3.050000
"ordinary-kriging","lowest","zakharov",10,7,1000,46,0.193823,0.613296,0.030000,3.110000
"ordinary-kriging","lowest","zakharov",10,7,1020,47,0.188823,1.757714,0.030000,3.180000
"ordinary-kriging","lowest","zakharov",10,7,1040,48,0.188823,0.342215,0.020000,3.250000
"ordinary-kriging","lowest","zakharov",10,7,1060,49,0.162826,0.414294,0.030000,3.310000
"ordinary-kriging","lowest","zakharov",10,7,1080,50,0.136943,0.207088,0.030000,3.380000
"ordinary-kriging","lowest","zakharov",10,7,1100,51,0.136943,0.078657,0.030000,3.440000
"ordinary-kriging","lowest","zakharov",10,7,1120,52,0.120826,0.047471,0.030000,3.510000
"ordinary-kriging","lowest","zakharov",10,7,1140,53,0.117089,0.028176,0.020000,3.580000
"ordinary-kriging","lowest","zakharov",10,7,1160,54,0.104049,0.018155,0.030000,3.650000
"ordinary-kriging","lowest","zakharov",10,7,1180,55,0.103012,0.021253,0.030000,3.710000
"ordinary-kriging","lowest","zakharov",10,7,1200,56,0.100151,0.014435,0.030000,3.780000
"ordinary-kriging","lowest","zakharov",10,7,1220,57,0.098591,0.008929,0.030000,3.850000
"ordinary-kriging","lowest","zakharov",10,7,1240,58,0.095560,0.009364,0.020000,3.920000
"ordinary-kriging","lowest","zakharov",10,7,1260,59,0.090151,0.008481,0.030000,3.980000
"ordinary-kriging","lowest","zakharov",10,7,1280,60,0.087233,0.006943,0.030000,4.050000
"ordinary-kriging","lowest","zakharov",10,7,1300,61,0.084314,0.003622,0.030000,4.120000
"ordinary-kriging","lowest","zakharov",10,7,1320,62,0.081288,0.002363,0.030000,4.180000
"ordinary-kriging","lowest","zakharov",10,7,1340,63,0.081266,0.000932,0.030000,4.250000
"ordinary-kriging","lowest","zakharov",10,7,1360,64,0.077845,0.001655,0.030000,4.320000
"ordinary-kriging","lowest","zakharov",10,7,1380,65,0.074983,0.001790,0.030000,4.390000
"ordinary-kriging","lowest","zakharov",10,7,1400,66,0.072352,0.001608,0.030000,4.450000
"ordinary-kriging","lowest","zakharov",10,7,1420,67,0.069773,0.001368,0.030000,4.520000
"ordinary-kriging","lowest","zakharov",10,7,1440,68,0.068389,0.000569,0.030000,4.590000
"ordinary-kriging","lowest","zakharov",10,7,1460,69,0.066910,0.000650,0.030000,4.660000
"ordinary-kriging","lowest","zakharov",10,7,1480,70,0.063639,0.000521,0.030000,4.730000
"ordinary-kriging","lowest","zakharov",10,7,1500,71,0.061535,0.000903,0.030000,4.800000
"ordinary-kriging","lowest","zakharov",10,7,1520,72,0.058350,0.000871,0.030000,4.870000
"ordinary-kriging","lowest","zakharov",10,7,1540,73,0.058078,0.000919,0.030000,4.940000
"ordinary-kriging","lowest","zakharov",10,7,1560,74,0.056378,0.000589,0.030000,5.000000
"ordinary-kriging","lowest","zakharov",10,7,1580,75,0.055458,0.000810,0.030000,5.070000
"ordinary-kriging","lowest","zakharov",10,7,1600,76,0.054958,0.000634,0.030000,5.140000
"ordinary-kriging","lowest","zakharov",10,7,1620,77,0.053366,0.000767,0.030000,5.210000
"ordinary-kriging","lowest","zakharov",10,7,1640,78,0.052284,0.001174,0.030000,5.280000
"ordinary-kriging","lowest","zakharov",10,7,1660,79,0.051198,0.000876,0.030000,5.350000
"ordinary-kriging","lowest","zakharov",10,7,1680,80,0.049546,0.000745,0.030000,5.420000
"ordinary-kriging","lowest","zakharov",10,7,1700,81,0.048650,0.000579,0.030000,5.480000
"ordinary-kriging","lowest","zakharov",10,7,1720,82,0.047063,0.000451,0.030000,5.550000
"ordinary-kriging","lowest","zakharov",10,7,1740,83,0.046200,0.000647,0.030000,5.620000
"ordinary-kriging","lowest","zakharov",10,7,1760,84,0.044462,0.000629,0.030000,5.690000
"ordinary-kriging","lowest","zakharov",10,7,1780,85,0.044074,0.000373,0.030000,5.770000
"ordinary-kriging","lowest","zakharov",10,7,1800,86,0.042497,0.000420,0.030000,5.840000
"ordinary-kriging","lowest","zakharov",10,7,1820,87,0.042085,0.000246,0.030000,5.910000
"ordinary-kriging","lowest","zakharov",10,7,1840,88,0.040924,0.000332,0.030000,5.980000
"ordinary-kriging","lowest","zakharov",10,7,1860,89,0.040165,0.000290,0.030000,6.050000
"ordinary-kriging","lowest","zakharov",10,7,1880,90,0.039157,0.000252,0.030000,6.120000
"ordinary-kriging","lowest","zakharov",10,7,1900,91,0.038311,0.000439,0.030000,6.190000
"ordinary-kriging","lowest","zakharov",10,7,1920,92,0.037710,0.000243,0.030000,6.260000
"ordinary-kriging","lowest","zakharov",10,7,1940,93,0.037214,0.000286,0.030000,6.330000
