METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","ackley",5,2,80,0,14.704783,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","ackley",5,2,100,1,10.677818,1.011297,0.030000,0.070000
"ordinary-kriging","nearest","ackley",5,2,120,2,9.874903,1.456727,0.030000,0.150000
"ordinary-kriging","nearest","ackley",5,2,140,3,7.891288,0.693299,0.030000,0.230000
"ordinary-kriging","nearest","ackley",5,2,160,4,5.055323,0.733844,0.040000,0.310000
"ordinary-kriging","nearest","ackley",5,2,180,5,4.202158,0.659379,0.040000,0.390000
"ordinary-kriging","nearest","ackley",5,2,200,6,2.733396,0.690699,0.040000,0.470000
"ordinary-kriging","nearest","ackley",5,2,220,7,2.573778,0.781164,0.040000,0.550000
"ordinary-kriging","nearest","ackley",5,2,240,8,2.129610,0.718011,0.030000,0.630000
"ordinary-kriging","nearest","ackley",5,2,260,9,1.524362,0.826055,0.030000,0.710000
"ordinary-kriging","nearest","ackley",5,2,280,10,0.696350,0.187835,0.030000,0.790000
"ordinary-kriging","nearest","ackley",5,2,300,11,0.215675,0.272307,0.040000,0.870000
"ordinary-kriging","nearest","ackley",5,2,320,12,0.155548,0.083070,0.040000,0.950000
"ordinary-kriging","nearest","ackley",5,2,340,13,0.062160,0.073126,0.030000,1.030000
"ordinary-kriging","nearest","ackley",5,2,360,14,0.055592,0.065133,0.040000,1.110000
"ordinary-kriging","nearest","ackley",5,2,380,15,0.040519,0.020354,0.040000,1.190000
"ordinary-kriging","nearest","ackley",5,2,400,16,0.020402,0.010936,0.030000,1.270000
"ordinary-kriging","nearest","ackley",5,2,420,17,0.020402,0.028418,0.030000,1.340000
"ordinary-kriging","nearest","ackley",5,2,440,18,0.012659,0.011152,0.030000,1.420000
"ordinary-kriging","nearest","ackley",5,2,460,19,0.011398,0.004389,0.030000,1.500000
"ordinary-kriging","nearest","ackley",5,2,480,20,0.010397,0.006881,0.030000,1.570000
"ordinary-kriging","nearest","ackley",5,2,500,21,0.005722,0.002449,0.030000,1.650000
"ordinary-kriging","nearest","ackley",5,2,520,22,0.004708,0.004175,0.030000,1.720000
"ordinary-kriging","nearest","ackley",5,2,540,23,0.003495,0.002009,0.040000,1.800000
"ordinary-kriging","nearest","ackley",5,2,560,24,0.001549,0.001861,0.030000,1.880000
"ordinary-kriging","nearest","ackley",5,2,580,25,0.000822,0.000850,0.030000,1.960000
"ordinary-kriging","nearest","ackley",5,2,600,26,0.000566,0.000275,0.030000,2.040000
"ordinary-kriging","nearest","ackley",5,2,620,27,0.000411,0.000250,0.030000,2.120000
"ordinary-kriging","nearest","ackley",5,2,640,28,0.000278,0.000191,0.030000,2.200000
"ordinary-kriging","nearest","ackley",5,2,660,29,0.000189,0.000168,0.030000,2.280000
"ordinary-kriging","nearest","ackley",5,2,680,30,0.000079,0.000154,0.030000,2.350000
"ordinary-kriging","nearest","ackley",5,2,700,31,0.000079,0.000208,0.030000,2.430000
"ordinary-kriging","nearest","ackley",5,2,720,32,0.000079,0.000199,0.030000,2.500000
"ordinary-kriging","nearest","ackley",5,2,740,33,0.000044,0.000060,0.020000,2.580000
"ordinary-kriging","nearest","ackley",5,2,760,34,0.000044,0.000061,0.030000,2.650000
"ordinary-kriging","nearest","ackley",5,2,780,35,0.000039,0.000029,0.040000,2.730000
"ordinary-kriging","nearest","ackley",5,2,800,36,0.000026,0.000019,0.040000,2.810000
"ordinary-kriging","nearest","ackley",5,2,820,37,0.000026,0.000016,0.030000,2.890000
"ordinary-kriging","nearest","ackley",5,2,840,38,0.000023,0.000005,0.030000,2.970000
"ordinary-kriging","nearest","ackley",5,2,860,39,0.000015,0.000004,0.030000,3.040000
"ordinary-kriging","nearest","ackley",5,2,880,40,0.000008,0.000010,0.030000,3.120000
"ordinary-kriging","nearest","ackley",5,2,900,41,0.000008,0.000007,0.030000,3.190000
"ordinary-kriging","nearest","ackley",5,2,920,42,0.000004,0.000004,0.030000,3.270000
"ordinary-kriging","nearest","ackley",5,2,940,43,0.000003,0.000001,0.030000,3.350000
"ordinary-kriging","nearest","ackley",5,2,960,44,0.000003,0.000001,0.030000,3.420000
"ordinary-kriging","nearest","ackley",5,2,980,45,0.000002,0.000001,0.020000,3.500000
"ordinary-kriging","nearest","ackley",5,2,1000,46,0.000002,0.000000,0.030000,3.580000
"ordinary-kriging","nearest","ackley",5,2,1020,47,0.000001,0.000000,0.030000,3.660000
"ordinary-kriging","nearest","ackley",5,2,1040,48,0.000001,0.000000,0.030000,3.740000
"ordinary-kriging","nearest","ackley",5,2,1060,49,0.000000,0.000000,0.030000,3.820000
"ordinary-kriging","nearest","ackley",5,2,1080,50,0.000000,0.000000,0.030000,3.900000
"ordinary-kriging","nearest","ackley",5,2,1100,51,0.000000,0.000000,0.030000,3.980000
