METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","dixonpr",15,18,200,0,267739.813243,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","dixonpr",15,18,220,1,125770.599689,75346.445928,0.070000,0.120000
"ordinary-kriging","nearest","dixonpr",15,18,240,2,14576.003663,58077.814229,0.050000,0.220000
"ordinary-kriging","nearest","dixonpr",15,18,260,3,13224.589012,34985.050336,0.040000,0.310000
"ordinary-kriging","nearest","dixonpr",15,18,280,4,5037.922571,44416.868029,0.040000,0.410000
"ordinary-kriging","nearest","dixonpr",15,18,300,5,789.056201,29752.276130,0.050000,0.520000
"ordinary-kriging","nearest","dixonpr",15,18,320,6,681.719811,11655.492310,0.050000,0.620000
"ordinary-kriging","nearest","dixonpr",15,18,340,7,355.900843,5569.422415,0.040000,0.720000
"ordinary-kriging","nearest","dixonpr",15,18,360,8,189.719283,3767.929008,0.040000,0.820000
"ordinary-kriging","nearest","dixonpr",15,18,380,9,133.950448,1275.885564,0.050000,0.930000
"ordinary-kriging","nearest","dixonpr",15,18,400,10,125.632438,643.265669,0.050000,1.040000
"ordinary-kriging","nearest","dixonpr",15,18,420,11,124.402683,392.862067,0.050000,1.140000
"ordinary-kriging","nearest","dixonpr",15,18,440,12,43.276918,172.233586,0.050000,1.240000
"ordinary-kriging","nearest","dixonpr",15,18,460,13,36.729694,97.501379,0.040000,1.340000
"ordinary-kriging","nearest","dixonpr",15,18,480,14,26.398692,42.576907,0.040000,1.440000
"ordinary-kriging","nearest","dixonpr",15,18,500,15,19.574482,18.295708,0.040000,1.540000
"ordinary-kriging","nearest","dixonpr",15,18,520,16,14.407977,12.498605,0.050000,1.640000
"ordinary-kriging","nearest","dixonpr",15,18,540,17,12.664627,5.762685,0.050000,1.750000
"ordinary-kriging","nearest","dixonpr",15,18,560,18,10.978457,7.021096,0.040000,1.850000
"ordinary-kriging","nearest","dixonpr",15,18,580,19,6.340288,2.727069,0.050000,1.950000
"ordinary-kriging","nearest","dixonpr",15,18,600,20,6.117578,2.313938,0.050000,2.060000
"ordinary-kriging","nearest","dixonpr",15,18,620,21,5.045723,1.704202,0.050000,2.160000
"ordinary-kriging","nearest","dixonpr",15,18,640,22,3.637247,1.641472,0.050000,2.260000
"ordinary-kriging","nearest","dixonpr",15,18,660,23,3.044107,0.812358,0.050000,2.370000
"ordinary-kriging","nearest","dixonpr",15,18,680,24,2.623070,0.798732,0.040000,2.470000
"ordinary-kriging","nearest","dixonpr",15,18,700,25,2.407413,0.437650,0.050000,2.580000
"ordinary-kriging","nearest","dixonpr",15,18,720,26,1.806123,0.280709,0.040000,2.680000
"ordinary-kriging","nearest","dixonpr",15,18,740,27,1.401713,0.194297,0.040000,2.780000
"ordinary-kriging","nearest","dixonpr",15,18,760,28,1.276704,0.165654,0.050000,2.890000
"ordinary-kriging","nearest","dixonpr",15,18,780,29,1.090184,0.076787,0.050000,2.990000
"ordinary-kriging","nearest","dixonpr",15,18,800,30,1.045877,0.071292,0.040000,3.090000
"ordinary-kriging","nearest","dixonpr",15,18,820,31,0.932617,0.051504,0.040000,3.190000
"ordinary-kriging","nearest","dixonpr",15,18,840,32,0.881164,0.023769,0.050000,3.290000
"ordinary-kriging","nearest","dixonpr",15,18,860,33,0.848163,0.023092,0.050000,3.400000
"ordinary-kriging","nearest","dixonpr",15,18,880,34,0.795762,0.015160,0.040000,3.500000
"ordinary-kriging","nearest","dixonpr",15,18,900,35,0.751786,0.010454,0.050000,3.610000
"ordinary-kriging","nearest","dixonpr",15,18,920,36,0.725870,0.009940,0.040000,3.710000
"ordinary-kriging","nearest","dixonpr",15,18,940,37,0.721353,0.005816,0.050000,3.820000
"ordinary-kriging","nearest","dixonpr",15,18,960,38,0.710302,0.005689,0.050000,3.930000
"ordinary-kriging","nearest","dixonpr",15,18,980,39,0.698252,0.003098,0.040000,4.030000
"ordinary-kriging","nearest","dixonpr",15,18,1000,40,0.692201,0.002935,0.040000,4.130000
"ordinary-kriging","nearest","dixonpr",15,18,1020,41,0.687258,0.002847,0.040000,4.230000
"ordinary-kriging","nearest","dixonpr",15,18,1040,42,0.683455,0.001197,0.050000,4.330000
"ordinary-kriging","nearest","dixonpr",15,18,1060,43,0.680264,0.000985,0.050000,4.440000
"ordinary-kriging","nearest","dixonpr",15,18,1080,44,0.678482,0.001060,0.050000,4.540000
"ordinary-kriging","nearest","dixonpr",15,18,1100,45,0.676506,0.000604,0.040000,4.640000
"ordinary-kriging","nearest","dixonpr",15,18,1120,46,0.673693,0.000677,0.050000,4.740000
"ordinary-kriging","nearest","dixonpr",15,18,1140,47,0.673017,0.000445,0.050000,4.850000
"ordinary-kriging","nearest","dixonpr",15,18,1160,48,0.672258,0.000270,0.050000,4.960000
"ordinary-kriging","nearest","dixonpr",15,18,1180,49,0.671438,0.000356,0.040000,5.060000
"ordinary-kriging","nearest","dixonpr",15,18,1200,50,0.670896,0.000180,0.040000,5.160000
"ordinary-kriging","nearest","dixonpr",15,18,1220,51,0.670486,0.000250,0.040000,5.260000
"ordinary-kriging","nearest","dixonpr",15,18,1240,52,0.670139,0.000183,0.050000,5.360000
"ordinary-kriging","nearest","dixonpr",15,18,1260,53,0.669892,0.000099,0.050000,5.450000
"ordinary-kriging","nearest","dixonpr",15,18,1280,54,0.669591,0.000068,0.050000,5.550000
"ordinary-kriging","nearest","dixonpr",15,18,1300,55,0.669256,0.000067,0.040000,5.650000
"ordinary-kriging","nearest","dixonpr",15,18,1320,56,0.669118,0.000073,0.040000,5.750000
"ordinary-kriging","nearest","dixonpr",15,18,1340,57,0.668907,0.000053,0.040000,5.850000
