METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","elipsoid",2,16,80,0,0.881901,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","elipsoid",2,16,100,1,0.003840,0.000001,0.030000,0.080000
"ordinary-kriging","nearest","elipsoid",2,16,120,2,0.000049,0.000001,0.030000,0.150000
"ordinary-kriging","nearest","elipsoid",2,16,140,3,0.000049,0.000001,0.030000,0.230000
"ordinary-kriging","nearest","elipsoid",2,16,160,4,0.000041,0.000000,0.030000,0.310000
"ordinary-kriging","nearest","elipsoid",2,16,180,5,0.000041,0.000000,0.030000,0.380000
"ordinary-kriging","nearest","elipsoid",2,16,200,6,0.000003,0.000000,0.030000,0.460000
"ordinary-kriging","nearest","elipsoid",2,16,220,7,0.000001,0.000000,0.030000,0.530000
"ordinary-kriging","nearest","elipsoid",2,16,240,8,0.000000,0.000000,0.030000,0.610000
"ordinary-kriging","nearest","elipsoid",2,16,260,9,0.000000,0.000000,0.030000,0.690000
"ordinary-kriging","nearest","elipsoid",2,16,280,10,0.000000,0.000000,0.030000,0.760000
"ordinary-kriging","nearest","elipsoid",2,16,300,11,0.000000,0.000000,0.030000,0.840000
"ordinary-kriging","nearest","elipsoid",2,16,320,12,0.000000,0.000000,0.020000,0.920000
"ordinary-kriging","nearest","elipsoid",2,16,340,13,0.000000,0.000000,0.030000,1.000000
"ordinary-kriging","nearest","elipsoid",2,16,360,14,0.000000,0.000000,0.030000,1.070000
"ordinary-kriging","nearest","elipsoid",2,16,380,15,0.000000,0.000000,0.030000,1.150000
"ordinary-kriging","nearest","elipsoid",2,16,400,16,0.000000,0.000000,0.030000,1.240000
"ordinary-kriging","nearest","elipsoid",2,16,420,17,0.000000,0.000000,0.040000,1.320000
"ordinary-kriging","nearest","elipsoid",2,16,440,18,0.000000,0.000000,0.040000,1.400000
"ordinary-kriging","nearest","elipsoid",2,16,460,19,0.000000,0.000000,0.070000,1.530000
"ordinary-kriging","nearest","elipsoid",2,16,480,20,0.000000,0.000000,0.070000,1.660000
"ordinary-kriging","nearest","elipsoid",2,16,500,21,0.000000,0.000000,0.070000,1.790000
"ordinary-kriging","nearest","elipsoid",2,16,520,22,0.000000,0.000000,0.070000,1.910000
"ordinary-kriging","nearest","elipsoid",2,16,540,23,0.000000,0.000000,0.070000,2.040000
"ordinary-kriging","nearest","elipsoid",2,16,560,24,0.000000,0.000000,0.070000,2.160000
"ordinary-kriging","nearest","elipsoid",2,16,580,25,0.000000,0.000000,0.070000,2.290000
"ordinary-kriging","nearest","elipsoid",2,16,600,26,0.000000,0.000000,0.070000,2.430000
"ordinary-kriging","nearest","elipsoid",2,16,620,27,0.000000,0.000000,0.070000,2.550000
"ordinary-kriging","nearest","elipsoid",2,16,640,28,0.000000,0.000000,0.080000,2.680000
"ordinary-kriging","nearest","elipsoid",2,16,660,29,0.000000,0.000000,0.070000,2.810000
"ordinary-kriging","nearest","elipsoid",2,16,680,30,0.000000,0.000000,0.070000,2.930000
"ordinary-kriging","nearest","elipsoid",2,16,700,31,0.000000,0.000000,0.060000,3.060000
"ordinary-kriging","nearest","elipsoid",2,16,720,32,0.000000,0.000000,0.070000,3.190000
"ordinary-kriging","nearest","elipsoid",2,16,740,33,0.000000,0.000000,0.070000,3.320000
"ordinary-kriging","nearest","elipsoid",2,16,760,34,0.000000,0.000000,0.070000,3.450000
"ordinary-kriging","nearest","elipsoid",2,16,780,35,0.000000,0.000000,0.070000,3.570000
"ordinary-kriging","nearest","elipsoid",2,16,800,36,0.000000,0.000000,0.080000,3.710000
"ordinary-kriging","nearest","elipsoid",2,16,820,37,0.000000,0.000000,0.070000,3.840000
"ordinary-kriging","nearest","elipsoid",2,16,840,38,0.000000,0.000000,0.070000,3.970000
"ordinary-kriging","nearest","elipsoid",2,16,860,39,0.000000,0.000000,0.070000,4.090000
"ordinary-kriging","nearest","elipsoid",2,16,880,40,0.000000,0.000000,0.070000,4.210000
"ordinary-kriging","nearest","elipsoid",2,16,900,41,0.000000,0.000000,0.070000,4.330000
"ordinary-kriging","nearest","elipsoid",2,16,920,42,0.000000,0.000000,0.070000,4.450000
"ordinary-kriging","nearest","elipsoid",2,16,940,43,0.000000,0.000000,0.060000,4.580000
"ordinary-kriging","nearest","elipsoid",2,16,960,44,0.000000,0.000000,0.060000,4.700000
"ordinary-kriging","nearest","elipsoid",2,16,980,45,0.000000,0.000000,0.060000,4.820000
"ordinary-kriging","nearest","elipsoid",2,16,1000,46,0.000000,0.000000,0.060000,4.940000
