METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","griewank",10,14,80,0,117.727768,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","griewank",10,14,100,1,55.849450,18.778809,0.030000,0.080000
"ordinary-kriging","nearest","griewank",10,14,120,2,31.495235,2.831148,0.030000,0.150000
"ordinary-kriging","nearest","griewank",10,14,140,3,17.599748,2.835009,0.030000,0.230000
"ordinary-kriging","nearest","griewank",10,14,160,4,12.455197,1.596873,0.030000,0.310000
"ordinary-kriging","nearest","griewank",10,14,180,5,6.266903,1.100404,0.030000,0.390000
"ordinary-kriging","nearest","griewank",10,14,200,6,4.447717,0.760579,0.030000,0.470000
"ordinary-kriging","nearest","griewank",10,14,220,7,2.350750,0.241079,0.030000,0.540000
"ordinary-kriging","nearest","griewank",10,14,240,8,1.609400,0.283294,0.030000,0.620000
"ordinary-kriging","nearest","griewank",10,14,260,9,1.195173,0.080019,0.030000,0.700000
"ordinary-kriging","nearest","griewank",10,14,280,10,1.000162,0.065069,0.030000,0.780000
"ordinary-kriging","nearest","griewank",10,14,300,11,1.000162,0.207242,0.030000,0.860000
"ordinary-kriging","nearest","griewank",10,14,320,12,1.000162,0.166462,0.030000,0.940000
"ordinary-kriging","nearest","griewank",10,14,340,13,1.000162,0.093938,0.040000,1.020000
"ordinary-kriging","nearest","griewank",10,14,360,14,0.956221,0.080569,0.030000,1.100000
"ordinary-kriging","nearest","griewank",10,14,380,15,0.956221,0.057712,0.030000,1.180000
"ordinary-kriging","nearest","griewank",10,14,400,16,0.956221,0.081834,0.030000,1.260000
"ordinary-kriging","nearest","griewank",10,14,420,17,0.956221,0.053437,0.030000,1.350000
"ordinary-kriging","nearest","griewank",10,14,440,18,0.956221,0.083266,0.030000,1.430000
"ordinary-kriging","nearest","griewank",10,14,460,19,0.956221,0.053765,0.040000,1.510000
"ordinary-kriging","nearest","griewank",10,14,480,20,0.956221,0.070399,0.040000,1.590000
