METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","levy",15,14,200,0,55.984831,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","levy",15,14,220,1,54.610531,72.574644,0.060000,0.110000
"ordinary-kriging","nearest","levy",15,14,240,2,26.950753,38.452646,0.050000,0.210000
"ordinary-kriging","nearest","levy",15,14,260,3,26.950753,18.652020,0.050000,0.310000
"ordinary-kriging","nearest","levy",15,14,280,4,23.347818,18.150356,0.050000,0.410000
"ordinary-kriging","nearest","levy",15,14,300,5,21.763224,18.977273,0.050000,0.510000
"ordinary-kriging","nearest","levy",15,14,320,6,18.895260,15.573691,0.060000,0.620000
"ordinary-kriging","nearest","levy",15,14,340,7,8.612876,7.403189,0.050000,0.720000
"ordinary-kriging","nearest","levy",15,14,360,8,5.919836,6.162187,0.050000,0.820000
"ordinary-kriging","nearest","levy",15,14,380,9,2.624288,3.866593,0.050000,0.920000
"ordinary-kriging","nearest","levy",15,14,400,10,2.327162,2.538774,0.050000,1.030000
"ordinary-kriging","nearest","levy",15,14,420,11,2.055845,1.318794,0.040000,1.130000
"ordinary-kriging","nearest","levy",15,14,440,12,1.877992,1.086263,0.050000,1.240000
"ordinary-kriging","nearest","levy",15,14,460,13,1.013343,0.770404,0.040000,1.340000
"ordinary-kriging","nearest","levy",15,14,480,14,0.832855,0.374746,0.050000,1.450000
"ordinary-kriging","nearest","levy",15,14,500,15,0.751901,0.256397,0.050000,1.560000
"ordinary-kriging","nearest","levy",15,14,520,16,0.600412,0.142555,0.060000,1.670000
"ordinary-kriging","nearest","levy",15,14,540,17,0.548587,0.092668,0.050000,1.770000
"ordinary-kriging","nearest","levy",15,14,560,18,0.234073,0.134558,0.050000,1.880000
"ordinary-kriging","nearest","levy",15,14,580,19,0.234073,0.096734,0.050000,1.980000
"ordinary-kriging","nearest","levy",15,14,600,20,0.152612,0.075563,0.050000,2.090000
"ordinary-kriging","nearest","levy",15,14,620,21,0.094551,0.024532,0.050000,2.190000
"ordinary-kriging","nearest","levy",15,14,640,22,0.083934,0.029669,0.050000,2.300000
"ordinary-kriging","nearest","levy",15,14,660,23,0.056806,0.018107,0.050000,2.410000
"ordinary-kriging","nearest","levy",15,14,680,24,0.034731,0.008719,0.040000,2.510000
"ordinary-kriging","nearest","levy",15,14,700,25,0.021439,0.005365,0.050000,2.620000
"ordinary-kriging","nearest","levy",15,14,720,26,0.012403,0.004312,0.040000,2.720000
"ordinary-kriging","nearest","levy",15,14,740,27,0.006139,0.002147,0.050000,2.830000
"ordinary-kriging","nearest","levy",15,14,760,28,0.005249,0.001648,0.050000,2.930000
"ordinary-kriging","nearest","levy",15,14,780,29,0.004495,0.001027,0.050000,3.040000
"ordinary-kriging","nearest","levy",15,14,800,30,0.002221,0.000534,0.050000,3.150000
"ordinary-kriging","nearest","levy",15,14,820,31,0.001815,0.000465,0.050000,3.260000
"ordinary-kriging","nearest","levy",15,14,840,32,0.001376,0.000382,0.050000,3.370000
"ordinary-kriging","nearest","levy",15,14,860,33,0.000598,0.000164,0.050000,3.480000
"ordinary-kriging","nearest","levy",15,14,880,34,0.000328,0.000086,0.060000,3.600000
"ordinary-kriging","nearest","levy",15,14,900,35,0.000160,0.000049,0.050000,3.710000
"ordinary-kriging","nearest","levy",15,14,920,36,0.000091,0.000028,0.050000,3.820000
"ordinary-kriging","nearest","levy",15,14,940,37,0.000081,0.000026,0.050000,3.930000
"ordinary-kriging","nearest","levy",15,14,960,38,0.000043,0.000011,0.050000,4.040000
"ordinary-kriging","nearest","levy",15,14,980,39,0.000026,0.000011,0.050000,4.150000
"ordinary-kriging","nearest","levy",15,14,1000,40,0.000016,0.000005,0.050000,4.260000
"ordinary-kriging","nearest","levy",15,14,1020,41,0.000009,0.000003,0.050000,4.370000
"ordinary-kriging","nearest","levy",15,14,1040,42,0.000008,0.000002,0.050000,4.480000
"ordinary-kriging","nearest","levy",15,14,1060,43,0.000004,0.000001,0.050000,4.590000
"ordinary-kriging","nearest","levy",15,14,1080,44,0.000003,0.000001,0.050000,4.700000
"ordinary-kriging","nearest","levy",15,14,1100,45,0.000002,0.000000,0.050000,4.810000
"ordinary-kriging","nearest","levy",15,14,1120,46,0.000001,0.000000,0.050000,4.920000
"ordinary-kriging","nearest","levy",15,14,1140,47,0.000001,0.000000,0.050000,5.030000
"ordinary-kriging","nearest","levy",15,14,1160,48,0.000000,0.000000,0.050000,5.140000
"ordinary-kriging","nearest","levy",15,14,1180,49,0.000000,0.000000,0.050000,5.250000
"ordinary-kriging","nearest","levy",15,14,1200,50,0.000000,0.000000,0.050000,5.360000
"ordinary-kriging","nearest","levy",15,14,1220,51,0.000000,0.000000,0.050000,5.470000
"ordinary-kriging","nearest","levy",15,14,1240,52,0.000000,0.000000,0.050000,5.580000
"ordinary-kriging","nearest","levy",15,14,1260,53,0.000000,0.000000,0.060000,5.700000
"ordinary-kriging","nearest","levy",15,14,1280,54,0.000000,0.000000,0.060000,5.820000
"ordinary-kriging","nearest","levy",15,14,1300,55,0.000000,0.000000,0.130000,6.010000
"ordinary-kriging","nearest","levy",15,14,1320,56,0.000000,0.000000,0.160000,6.250000
"ordinary-kriging","nearest","levy",15,14,1340,57,0.000000,0.000000,0.160000,6.490000
"ordinary-kriging","nearest","levy",15,14,1360,58,0.000000,0.000000,0.170000,6.730000
"ordinary-kriging","nearest","levy",15,14,1380,59,0.000000,0.000000,0.170000,6.980000
"ordinary-kriging","nearest","levy",15,14,1400,60,0.000000,0.000000,0.170000,7.230000
"ordinary-kriging","nearest","levy",15,14,1420,61,0.000000,0.000000,0.160000,7.470000
"ordinary-kriging","nearest","levy",15,14,1440,62,0.000000,0.000000,0.160000,7.710000
"ordinary-kriging","nearest","levy",15,14,1460,63,0.000000,0.000000,0.160000,7.960000
"ordinary-kriging","nearest","levy",15,14,1480,64,0.000000,0.000000,0.170000,8.200000
"ordinary-kriging","nearest","levy",15,14,1500,65,0.000000,0.000000,0.160000,8.440000
"ordinary-kriging","nearest","levy",15,14,1520,66,0.000000,0.000000,0.170000,8.690000
"ordinary-kriging","nearest","levy",15,14,1540,67,0.000000,0.000000,0.160000,8.930000
"ordinary-kriging","nearest","levy",15,14,1560,68,0.000000,0.000000,0.160000,9.170000
"ordinary-kriging","nearest","levy",15,14,1580,69,0.000000,0.000000,0.160000,9.410000
"ordinary-kriging","nearest","levy",15,14,1600,70,0.000000,0.000000,0.160000,9.650000
"ordinary-kriging","nearest","levy",15,14,1620,71,0.000000,0.000000,0.170000,9.900000
"ordinary-kriging","nearest","levy",15,14,1640,72,0.000000,0.000000,0.160000,10.150000
"ordinary-kriging","nearest","levy",15,14,1660,73,0.000000,0.000000,0.170000,10.400000
"ordinary-kriging","nearest","levy",15,14,1680,74,0.000000,0.000000,0.170000,10.650000
"ordinary-kriging","nearest","levy",15,14,1700,75,0.000000,0.000000,0.160000,10.900000
"ordinary-kriging","nearest","levy",15,14,1720,76,0.000000,0.000000,0.160000,11.150000
"ordinary-kriging","nearest","levy",15,14,1740,77,0.000000,0.000000,0.160000,11.390000
"ordinary-kriging","nearest","levy",15,14,1760,78,0.000000,0.000000,0.170000,11.640000
"ordinary-kriging","nearest","levy",15,14,1780,79,0.000000,0.000000,0.160000,11.890000
"ordinary-kriging","nearest","levy",15,14,1800,80,0.000000,0.000000,0.160000,12.130000
"ordinary-kriging","nearest","levy",15,14,1820,81,0.000000,0.000000,0.160000,12.370000
"ordinary-kriging","nearest","levy",15,14,1840,82,0.000000,0.000000,0.170000,12.620000
"ordinary-kriging","nearest","levy",15,14,1860,83,0.000000,0.000000,0.170000,12.870000
"ordinary-kriging","nearest","levy",15,14,1880,84,0.000000,0.000000,0.160000,13.120000
"ordinary-kriging","nearest","levy",15,14,1900,85,0.000000,0.000000,0.160000,13.360000
"ordinary-kriging","nearest","levy",15,14,1920,86,0.000000,0.000000,0.170000,13.610000
"ordinary-kriging","nearest","levy",15,14,1940,87,0.000000,0.000000,0.160000,13.850000
"ordinary-kriging","nearest","levy",15,14,1960,88,0.000000,0.000000,0.170000,14.100000
"ordinary-kriging","nearest","levy",15,14,1980,89,0.000000,0.000000,0.160000,14.340000
"ordinary-kriging","nearest","levy",15,14,2000,90,0.000000,0.000000,0.170000,14.590000
"ordinary-kriging","nearest","levy",15,14,2020,91,0.000000,0.000000,0.170000,14.850000
"ordinary-kriging","nearest","levy",15,14,2040,92,0.000000,0.000000,0.160000,15.100000
"ordinary-kriging","nearest","levy",15,14,2060,93,0.000000,0.000000,0.160000,15.340000
"ordinary-kriging","nearest","levy",15,14,2080,94,0.000000,0.000000,0.170000,15.590000
"ordinary-kriging","nearest","levy",15,14,2100,95,0.000000,0.000000,0.170000,15.840000
"ordinary-kriging","nearest","levy",15,14,2120,96,0.000000,0.000000,0.160000,16.090000
"ordinary-kriging","nearest","levy",15,14,2140,97,0.000000,0.000000,0.160000,16.330000
"ordinary-kriging","nearest","levy",15,14,2160,98,0.000000,0.000000,0.170000,16.580000
"ordinary-kriging","nearest","levy",15,14,2180,99,0.000000,0.000000,0.170000,16.840000
"ordinary-kriging","nearest","levy",15,14,2200,100,0.000000,0.000000,0.160000,17.080000
"ordinary-kriging","nearest","levy",15,14,2220,101,0.000000,0.000000,0.160000,17.330000
"ordinary-kriging","nearest","levy",15,14,2240,102,0.000000,0.000000,0.160000,17.570000
"ordinary-kriging","nearest","levy",15,14,2260,103,0.000000,0.000000,0.160000,17.810000
"ordinary-kriging","nearest","levy",15,14,2280,104,0.000000,0.000000,0.160000,18.070000
"ordinary-kriging","nearest","levy",15,14,2300,105,0.000000,0.000000,0.180000,18.340000
"ordinary-kriging","nearest","levy",15,14,2320,106,0.000000,0.000000,0.160000,18.590000
"ordinary-kriging","nearest","levy",15,14,2340,107,0.000000,0.000000,0.160000,18.840000
"ordinary-kriging","nearest","levy",15,14,2360,108,0.000000,0.000000,0.170000,19.090000
"ordinary-kriging","nearest","levy",15,14,2380,109,0.000000,0.000000,0.170000,19.340000
"ordinary-kriging","nearest","levy",15,14,2400,110,0.000000,0.000000,0.170000,19.590000
"ordinary-kriging","nearest","levy",15,14,2420,111,0.000000,0.000000,0.170000,19.840000
"ordinary-kriging","nearest","levy",15,14,2440,112,0.000000,0.000000,0.160000,20.090000
"ordinary-kriging","nearest","levy",15,14,2460,113,0.000000,0.000000,0.170000,20.340000
"ordinary-kriging","nearest","levy",15,14,2480,114,0.000000,0.000000,0.170000,20.590000
"ordinary-kriging","nearest","levy",15,14,2500,115,0.000000,0.000000,0.170000,20.840000
"ordinary-kriging","nearest","levy",15,14,2520,116,0.000000,0.000000,0.170000,21.090000
"ordinary-kriging","nearest","levy",15,14,2540,117,0.000000,0.000000,0.160000,21.340000
