METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","perm0db",10,10,80,0,724469642982559232.000000,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","perm0db",10,10,100,1,724469642982559232.000000,22478635137057651949568.000000,0.040000,0.080000
"ordinary-kriging","nearest","perm0db",10,10,120,2,953366669065871.125000,4137165026599190396928.000000,0.030000,0.160000
"ordinary-kriging","nearest","perm0db",10,10,140,3,953366669065871.125000,5834046476144340893696.000000,0.030000,0.230000
"ordinary-kriging","nearest","perm0db",10,10,160,4,445352449361.431519,2802758872662939795456.000000,0.030000,0.310000
"ordinary-kriging","nearest","perm0db",10,10,180,5,445352449361.431519,1669422687626595401728.000000,0.030000,0.380000
"ordinary-kriging","nearest","perm0db",10,10,200,6,445352449361.431519,823346838485994438656.000000,0.040000,0.460000
"ordinary-kriging","nearest","perm0db",10,10,220,7,445352449361.431519,2519365511336243494912.000000,0.030000,0.540000
"ordinary-kriging","nearest","perm0db",10,10,240,8,2039659719.924485,625164604291113811968.000000,0.030000,0.610000
"ordinary-kriging","nearest","perm0db",10,10,260,9,2039659719.924485,1048501754536678144.000000,0.030000,0.690000
"ordinary-kriging","nearest","perm0db",10,10,280,10,2039659719.924485,8854532717209793536.000000,0.030000,0.770000
"ordinary-kriging","nearest","perm0db",10,10,300,11,2039659719.924485,148408051833870528.000000,0.030000,0.850000
"ordinary-kriging","nearest","perm0db",10,10,320,12,269238814.238328,72144255213502528.000000,0.030000,0.930000
"ordinary-kriging","nearest","perm0db",10,10,340,13,269238814.238328,12163269791383826.000000,0.030000,1.000000
"ordinary-kriging","nearest","perm0db",10,10,360,14,10368197.266573,2461168137078477.500000,0.040000,1.080000
"ordinary-kriging","nearest","perm0db",10,10,380,15,10368197.266573,661974837025413.250000,0.030000,1.160000
"ordinary-kriging","nearest","perm0db",10,10,400,16,10368197.266573,3942490629105406.500000,0.030000,1.230000
"ordinary-kriging","nearest","perm0db",10,10,420,17,10368197.266573,48829866049026.710938,0.040000,1.310000
"ordinary-kriging","nearest","perm0db",10,10,440,18,1517450.045234,1262557953370535.250000,0.030000,1.390000
"ordinary-kriging","nearest","perm0db",10,10,460,19,778172.518958,2041415041645.029297,0.030000,1.460000
"ordinary-kriging","nearest","perm0db",10,10,480,20,172684.396252,288655107402.441772,0.030000,1.540000
"ordinary-kriging","nearest","perm0db",10,10,500,21,34623.088017,589309047875.775146,0.030000,1.610000
"ordinary-kriging","nearest","perm0db",10,10,520,22,34623.088017,46712780797.071251,0.040000,1.690000
"ordinary-kriging","nearest","perm0db",10,10,540,23,34623.088017,10946269866.810093,0.030000,1.770000
"ordinary-kriging","nearest","perm0db",10,10,560,24,26098.364316,681243279.730584,0.030000,1.850000
"ordinary-kriging","nearest","perm0db",10,10,580,25,1338.443203,618068216.530191,0.030000,1.920000
"ordinary-kriging","nearest","perm0db",10,10,600,26,371.589130,156369831.545685,0.040000,2.000000
"ordinary-kriging","nearest","perm0db",10,10,620,27,371.589130,34384107.161834,0.030000,2.080000
"ordinary-kriging","nearest","perm0db",10,10,640,28,251.933438,4200740.693458,0.030000,2.150000
"ordinary-kriging","nearest","perm0db",10,10,660,29,251.933438,5653536.317637,0.030000,2.230000
"ordinary-kriging","nearest","perm0db",10,10,680,30,251.933438,2098953.255591,0.030000,2.310000
"ordinary-kriging","nearest","perm0db",10,10,700,31,251.933438,291951.246587,0.040000,2.380000
"ordinary-kriging","nearest","perm0db",10,10,720,32,251.933438,235787.576868,0.030000,2.460000
"ordinary-kriging","nearest","perm0db",10,10,740,33,230.322018,24163.643599,0.040000,2.530000
"ordinary-kriging","nearest","perm0db",10,10,760,34,223.732135,4108.430972,0.030000,2.610000
"ordinary-kriging","nearest","perm0db",10,10,780,35,223.732135,1118499.489600,0.030000,2.680000
"ordinary-kriging","nearest","perm0db",10,10,800,36,223.732135,15935226.657829,0.050000,2.770000
"ordinary-kriging","nearest","perm0db",10,10,820,37,165.172463,18417.384892,0.030000,2.850000
"ordinary-kriging","nearest","perm0db",10,10,840,38,165.172463,8947409.871509,0.040000,2.920000
"ordinary-kriging","nearest","perm0db",10,10,860,39,165.172463,15035.326497,0.030000,3.000000
"ordinary-kriging","nearest","perm0db",10,10,880,40,165.172463,6508.991500,0.040000,3.070000
"ordinary-kriging","nearest","perm0db",10,10,900,41,165.172463,350363.458559,0.030000,3.140000
"ordinary-kriging","nearest","perm0db",10,10,920,42,132.895646,18558591.375044,0.030000,3.220000
"ordinary-kriging","nearest","perm0db",10,10,940,43,132.895646,38118.304450,0.030000,3.290000
"ordinary-kriging","nearest","perm0db",10,10,960,44,132.895646,205583.531579,0.030000,3.370000
"ordinary-kriging","nearest","perm0db",10,10,980,45,132.895646,55320.214691,0.030000,3.440000
"ordinary-kriging","nearest","perm0db",10,10,1000,46,132.895646,573001.072710,0.030000,3.520000
"ordinary-kriging","nearest","perm0db",10,10,1020,47,132.895646,37604.427064,0.030000,3.590000
"ordinary-kriging","nearest","perm0db",10,10,1040,48,132.895646,29829.846265,0.040000,3.670000
"ordinary-kriging","nearest","perm0db",10,10,1060,49,132.895646,8717.569483,0.030000,3.750000
"ordinary-kriging","nearest","perm0db",10,10,1080,50,132.895646,35888.442293,0.040000,3.820000
"ordinary-kriging","nearest","perm0db",10,10,1100,51,132.895646,19276.152088,0.040000,3.900000
"ordinary-kriging","nearest","perm0db",10,10,1120,52,132.895646,3713.307247,0.030000,3.980000
"ordinary-kriging","nearest","perm0db",10,10,1140,53,132.895646,583.647816,0.030000,4.050000
"ordinary-kriging","nearest","perm0db",10,10,1160,54,132.895646,22945.383761,0.040000,4.130000
"ordinary-kriging","nearest","perm0db",10,10,1180,55,132.895646,1038.081145,0.030000,4.210000
"ordinary-kriging","nearest","perm0db",10,10,1200,56,132.198039,917.640517,0.030000,4.290000
"ordinary-kriging","nearest","perm0db",10,10,1220,57,87.520364,624.744512,0.040000,4.360000
"ordinary-kriging","nearest","perm0db",10,10,1240,58,85.747205,658.915269,0.030000,4.440000
"ordinary-kriging","nearest","perm0db",10,10,1260,59,66.614803,2542.256424,0.030000,4.520000
"ordinary-kriging","nearest","perm0db",10,10,1280,60,66.614803,1972.158147,0.030000,4.590000
"ordinary-kriging","nearest","perm0db",10,10,1300,61,66.614803,753536.993192,0.040000,4.670000
"ordinary-kriging","nearest","perm0db",10,10,1320,62,66.614803,1514.471851,0.030000,4.750000
"ordinary-kriging","nearest","perm0db",10,10,1340,63,66.614803,76039.249619,0.030000,4.820000
"ordinary-kriging","nearest","perm0db",10,10,1360,64,66.614803,63799.926878,0.040000,4.900000
"ordinary-kriging","nearest","perm0db",10,10,1380,65,66.614803,515.312192,0.030000,4.980000
"ordinary-kriging","nearest","perm0db",10,10,1400,66,65.852770,314.136290,0.030000,5.060000
"ordinary-kriging","nearest","perm0db",10,10,1420,67,65.852770,1271.211925,0.030000,5.140000
"ordinary-kriging","nearest","perm0db",10,10,1440,68,65.852770,1519.455835,0.040000,5.210000
"ordinary-kriging","nearest","perm0db",10,10,1460,69,40.515565,10859.524385,0.030000,5.290000
"ordinary-kriging","nearest","perm0db",10,10,1480,70,31.387687,548.023550,0.030000,5.370000
"ordinary-kriging","nearest","perm0db",10,10,1500,71,31.387687,119285.563289,0.030000,5.440000
"ordinary-kriging","nearest","perm0db",10,10,1520,72,31.387687,9726.380935,0.040000,5.520000
"ordinary-kriging","nearest","perm0db",10,10,1540,73,31.387687,713.004229,0.030000,5.600000
"ordinary-kriging","nearest","perm0db",10,10,1560,74,31.387687,873.234258,0.030000,5.680000
"ordinary-kriging","nearest","perm0db",10,10,1580,75,31.387687,144.880147,0.030000,5.760000
"ordinary-kriging","nearest","perm0db",10,10,1600,76,31.387687,285.543245,0.040000,5.830000
"ordinary-kriging","nearest","perm0db",10,10,1620,77,16.720776,103.257306,0.040000,5.910000
"ordinary-kriging","nearest","perm0db",10,10,1640,78,11.459204,74.292983,0.040000,5.990000
"ordinary-kriging","nearest","perm0db",10,10,1660,79,10.295195,38.920739,0.040000,6.070000
"ordinary-kriging","nearest","perm0db",10,10,1680,80,8.537347,18.945772,0.030000,6.150000
"ordinary-kriging","nearest","perm0db",10,10,1700,81,8.537347,7.824202,0.030000,6.230000
"ordinary-kriging","nearest","perm0db",10,10,1720,82,8.293700,3.616598,0.030000,6.310000
"ordinary-kriging","nearest","perm0db",10,10,1740,83,7.976722,2.981509,0.030000,6.390000
"ordinary-kriging","nearest","perm0db",10,10,1760,84,7.662190,3.549950,0.030000,6.470000
"ordinary-kriging","nearest","perm0db",10,10,1780,85,6.937063,2.857250,0.030000,6.550000
"ordinary-kriging","nearest","perm0db",10,10,1800,86,6.937063,3.341270,0.030000,6.630000
"ordinary-kriging","nearest","perm0db",10,10,1820,87,6.937063,2.847311,0.030000,6.710000
"ordinary-kriging","nearest","perm0db",10,10,1840,88,6.712581,1.431760,0.040000,6.780000
"ordinary-kriging","nearest","perm0db",10,10,1860,89,6.686740,0.854762,0.040000,6.870000
"ordinary-kriging","nearest","perm0db",10,10,1880,90,6.686740,1.046721,0.030000,6.950000
"ordinary-kriging","nearest","perm0db",10,10,1900,91,6.641850,0.829471,0.030000,7.030000
"ordinary-kriging","nearest","perm0db",10,10,1920,92,6.641850,0.630207,0.030000,7.110000
"ordinary-kriging","nearest","perm0db",10,10,1940,93,6.641703,1.436943,0.030000,7.190000
"ordinary-kriging","nearest","perm0db",10,10,1960,94,6.532889,0.398924,0.030000,7.270000
"ordinary-kriging","nearest","perm0db",10,10,1980,95,6.532889,0.354716,0.030000,7.350000
"ordinary-kriging","nearest","perm0db",10,10,2000,96,6.468932,0.181136,0.030000,7.430000
"ordinary-kriging","nearest","perm0db",10,10,2020,97,6.468932,0.448461,0.030000,7.510000
"ordinary-kriging","nearest","perm0db",10,10,2040,98,6.444834,0.293030,0.030000,7.590000
"ordinary-kriging","nearest","perm0db",10,10,2060,99,6.444834,0.247884,0.030000,7.670000
"ordinary-kriging","nearest","perm0db",10,10,2080,100,6.435265,0.199733,0.040000,7.750000
"ordinary-kriging","nearest","perm0db",10,10,2100,101,6.435265,0.206797,0.030000,7.830000
"ordinary-kriging","nearest","perm0db",10,10,2120,102,6.435265,0.158986,0.030000,7.910000
"ordinary-kriging","nearest","perm0db",10,10,2140,103,6.435265,0.086872,0.030000,7.990000
