METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","rastrigin",10,20,80,0,117.962091,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","rastrigin",10,20,100,1,74.634985,22.684580,0.030000,0.090000
"ordinary-kriging","nearest","rastrigin",10,20,120,2,74.634985,22.240285,0.030000,0.160000
"ordinary-kriging","nearest","rastrigin",10,20,140,3,71.140570,22.456703,0.030000,0.240000
"ordinary-kriging","nearest","rastrigin",10,20,160,4,57.717598,27.365397,0.030000,0.320000
"ordinary-kriging","nearest","rastrigin",10,20,180,5,57.717598,25.629086,0.030000,0.400000
"ordinary-kriging","nearest","rastrigin",10,20,200,6,57.717598,21.000423,0.030000,0.480000
"ordinary-kriging","nearest","rastrigin",10,20,220,7,57.717598,16.255050,0.030000,0.550000
"ordinary-kriging","nearest","rastrigin",10,20,240,8,57.717598,17.896508,0.040000,0.630000
"ordinary-kriging","nearest","rastrigin",10,20,260,9,56.023128,12.245318,0.030000,0.700000
"ordinary-kriging","nearest","rastrigin",10,20,280,10,46.474956,25.668036,0.030000,0.780000
"ordinary-kriging","nearest","rastrigin",10,20,300,11,46.474956,19.306161,0.030000,0.860000
"ordinary-kriging","nearest","rastrigin",10,20,320,12,46.474956,12.879069,0.030000,0.930000
"ordinary-kriging","nearest","rastrigin",10,20,340,13,46.474956,20.957338,0.030000,1.010000
"ordinary-kriging","nearest","rastrigin",10,20,360,14,33.661314,18.357640,0.030000,1.080000
"ordinary-kriging","nearest","rastrigin",10,20,380,15,33.165795,20.621896,0.030000,1.160000
"ordinary-kriging","nearest","rastrigin",10,20,400,16,33.165795,17.484738,0.030000,1.230000
"ordinary-kriging","nearest","rastrigin",10,20,420,17,33.165795,12.125694,0.030000,1.300000
"ordinary-kriging","nearest","rastrigin",10,20,440,18,26.931786,13.424780,0.040000,1.380000
"ordinary-kriging","nearest","rastrigin",10,20,460,19,23.004508,6.767779,0.040000,1.460000
"ordinary-kriging","nearest","rastrigin",10,20,480,20,17.533288,7.998964,0.040000,1.540000
"ordinary-kriging","nearest","rastrigin",10,20,500,21,17.439658,9.921291,0.040000,1.620000
"ordinary-kriging","nearest","rastrigin",10,20,520,22,16.101196,5.718258,0.030000,1.700000
"ordinary-kriging","nearest","rastrigin",10,20,540,23,15.253581,2.873896,0.030000,1.780000
"ordinary-kriging","nearest","rastrigin",10,20,560,24,14.173116,2.609028,0.030000,1.860000
"ordinary-kriging","nearest","rastrigin",10,20,580,25,14.159981,2.444435,0.030000,1.940000
"ordinary-kriging","nearest","rastrigin",10,20,600,26,13.682809,0.104882,0.040000,2.020000
"ordinary-kriging","nearest","rastrigin",10,20,620,27,13.342742,0.059547,0.030000,2.100000
"ordinary-kriging","nearest","rastrigin",10,20,640,28,13.166229,0.076561,0.030000,2.180000
"ordinary-kriging","nearest","rastrigin",10,20,660,29,13.055873,0.043941,0.030000,2.250000
"ordinary-kriging","nearest","rastrigin",10,20,680,30,13.007618,0.021624,0.030000,2.330000
"ordinary-kriging","nearest","rastrigin",10,20,700,31,12.972318,0.010314,0.030000,2.420000
"ordinary-kriging","nearest","rastrigin",10,20,720,32,12.946733,0.004698,0.030000,2.500000
"ordinary-kriging","nearest","rastrigin",10,20,740,33,12.939887,0.002602,0.030000,2.570000
"ordinary-kriging","nearest","rastrigin",10,20,760,34,12.938048,0.001132,0.030000,2.660000
"ordinary-kriging","nearest","rastrigin",10,20,780,35,12.936163,0.000496,0.030000,2.740000
"ordinary-kriging","nearest","rastrigin",10,20,800,36,12.935361,0.000150,0.030000,2.820000
"ordinary-kriging","nearest","rastrigin",10,20,820,37,12.934977,0.000163,0.030000,2.900000
"ordinary-kriging","nearest","rastrigin",10,20,840,38,12.934796,0.000063,0.040000,2.980000
"ordinary-kriging","nearest","rastrigin",10,20,860,39,12.934716,0.000066,0.030000,3.060000
"ordinary-kriging","nearest","rastrigin",10,20,880,40,12.934582,0.000028,0.040000,3.140000
"ordinary-kriging","nearest","rastrigin",10,20,900,41,12.934506,0.000010,0.040000,3.220000
"ordinary-kriging","nearest","rastrigin",10,20,920,42,12.934485,0.000009,0.030000,3.300000
"ordinary-kriging","nearest","rastrigin",10,20,940,43,12.934469,0.000002,0.030000,3.380000
"ordinary-kriging","nearest","rastrigin",10,20,960,44,12.934466,0.000002,0.030000,3.460000
"ordinary-kriging","nearest","rastrigin",10,20,980,45,12.934461,0.000001,0.030000,3.540000
"ordinary-kriging","nearest","rastrigin",10,20,1000,46,12.934459,0.000001,0.030000,3.620000
"ordinary-kriging","nearest","rastrigin",10,20,1020,47,12.934459,0.000000,0.030000,3.700000
"ordinary-kriging","nearest","rastrigin",10,20,1040,48,12.934458,0.000000,0.030000,3.780000
"ordinary-kriging","nearest","rastrigin",10,20,1060,49,12.934458,0.000000,0.030000,3.860000
"ordinary-kriging","nearest","rastrigin",10,20,1080,50,12.934458,0.000000,0.030000,3.940000
"ordinary-kriging","nearest","rastrigin",10,20,1100,51,12.934458,0.000000,0.030000,4.020000
"ordinary-kriging","nearest","rastrigin",10,20,1120,52,12.934458,0.000000,0.030000,4.100000
"ordinary-kriging","nearest","rastrigin",10,20,1140,53,12.934458,0.000000,0.040000,4.180000
"ordinary-kriging","nearest","rastrigin",10,20,1160,54,12.934458,0.000000,0.040000,4.270000
"ordinary-kriging","nearest","rastrigin",10,20,1180,55,12.934458,0.000000,0.100000,4.430000
"ordinary-kriging","nearest","rastrigin",10,20,1200,56,12.934458,0.000000,0.100000,4.590000
"ordinary-kriging","nearest","rastrigin",10,20,1220,57,12.934458,0.000000,0.100000,4.760000
"ordinary-kriging","nearest","rastrigin",10,20,1240,58,12.934458,0.000000,0.100000,4.920000
"ordinary-kriging","nearest","rastrigin",10,20,1260,59,12.934458,0.000000,0.100000,5.080000
"ordinary-kriging","nearest","rastrigin",10,20,1280,60,12.934458,0.000000,0.100000,5.240000
"ordinary-kriging","nearest","rastrigin",10,20,1300,61,12.934458,0.000000,0.100000,5.410000
"ordinary-kriging","nearest","rastrigin",10,20,1320,62,12.934458,0.000000,0.100000,5.570000
"ordinary-kriging","nearest","rastrigin",10,20,1340,63,12.934458,0.000000,0.100000,5.730000
"ordinary-kriging","nearest","rastrigin",10,20,1360,64,12.934458,0.000000,0.100000,5.890000
"ordinary-kriging","nearest","rastrigin",10,20,1380,65,12.934458,0.000000,0.090000,6.050000
