METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","rosen",15,15,200,0,1142.421512,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","rosen",15,15,220,1,762.027726,663.153904,0.070000,0.120000
"ordinary-kriging","nearest","rosen",15,15,240,2,466.010564,999.459814,0.080000,0.250000
"ordinary-kriging","nearest","rosen",15,15,260,3,232.495784,409.470218,0.050000,0.350000
"ordinary-kriging","nearest","rosen",15,15,280,4,181.423245,277.914847,0.050000,0.450000
"ordinary-kriging","nearest","rosen",15,15,300,5,164.583124,237.356330,0.040000,0.550000
"ordinary-kriging","nearest","rosen",15,15,320,6,135.266496,132.808861,0.050000,0.650000
"ordinary-kriging","nearest","rosen",15,15,340,7,93.954823,67.646774,0.050000,0.760000
"ordinary-kriging","nearest","rosen",15,15,360,8,88.965368,50.338180,0.050000,0.860000
"ordinary-kriging","nearest","rosen",15,15,380,9,61.865301,25.556155,0.050000,0.960000
"ordinary-kriging","nearest","rosen",15,15,400,10,49.468895,13.913626,0.040000,1.060000
"ordinary-kriging","nearest","rosen",15,15,420,11,37.251448,6.194445,0.050000,1.170000
"ordinary-kriging","nearest","rosen",15,15,440,12,35.865334,3.998533,0.050000,1.270000
"ordinary-kriging","nearest","rosen",15,15,460,13,28.825394,3.313347,0.050000,1.380000
"ordinary-kriging","nearest","rosen",15,15,480,14,24.904438,1.475958,0.050000,1.480000
"ordinary-kriging","nearest","rosen",15,15,500,15,22.443480,1.114835,0.050000,1.580000
"ordinary-kriging","nearest","rosen",15,15,520,16,19.490254,0.772743,0.050000,1.690000
"ordinary-kriging","nearest","rosen",15,15,540,17,18.106367,0.510676,0.050000,1.790000
"ordinary-kriging","nearest","rosen",15,15,560,18,17.038728,0.423386,0.050000,1.900000
"ordinary-kriging","nearest","rosen",15,15,580,19,16.323311,0.281989,0.050000,2.000000
"ordinary-kriging","nearest","rosen",15,15,600,20,16.009459,0.220137,0.040000,2.110000
"ordinary-kriging","nearest","rosen",15,15,620,21,15.468774,0.176186,0.050000,2.220000
"ordinary-kriging","nearest","rosen",15,15,640,22,15.269451,0.091919,0.040000,2.320000
"ordinary-kriging","nearest","rosen",15,15,660,23,14.915666,0.090777,0.050000,2.430000
"ordinary-kriging","nearest","rosen",15,15,680,24,14.840991,0.046377,0.040000,2.530000
"ordinary-kriging","nearest","rosen",15,15,700,25,14.809814,0.029198,0.050000,2.640000
"ordinary-kriging","nearest","rosen",15,15,720,26,14.701526,0.024082,0.050000,2.740000
"ordinary-kriging","nearest","rosen",15,15,740,27,14.684148,0.019541,0.050000,2.850000
"ordinary-kriging","nearest","rosen",15,15,760,28,14.654776,0.018362,0.040000,2.950000
"ordinary-kriging","nearest","rosen",15,15,780,29,14.604664,0.013477,0.060000,3.070000
"ordinary-kriging","nearest","rosen",15,15,800,30,14.592238,0.009754,0.050000,3.170000
"ordinary-kriging","nearest","rosen",15,15,820,31,14.575865,0.010719,0.040000,3.270000
"ordinary-kriging","nearest","rosen",15,15,840,32,14.573114,0.004867,0.050000,3.380000
"ordinary-kriging","nearest","rosen",15,15,860,33,14.551466,0.006104,0.050000,3.480000
"ordinary-kriging","nearest","rosen",15,15,880,34,14.531460,0.006954,0.050000,3.590000
"ordinary-kriging","nearest","rosen",15,15,900,35,14.515348,0.004241,0.050000,3.690000
"ordinary-kriging","nearest","rosen",15,15,920,36,14.508495,0.003451,0.050000,3.800000
"ordinary-kriging","nearest","rosen",15,15,940,37,14.502873,0.002015,0.050000,3.900000
"ordinary-kriging","nearest","rosen",15,15,960,38,14.500886,0.001312,0.050000,4.010000
"ordinary-kriging","nearest","rosen",15,15,980,39,14.498602,0.000953,0.050000,4.120000
"ordinary-kriging","nearest","rosen",15,15,1000,40,14.497081,0.000707,0.050000,4.220000
"ordinary-kriging","nearest","rosen",15,15,1020,41,14.496140,0.000550,0.050000,4.330000
"ordinary-kriging","nearest","rosen",15,15,1040,42,14.494851,0.000647,0.050000,4.430000
"ordinary-kriging","nearest","rosen",15,15,1060,43,14.493313,0.000412,0.050000,4.540000
"ordinary-kriging","nearest","rosen",15,15,1080,44,14.491734,0.000427,0.050000,4.640000
"ordinary-kriging","nearest","rosen",15,15,1100,45,14.490665,0.000516,0.050000,4.750000
"ordinary-kriging","nearest","rosen",15,15,1120,46,14.489484,0.000303,0.050000,4.860000
"ordinary-kriging","nearest","rosen",15,15,1140,47,14.488867,0.000294,0.050000,4.970000
"ordinary-kriging","nearest","rosen",15,15,1160,48,14.487952,0.000407,0.050000,5.080000
"ordinary-kriging","nearest","rosen",15,15,1180,49,14.487369,0.000265,0.050000,5.190000
"ordinary-kriging","nearest","rosen",15,15,1200,50,14.486533,0.000326,0.050000,5.290000
"ordinary-kriging","nearest","rosen",15,15,1220,51,14.486147,0.000234,0.040000,5.400000
"ordinary-kriging","nearest","rosen",15,15,1240,52,14.485572,0.000145,0.050000,5.510000
"ordinary-kriging","nearest","rosen",15,15,1260,53,14.485118,0.000174,0.050000,5.620000
"ordinary-kriging","nearest","rosen",15,15,1280,54,14.484799,0.000159,0.050000,5.730000
"ordinary-kriging","nearest","rosen",15,15,1300,55,14.484534,0.000104,0.040000,5.830000
"ordinary-kriging","nearest","rosen",15,15,1320,56,14.484380,0.000051,0.060000,5.950000
"ordinary-kriging","nearest","rosen",15,15,1340,57,14.484166,0.000061,0.050000,6.060000
"ordinary-kriging","nearest","rosen",15,15,1360,58,14.483930,0.000069,0.050000,6.170000
"ordinary-kriging","nearest","rosen",15,15,1380,59,14.483704,0.000061,0.050000,6.280000
"ordinary-kriging","nearest","rosen",15,15,1400,60,14.483617,0.000043,0.040000,6.390000
"ordinary-kriging","nearest","rosen",15,15,1420,61,14.483562,0.000023,0.050000,6.500000
"ordinary-kriging","nearest","rosen",15,15,1440,62,14.483466,0.000015,0.050000,6.610000
"ordinary-kriging","nearest","rosen",15,15,1460,63,14.483385,0.000024,0.050000,6.720000
"ordinary-kriging","nearest","rosen",15,15,1480,64,14.483293,0.000029,0.050000,6.820000
"ordinary-kriging","nearest","rosen",15,15,1500,65,14.483212,0.000025,0.050000,6.930000
"ordinary-kriging","nearest","rosen",15,15,1520,66,14.483152,0.000027,0.050000,7.040000
"ordinary-kriging","nearest","rosen",15,15,1540,67,14.483103,0.000024,0.050000,7.150000
"ordinary-kriging","nearest","rosen",15,15,1560,68,14.483070,0.000012,0.050000,7.260000
"ordinary-kriging","nearest","rosen",15,15,1580,69,14.483007,0.000015,0.050000,7.370000
"ordinary-kriging","nearest","rosen",15,15,1600,70,14.482975,0.000017,0.050000,7.470000
"ordinary-kriging","nearest","rosen",15,15,1620,71,14.482923,0.000019,0.060000,7.590000
"ordinary-kriging","nearest","rosen",15,15,1640,72,14.482875,0.000018,0.050000,7.700000
"ordinary-kriging","nearest","rosen",15,15,1660,73,14.482831,0.000017,0.050000,7.810000
"ordinary-kriging","nearest","rosen",15,15,1680,74,14.482792,0.000022,0.050000,7.910000
"ordinary-kriging","nearest","rosen",15,15,1700,75,14.482748,0.000014,0.050000,8.030000
"ordinary-kriging","nearest","rosen",15,15,1720,76,14.482715,0.000016,0.050000,8.140000
"ordinary-kriging","nearest","rosen",15,15,1740,77,14.482697,0.000009,0.060000,8.260000
"ordinary-kriging","nearest","rosen",15,15,1760,78,14.482677,0.000010,0.050000,8.370000
"ordinary-kriging","nearest","rosen",15,15,1780,79,14.482658,0.000011,0.050000,8.480000
"ordinary-kriging","nearest","rosen",15,15,1800,80,14.482633,0.000008,0.050000,8.590000
"ordinary-kriging","nearest","rosen",15,15,1820,81,14.482617,0.000007,0.050000,8.700000
"ordinary-kriging","nearest","rosen",15,15,1840,82,14.482600,0.000008,0.050000,8.810000
"ordinary-kriging","nearest","rosen",15,15,1860,83,14.482585,0.000005,0.050000,8.910000
"ordinary-kriging","nearest","rosen",15,15,1880,84,14.482570,0.000006,0.050000,9.020000
"ordinary-kriging","nearest","rosen",15,15,1900,85,14.482549,0.000005,0.050000,9.130000
"ordinary-kriging","nearest","rosen",15,15,1920,86,14.482538,0.000007,0.050000,9.230000
"ordinary-kriging","nearest","rosen",15,15,1940,87,14.482530,0.000005,0.050000,9.330000
"ordinary-kriging","nearest","rosen",15,15,1960,88,14.482523,0.000004,0.040000,9.430000
"ordinary-kriging","nearest","rosen",15,15,1980,89,14.482514,0.000004,0.050000,9.540000
"ordinary-kriging","nearest","rosen",15,15,2000,90,14.482497,0.000003,0.050000,9.640000
"ordinary-kriging","nearest","rosen",15,15,2020,91,14.482489,0.000004,0.050000,9.740000
"ordinary-kriging","nearest","rosen",15,15,2040,92,14.482481,0.000007,0.050000,9.840000
"ordinary-kriging","nearest","rosen",15,15,2060,93,14.482472,0.000004,0.050000,9.940000
"ordinary-kriging","nearest","rosen",15,15,2080,94,14.482463,0.000003,0.050000,10.040000
"ordinary-kriging","nearest","rosen",15,15,2100,95,14.482452,0.000004,0.050000,10.140000
"ordinary-kriging","nearest","rosen",15,15,2120,96,14.482445,0.000004,0.050000,10.250000
"ordinary-kriging","nearest","rosen",15,15,2140,97,14.482436,0.000004,0.060000,10.350000
"ordinary-kriging","nearest","rosen",15,15,2160,98,14.482430,0.000003,0.050000,10.460000
"ordinary-kriging","nearest","rosen",15,15,2180,99,14.482424,0.000003,0.050000,10.560000
"ordinary-kriging","nearest","rosen",15,15,2200,100,14.482417,0.000002,0.050000,10.670000
"ordinary-kriging","nearest","rosen",15,15,2220,101,14.482410,0.000003,0.050000,10.770000
"ordinary-kriging","nearest","rosen",15,15,2240,102,14.482405,0.000002,0.050000,10.870000
"ordinary-kriging","nearest","rosen",15,15,2260,103,14.482400,0.000003,0.050000,10.970000
"ordinary-kriging","nearest","rosen",15,15,2280,104,14.482394,0.000003,0.050000,11.070000
"ordinary-kriging","nearest","rosen",15,15,2300,105,14.482391,0.000002,0.050000,11.180000
"ordinary-kriging","nearest","rosen",15,15,2320,106,14.482385,0.000002,0.050000,11.280000
"ordinary-kriging","nearest","rosen",15,15,2340,107,14.482381,0.000002,0.040000,11.380000
"ordinary-kriging","nearest","rosen",15,15,2360,108,14.482377,0.000002,0.050000,11.490000
"ordinary-kriging","nearest","rosen",15,15,2380,109,14.482374,0.000001,0.040000,11.590000
"ordinary-kriging","nearest","rosen",15,15,2400,110,14.482370,0.000002,0.050000,11.700000
"ordinary-kriging","nearest","rosen",15,15,2420,111,14.482366,0.000001,0.050000,11.800000
