METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","stybtang",2,16,80,0,10.046715,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","stybtang",2,16,100,1,0.174085,0.022073,0.030000,0.080000
"ordinary-kriging","nearest","stybtang",2,16,120,2,0.069703,0.000344,0.030000,0.150000
"ordinary-kriging","nearest","stybtang",2,16,140,3,0.006928,0.000270,0.030000,0.220000
"ordinary-kriging","nearest","stybtang",2,16,160,4,0.003800,0.016176,0.020000,0.290000
"ordinary-kriging","nearest","stybtang",2,16,180,5,0.003800,0.164638,0.030000,0.370000
"ordinary-kriging","nearest","stybtang",2,16,200,6,0.000555,0.744647,0.030000,0.440000
"ordinary-kriging","nearest","stybtang",2,16,220,7,-0.000057,0.000000,0.030000,0.510000
"ordinary-kriging","nearest","stybtang",2,16,240,8,-0.000106,0.000000,0.030000,0.580000
"ordinary-kriging","nearest","stybtang",2,16,260,9,-0.000347,0.000000,0.020000,0.650000
"ordinary-kriging","nearest","stybtang",2,16,280,10,-0.000347,0.000000,0.020000,0.720000
"ordinary-kriging","nearest","stybtang",2,16,300,11,-0.000347,0.000000,0.030000,0.800000
"ordinary-kriging","nearest","stybtang",2,16,320,12,-0.000347,0.000000,0.030000,0.870000
"ordinary-kriging","nearest","stybtang",2,16,340,13,-0.000350,0.000000,0.020000,0.930000
"ordinary-kriging","nearest","stybtang",2,16,360,14,-0.000351,0.000000,0.030000,1.000000
"ordinary-kriging","nearest","stybtang",2,16,380,15,-0.000351,0.000000,0.030000,1.080000
"ordinary-kriging","nearest","stybtang",2,16,400,16,-0.000351,0.000000,0.030000,1.150000
"ordinary-kriging","nearest","stybtang",2,16,420,17,-0.000351,0.000000,0.030000,1.220000
"ordinary-kriging","nearest","stybtang",2,16,440,18,-0.000351,0.000000,0.030000,1.290000
"ordinary-kriging","nearest","stybtang",2,16,460,19,-0.000351,0.000000,0.020000,1.350000
"ordinary-kriging","nearest","stybtang",2,16,480,20,-0.000351,0.000000,0.020000,1.420000
"ordinary-kriging","nearest","stybtang",2,16,500,21,-0.000351,0.000000,0.030000,1.490000
"ordinary-kriging","nearest","stybtang",2,16,520,22,-0.000351,0.000000,0.030000,1.560000
"ordinary-kriging","nearest","stybtang",2,16,540,23,-0.000351,0.000000,0.030000,1.630000
"ordinary-kriging","nearest","stybtang",2,16,560,24,-0.000351,0.000000,0.030000,1.700000
"ordinary-kriging","nearest","stybtang",2,16,580,25,-0.000351,0.000000,0.030000,1.770000
"ordinary-kriging","nearest","stybtang",2,16,600,26,-0.000351,0.000000,0.030000,1.850000
"ordinary-kriging","nearest","stybtang",2,16,620,27,-0.000351,0.000000,0.030000,1.920000
"ordinary-kriging","nearest","stybtang",2,16,640,28,-0.000351,0.000000,0.030000,2.000000
"ordinary-kriging","nearest","stybtang",2,16,660,29,-0.000351,0.000000,0.040000,2.100000
"ordinary-kriging","nearest","stybtang",2,16,680,30,-0.000351,0.000000,0.030000,2.190000
"ordinary-kriging","nearest","stybtang",2,16,700,31,-0.000351,0.000000,0.040000,2.270000
"ordinary-kriging","nearest","stybtang",2,16,720,32,-0.000351,0.000000,0.040000,2.360000
"ordinary-kriging","nearest","stybtang",2,16,740,33,-0.000351,0.000000,0.030000,2.450000
"ordinary-kriging","nearest","stybtang",2,16,760,34,-0.000351,0.000000,0.040000,2.530000
"ordinary-kriging","nearest","stybtang",2,16,780,35,-0.000351,0.000000,0.040000,2.620000
"ordinary-kriging","nearest","stybtang",2,16,800,36,-0.000351,0.000000,0.040000,2.710000
"ordinary-kriging","nearest","stybtang",2,16,820,37,-0.000351,0.000000,0.040000,2.790000
"ordinary-kriging","nearest","stybtang",2,16,840,38,-0.000351,0.000000,0.040000,2.880000
"ordinary-kriging","nearest","stybtang",2,16,860,39,-0.000351,0.000000,0.030000,2.970000
"ordinary-kriging","nearest","stybtang",2,16,880,40,-0.000351,0.000000,0.040000,3.050000
"ordinary-kriging","nearest","stybtang",2,16,900,41,-0.000351,0.000000,0.040000,3.140000
"ordinary-kriging","nearest","stybtang",2,16,920,42,-0.000351,0.000000,0.030000,3.230000
"ordinary-kriging","nearest","stybtang",2,16,940,43,-0.000351,0.000000,0.040000,3.310000
"ordinary-kriging","nearest","stybtang",2,16,960,44,-0.000351,0.000000,0.040000,3.400000
"ordinary-kriging","nearest","stybtang",2,16,980,45,-0.000351,0.000000,0.030000,3.490000
"ordinary-kriging","nearest","stybtang",2,16,1000,46,-0.000351,0.000000,0.040000,3.570000
