METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","nearest","zakharov",5,10,80,0,17.196354,0.000000,0.000000,0.000000
"ordinary-kriging","nearest","zakharov",5,10,100,1,17.196354,194724.575732,0.030000,0.070000
"ordinary-kriging","nearest","zakharov",5,10,120,2,17.196354,105541.348477,0.020000,0.130000
"ordinary-kriging","nearest","zakharov",5,10,140,3,17.196354,32779.822713,0.030000,0.200000
"ordinary-kriging","nearest","zakharov",5,10,160,4,17.196354,8466.926622,0.030000,0.270000
"ordinary-kriging","nearest","zakharov",5,10,180,5,17.196354,7247.129662,0.020000,0.330000
"ordinary-kriging","nearest","zakharov",5,10,200,6,17.196354,3349.146355,0.030000,0.400000
"ordinary-kriging","nearest","zakharov",5,10,220,7,17.196354,2909.808045,0.020000,0.470000
"ordinary-kriging","nearest","zakharov",5,10,240,8,17.196354,7865.810394,0.030000,0.530000
"ordinary-kriging","nearest","zakharov",5,10,260,9,17.196354,10311.003320,0.030000,0.600000
"ordinary-kriging","nearest","zakharov",5,10,280,10,17.196354,6507.403574,0.020000,0.660000
"ordinary-kriging","nearest","zakharov",5,10,300,11,1.850057,2176.314072,0.030000,0.730000
"ordinary-kriging","nearest","zakharov",5,10,320,12,1.850057,2360.780624,0.020000,0.790000
"ordinary-kriging","nearest","zakharov",5,10,340,13,1.850057,874.254839,0.030000,0.860000
"ordinary-kriging","nearest","zakharov",5,10,360,14,1.850057,732.439467,0.020000,0.930000
"ordinary-kriging","nearest","zakharov",5,10,380,15,1.850057,468.461189,0.030000,0.990000
"ordinary-kriging","nearest","zakharov",5,10,400,16,1.775167,1732.257292,0.030000,1.060000
"ordinary-kriging","nearest","zakharov",5,10,420,17,1.775167,943.812515,0.030000,1.130000
"ordinary-kriging","nearest","zakharov",5,10,440,18,1.775167,708.247271,0.020000,1.190000
"ordinary-kriging","nearest","zakharov",5,10,460,19,1.775167,1735.558048,0.030000,1.260000
"ordinary-kriging","nearest","zakharov",5,10,480,20,1.775167,331.948003,0.030000,1.330000
"ordinary-kriging","nearest","zakharov",5,10,500,21,1.775167,758.159330,0.030000,1.390000
"ordinary-kriging","nearest","zakharov",5,10,520,22,1.775167,263.169318,0.030000,1.460000
"ordinary-kriging","nearest","zakharov",5,10,540,23,1.775167,154.126448,0.030000,1.530000
"ordinary-kriging","nearest","zakharov",5,10,560,24,1.775167,484.393749,0.020000,1.600000
"ordinary-kriging","nearest","zakharov",5,10,580,25,1.775167,146.032375,0.030000,1.660000
"ordinary-kriging","nearest","zakharov",5,10,600,26,1.661936,510.587782,0.030000,1.730000
"ordinary-kriging","nearest","zakharov",5,10,620,27,1.661936,52.900474,0.030000,1.790000
"ordinary-kriging","nearest","zakharov",5,10,640,28,0.620372,121.660333,0.030000,1.860000
"ordinary-kriging","nearest","zakharov",5,10,660,29,0.620372,41.140623,0.030000,1.930000
"ordinary-kriging","nearest","zakharov",5,10,680,30,0.620372,39.906838,0.030000,2.000000
"ordinary-kriging","nearest","zakharov",5,10,700,31,0.620372,23.079774,0.020000,2.070000
"ordinary-kriging","nearest","zakharov",5,10,720,32,0.214453,6.550270,0.030000,2.130000
"ordinary-kriging","nearest","zakharov",5,10,740,33,0.214453,11.124839,0.030000,2.200000
"ordinary-kriging","nearest","zakharov",5,10,760,34,0.214453,6.800620,0.030000,2.270000
"ordinary-kriging","nearest","zakharov",5,10,780,35,0.124085,3.428174,0.030000,2.340000
"ordinary-kriging","nearest","zakharov",5,10,800,36,0.057389,0.655003,0.030000,2.410000
"ordinary-kriging","nearest","zakharov",5,10,820,37,0.057389,1.773879,0.030000,2.480000
"ordinary-kriging","nearest","zakharov",5,10,840,38,0.057389,0.930785,0.030000,2.550000
"ordinary-kriging","nearest","zakharov",5,10,860,39,0.054887,0.504985,0.030000,2.630000
"ordinary-kriging","nearest","zakharov",5,10,880,40,0.054887,0.312298,0.020000,2.700000
"ordinary-kriging","nearest","zakharov",5,10,900,41,0.054887,0.355222,0.030000,2.770000
"ordinary-kriging","nearest","zakharov",5,10,920,42,0.031664,0.086310,0.030000,2.840000
"ordinary-kriging","nearest","zakharov",5,10,940,43,0.007515,0.054043,0.030000,2.910000
"ordinary-kriging","nearest","zakharov",5,10,960,44,0.003054,0.024943,0.030000,2.990000
"ordinary-kriging","nearest","zakharov",5,10,980,45,0.001475,0.014289,0.030000,3.060000
"ordinary-kriging","nearest","zakharov",5,10,1000,46,0.001475,0.008665,0.030000,3.130000
"ordinary-kriging","nearest","zakharov",5,10,1020,47,0.001438,0.002727,0.030000,3.200000
"ordinary-kriging","nearest","zakharov",5,10,1040,48,0.001134,0.000986,0.020000,3.280000
"ordinary-kriging","nearest","zakharov",5,10,1060,49,0.000213,0.001221,0.030000,3.350000
"ordinary-kriging","nearest","zakharov",5,10,1080,50,0.000069,0.003506,0.030000,3.420000
"ordinary-kriging","nearest","zakharov",5,10,1100,51,0.000063,0.003075,0.020000,3.500000
"ordinary-kriging","nearest","zakharov",5,10,1120,52,0.000027,0.000387,0.030000,3.570000
"ordinary-kriging","nearest","zakharov",5,10,1140,53,0.000015,0.000191,0.030000,3.640000
"ordinary-kriging","nearest","zakharov",5,10,1160,54,0.000005,0.000320,0.020000,3.720000
"ordinary-kriging","nearest","zakharov",5,10,1180,55,0.000005,0.000498,0.030000,3.790000
"ordinary-kriging","nearest","zakharov",5,10,1200,56,0.000003,0.000391,0.030000,3.860000
"ordinary-kriging","nearest","zakharov",5,10,1220,57,0.000003,0.000136,0.030000,3.930000
"ordinary-kriging","nearest","zakharov",5,10,1240,58,0.000003,0.000046,0.030000,4.000000
"ordinary-kriging","nearest","zakharov",5,10,1260,59,0.000003,0.000041,0.030000,4.070000
"ordinary-kriging","nearest","zakharov",5,10,1280,60,0.000001,0.000041,0.030000,4.140000
"ordinary-kriging","nearest","zakharov",5,10,1300,61,0.000001,0.000043,0.020000,4.220000
"ordinary-kriging","nearest","zakharov",5,10,1320,62,0.000001,0.000113,0.020000,4.290000
"ordinary-kriging","nearest","zakharov",5,10,1340,63,0.000001,0.000075,0.020000,4.360000
