METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","ackley",5,8,80,0,18.229120,0.000000,0.000000,0.000000
"ordinary-kriging","newest","ackley",5,8,100,1,11.675600,1.041165,0.030000,0.070000
"ordinary-kriging","newest","ackley",5,8,120,2,10.519591,0.969334,0.040000,0.140000
"ordinary-kriging","newest","ackley",5,8,140,3,8.085295,1.089002,0.030000,0.200000
"ordinary-kriging","newest","ackley",5,8,160,4,6.377284,0.831661,0.030000,0.270000
"ordinary-kriging","newest","ackley",5,8,180,5,3.712636,0.725564,0.030000,0.340000
"ordinary-kriging","newest","ackley",5,8,200,6,2.744893,0.738536,0.040000,0.410000
"ordinary-kriging","newest","ackley",5,8,220,7,2.744893,0.879539,0.040000,0.480000
"ordinary-kriging","newest","ackley",5,8,240,8,1.678554,0.505242,0.030000,0.550000
"ordinary-kriging","newest","ackley",5,8,260,9,1.534969,0.518293,0.030000,0.610000
"ordinary-kriging","newest","ackley",5,8,280,10,1.324483,0.580465,0.030000,0.680000
"ordinary-kriging","newest","ackley",5,8,300,11,0.499249,0.359639,0.030000,0.750000
"ordinary-kriging","newest","ackley",5,8,320,12,0.245219,0.212436,0.030000,0.820000
"ordinary-kriging","newest","ackley",5,8,340,13,0.081796,0.052592,0.030000,0.900000
"ordinary-kriging","newest","ackley",5,8,360,14,0.081796,0.080894,0.040000,0.970000
"ordinary-kriging","newest","ackley",5,8,380,15,0.071314,0.024320,0.030000,1.040000
"ordinary-kriging","newest","ackley",5,8,400,16,0.031826,0.013752,0.030000,1.110000
"ordinary-kriging","newest","ackley",5,8,420,17,0.023905,0.009656,0.030000,1.180000
"ordinary-kriging","newest","ackley",5,8,440,18,0.010130,0.005266,0.030000,1.250000
"ordinary-kriging","newest","ackley",5,8,460,19,0.007738,0.014741,0.030000,1.320000
"ordinary-kriging","newest","ackley",5,8,480,20,0.004805,0.003985,0.030000,1.390000
"ordinary-kriging","newest","ackley",5,8,500,21,0.003738,0.003034,0.030000,1.460000
"ordinary-kriging","newest","ackley",5,8,520,22,0.001243,0.000958,0.030000,1.530000
"ordinary-kriging","newest","ackley",5,8,540,23,0.001243,0.001552,0.040000,1.600000
"ordinary-kriging","newest","ackley",5,8,560,24,0.000890,0.001549,0.040000,1.670000
"ordinary-kriging","newest","ackley",5,8,580,25,0.000890,0.000833,0.030000,1.740000
"ordinary-kriging","newest","ackley",5,8,600,26,0.000689,0.000501,0.030000,1.800000
"ordinary-kriging","newest","ackley",5,8,620,27,0.000689,0.000601,0.030000,1.870000
"ordinary-kriging","newest","ackley",5,8,640,28,0.000423,0.000329,0.030000,1.940000
"ordinary-kriging","newest","ackley",5,8,660,29,0.000239,0.000197,0.030000,2.010000
"ordinary-kriging","newest","ackley",5,8,680,30,0.000187,0.000263,0.030000,2.080000
"ordinary-kriging","newest","ackley",5,8,700,31,0.000145,0.000102,0.030000,2.150000
"ordinary-kriging","newest","ackley",5,8,720,32,0.000077,0.000105,0.030000,2.220000
"ordinary-kriging","newest","ackley",5,8,740,33,0.000033,0.000070,0.030000,2.290000
"ordinary-kriging","newest","ackley",5,8,760,34,0.000032,0.000103,0.030000,2.360000
"ordinary-kriging","newest","ackley",5,8,780,35,0.000025,0.000058,0.030000,2.430000
"ordinary-kriging","newest","ackley",5,8,800,36,0.000025,0.000053,0.030000,2.500000
