METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","dixonpr",5,1,80,0,1630.824955,0.000000,0.000000,0.000000
"ordinary-kriging","newest","dixonpr",5,1,100,1,229.275303,34646.730597,0.030000,0.060000
"ordinary-kriging","newest","dixonpr",5,1,120,2,29.899936,7358.071683,0.030000,0.130000
"ordinary-kriging","newest","dixonpr",5,1,140,3,29.899936,2966.562644,0.030000,0.190000
"ordinary-kriging","newest","dixonpr",5,1,160,4,25.097876,829.033319,0.040000,0.270000
"ordinary-kriging","newest","dixonpr",5,1,180,5,7.630828,337.102314,0.030000,0.330000
"ordinary-kriging","newest","dixonpr",5,1,200,6,4.479897,58.812933,0.020000,0.390000
"ordinary-kriging","newest","dixonpr",5,1,220,7,1.580547,34.252685,0.030000,0.460000
"ordinary-kriging","newest","dixonpr",5,1,240,8,0.815975,9.241427,0.030000,0.520000
"ordinary-kriging","newest","dixonpr",5,1,260,9,0.815975,4.638815,0.030000,0.590000
"ordinary-kriging","newest","dixonpr",5,1,280,10,0.616583,3.534462,0.030000,0.650000
"ordinary-kriging","newest","dixonpr",5,1,300,11,0.616583,6.268700,0.030000,0.720000
"ordinary-kriging","newest","dixonpr",5,1,320,12,0.566706,4.666255,0.030000,0.780000
"ordinary-kriging","newest","dixonpr",5,1,340,13,0.532404,4.126537,0.030000,0.850000
"ordinary-kriging","newest","dixonpr",5,1,360,14,0.316136,18.250800,0.030000,0.910000
"ordinary-kriging","newest","dixonpr",5,1,380,15,0.128789,3.423308,0.030000,0.980000
"ordinary-kriging","newest","dixonpr",5,1,400,16,0.042819,3.220498,0.030000,1.040000
"ordinary-kriging","newest","dixonpr",5,1,420,17,0.042819,1.883213,0.030000,1.100000
"ordinary-kriging","newest","dixonpr",5,1,440,18,0.042819,2.867162,0.020000,1.160000
"ordinary-kriging","newest","dixonpr",5,1,460,19,0.042819,0.966008,0.030000,1.230000
"ordinary-kriging","newest","dixonpr",5,1,480,20,0.042819,1.180891,0.030000,1.290000
"ordinary-kriging","newest","dixonpr",5,1,500,21,0.042819,1.402611,0.030000,1.360000
"ordinary-kriging","newest","dixonpr",5,1,520,22,0.013858,2.283658,0.020000,1.420000
"ordinary-kriging","newest","dixonpr",5,1,540,23,0.005830,1.210955,0.030000,1.490000
"ordinary-kriging","newest","dixonpr",5,1,560,24,0.005830,2.050096,0.020000,1.560000
"ordinary-kriging","newest","dixonpr",5,1,580,25,0.005830,0.547574,0.030000,1.620000
"ordinary-kriging","newest","dixonpr",5,1,600,26,0.005830,0.785557,0.020000,1.680000
"ordinary-kriging","newest","dixonpr",5,1,620,27,0.005830,1.135664,0.030000,1.750000
"ordinary-kriging","newest","dixonpr",5,1,640,28,0.005830,1.885187,0.030000,1.810000
"ordinary-kriging","newest","dixonpr",5,1,660,29,0.005830,1.035743,0.030000,1.870000
"ordinary-kriging","newest","dixonpr",5,1,680,30,0.005830,1.447952,0.030000,1.940000
"ordinary-kriging","newest","dixonpr",5,1,700,31,0.005830,0.646061,0.020000,2.000000
"ordinary-kriging","newest","dixonpr",5,1,720,32,0.005830,0.477173,0.030000,2.070000
"ordinary-kriging","newest","dixonpr",5,1,740,33,0.002121,1.553829,0.030000,2.130000
"ordinary-kriging","newest","dixonpr",5,1,760,34,0.002121,2.459927,0.030000,2.200000
"ordinary-kriging","newest","dixonpr",5,1,780,35,0.002121,3.876936,0.020000,2.260000
"ordinary-kriging","newest","dixonpr",5,1,800,36,0.002121,1.352084,0.030000,2.330000
