METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","elipsoid",5,19,80,0,26.421179,0.000000,0.000000,0.000000
"ordinary-kriging","newest","elipsoid",5,19,100,1,4.711295,1.419303,0.030000,0.070000
"ordinary-kriging","newest","elipsoid",5,19,120,2,1.985817,0.298619,0.030000,0.130000
"ordinary-kriging","newest","elipsoid",5,19,140,3,0.718209,0.039720,0.020000,0.190000
"ordinary-kriging","newest","elipsoid",5,19,160,4,0.422227,0.006898,0.030000,0.260000
"ordinary-kriging","newest","elipsoid",5,19,180,5,0.060921,0.003661,0.030000,0.320000
"ordinary-kriging","newest","elipsoid",5,19,200,6,0.055062,0.003404,0.020000,0.380000
"ordinary-kriging","newest","elipsoid",5,19,220,7,0.011682,0.008353,0.030000,0.450000
"ordinary-kriging","newest","elipsoid",5,19,240,8,0.005754,0.007676,0.030000,0.510000
"ordinary-kriging","newest","elipsoid",5,19,260,9,0.000446,0.003547,0.030000,0.570000
"ordinary-kriging","newest","elipsoid",5,19,280,10,0.000446,0.006533,0.030000,0.640000
"ordinary-kriging","newest","elipsoid",5,19,300,11,0.000120,0.004015,0.030000,0.700000
"ordinary-kriging","newest","elipsoid",5,19,320,12,0.000077,0.002047,0.020000,0.760000
"ordinary-kriging","newest","elipsoid",5,19,340,13,0.000077,0.000686,0.030000,0.830000
"ordinary-kriging","newest","elipsoid",5,19,360,14,0.000077,0.000301,0.030000,0.890000
"ordinary-kriging","newest","elipsoid",5,19,380,15,0.000062,0.000061,0.030000,0.950000
"ordinary-kriging","newest","elipsoid",5,19,400,16,0.000060,0.000142,0.030000,1.020000
"ordinary-kriging","newest","elipsoid",5,19,420,17,0.000019,0.000039,0.030000,1.080000
"ordinary-kriging","newest","elipsoid",5,19,440,18,0.000004,0.000041,0.030000,1.150000
"ordinary-kriging","newest","elipsoid",5,19,460,19,0.000004,0.000048,0.030000,1.210000
"ordinary-kriging","newest","elipsoid",5,19,480,20,0.000003,0.000015,0.020000,1.270000
"ordinary-kriging","newest","elipsoid",5,19,500,21,0.000003,0.000003,0.030000,1.340000
"ordinary-kriging","newest","elipsoid",5,19,520,22,0.000003,0.000000,0.040000,1.410000
"ordinary-kriging","newest","elipsoid",5,19,540,23,0.000001,0.000000,0.030000,1.470000
"ordinary-kriging","newest","elipsoid",5,19,560,24,0.000001,0.000001,0.030000,1.540000
"ordinary-kriging","newest","elipsoid",5,19,580,25,0.000001,0.000000,0.030000,1.600000
"ordinary-kriging","newest","elipsoid",5,19,600,26,0.000000,0.000000,0.020000,1.660000
"ordinary-kriging","newest","elipsoid",5,19,620,27,0.000000,0.000000,0.030000,1.730000
"ordinary-kriging","newest","elipsoid",5,19,640,28,0.000000,0.000000,0.030000,1.800000
"ordinary-kriging","newest","elipsoid",5,19,660,29,0.000000,0.000000,0.030000,1.860000
"ordinary-kriging","newest","elipsoid",5,19,680,30,0.000000,0.000000,0.030000,1.930000
"ordinary-kriging","newest","elipsoid",5,19,700,31,0.000000,0.000000,0.030000,1.990000
"ordinary-kriging","newest","elipsoid",5,19,720,32,0.000000,0.000000,0.030000,2.050000
"ordinary-kriging","newest","elipsoid",5,19,740,33,0.000000,0.000000,0.030000,2.120000
"ordinary-kriging","newest","elipsoid",5,19,760,34,0.000000,0.000000,0.040000,2.190000
"ordinary-kriging","newest","elipsoid",5,19,780,35,0.000000,0.000000,0.030000,2.250000
"ordinary-kriging","newest","elipsoid",5,19,800,36,0.000000,0.000000,0.040000,2.330000
"ordinary-kriging","newest","elipsoid",5,19,820,37,0.000000,0.000000,0.070000,2.450000
"ordinary-kriging","newest","elipsoid",5,19,840,38,0.000000,0.000000,0.090000,2.590000
"ordinary-kriging","newest","elipsoid",5,19,860,39,0.000000,0.000000,0.080000,2.720000
"ordinary-kriging","newest","elipsoid",5,19,880,40,0.000000,0.000000,0.090000,2.860000
"ordinary-kriging","newest","elipsoid",5,19,900,41,0.000000,0.000000,0.090000,3.000000
"ordinary-kriging","newest","elipsoid",5,19,920,42,0.000000,0.000000,0.080000,3.130000
"ordinary-kriging","newest","elipsoid",5,19,940,43,0.000000,0.000000,0.090000,3.260000
"ordinary-kriging","newest","elipsoid",5,19,960,44,0.000000,0.000000,0.090000,3.390000
