METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","griewank",5,8,80,0,31.217285,0.000000,0.000000,0.000000
"ordinary-kriging","newest","griewank",5,8,100,1,11.722894,0.948761,0.030000,0.060000
"ordinary-kriging","newest","griewank",5,8,120,2,2.930100,0.373962,0.030000,0.130000
"ordinary-kriging","newest","griewank",5,8,140,3,1.661389,0.209698,0.030000,0.190000
"ordinary-kriging","newest","griewank",5,8,160,4,1.163046,0.377292,0.030000,0.250000
"ordinary-kriging","newest","griewank",5,8,180,5,1.070602,0.411414,0.030000,0.320000
"ordinary-kriging","newest","griewank",5,8,200,6,1.070602,1.591657,0.030000,0.380000
"ordinary-kriging","newest","griewank",5,8,220,7,1.070602,0.799301,0.030000,0.450000
"ordinary-kriging","newest","griewank",5,8,240,8,0.972619,0.411364,0.030000,0.510000
"ordinary-kriging","newest","griewank",5,8,260,9,0.836812,0.285501,0.030000,0.570000
"ordinary-kriging","newest","griewank",5,8,280,10,0.775538,0.485106,0.030000,0.640000
"ordinary-kriging","newest","griewank",5,8,300,11,0.775538,0.344370,0.030000,0.700000
"ordinary-kriging","newest","griewank",5,8,320,12,0.427794,0.325797,0.030000,0.770000
"ordinary-kriging","newest","griewank",5,8,340,13,0.427794,0.244110,0.040000,0.840000
"ordinary-kriging","newest","griewank",5,8,360,14,0.427794,0.192941,0.030000,0.900000
"ordinary-kriging","newest","griewank",5,8,380,15,0.427794,0.227327,0.030000,0.970000
"ordinary-kriging","newest","griewank",5,8,400,16,0.427794,0.133003,0.030000,1.040000
"ordinary-kriging","newest","griewank",5,8,420,17,0.217224,0.185398,0.030000,1.100000
"ordinary-kriging","newest","griewank",5,8,440,18,0.217224,0.133953,0.030000,1.170000
"ordinary-kriging","newest","griewank",5,8,460,19,0.217224,0.217802,0.030000,1.240000
"ordinary-kriging","newest","griewank",5,8,480,20,0.186574,0.181228,0.030000,1.310000
"ordinary-kriging","newest","griewank",5,8,500,21,0.186574,0.207205,0.030000,1.370000
"ordinary-kriging","newest","griewank",5,8,520,22,0.186574,0.244564,0.030000,1.440000
"ordinary-kriging","newest","griewank",5,8,540,23,0.186574,0.205899,0.030000,1.500000
"ordinary-kriging","newest","griewank",5,8,560,24,0.186574,0.191350,0.030000,1.570000
"ordinary-kriging","newest","griewank",5,8,580,25,0.186574,0.245968,0.030000,1.630000
"ordinary-kriging","newest","griewank",5,8,600,26,0.150486,0.359014,0.030000,1.700000
"ordinary-kriging","newest","griewank",5,8,620,27,0.115962,0.271583,0.030000,1.760000
"ordinary-kriging","newest","griewank",5,8,640,28,0.094267,0.219425,0.030000,1.830000
"ordinary-kriging","newest","griewank",5,8,660,29,0.092234,0.207762,0.020000,1.890000
"ordinary-kriging","newest","griewank",5,8,680,30,0.087351,0.176611,0.030000,1.960000
"ordinary-kriging","newest","griewank",5,8,700,31,0.062934,0.315612,0.030000,2.020000
"ordinary-kriging","newest","griewank",5,8,720,32,0.051721,0.212895,0.030000,2.090000
"ordinary-kriging","newest","griewank",5,8,740,33,0.051195,0.199305,0.030000,2.150000
"ordinary-kriging","newest","griewank",5,8,760,34,0.051195,0.228068,0.020000,2.210000
"ordinary-kriging","newest","griewank",5,8,780,35,0.051195,0.130957,0.030000,2.280000
"ordinary-kriging","newest","griewank",5,8,800,36,0.051195,0.146983,0.030000,2.340000
