METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","levy",5,7,80,0,0.797848,0.000000,0.000000,0.000000
"ordinary-kriging","newest","levy",5,7,100,1,0.797848,9.680505,0.030000,0.070000
"ordinary-kriging","newest","levy",5,7,120,2,0.797848,8.551614,0.030000,0.130000
"ordinary-kriging","newest","levy",5,7,140,3,0.797848,7.369142,0.030000,0.200000
"ordinary-kriging","newest","levy",5,7,160,4,0.797848,9.150270,0.030000,0.270000
"ordinary-kriging","newest","levy",5,7,180,5,0.514328,1.804534,0.030000,0.340000
"ordinary-kriging","newest","levy",5,7,200,6,0.451367,0.865891,0.030000,0.410000
"ordinary-kriging","newest","levy",5,7,220,7,0.433147,0.901248,0.020000,0.480000
"ordinary-kriging","newest","levy",5,7,240,8,0.168365,1.208708,0.030000,0.540000
"ordinary-kriging","newest","levy",5,7,260,9,0.044924,0.414902,0.030000,0.610000
"ordinary-kriging","newest","levy",5,7,280,10,0.044924,0.186231,0.030000,0.680000
"ordinary-kriging","newest","levy",5,7,300,11,0.025017,0.103491,0.030000,0.740000
"ordinary-kriging","newest","levy",5,7,320,12,0.014460,0.136473,0.030000,0.810000
"ordinary-kriging","newest","levy",5,7,340,13,0.004581,0.048968,0.030000,0.870000
"ordinary-kriging","newest","levy",5,7,360,14,0.003274,0.012648,0.030000,0.940000
"ordinary-kriging","newest","levy",5,7,380,15,0.002612,0.006921,0.030000,1.010000
"ordinary-kriging","newest","levy",5,7,400,16,0.000830,0.017404,0.040000,1.080000
"ordinary-kriging","newest","levy",5,7,420,17,0.000232,0.003632,0.040000,1.150000
"ordinary-kriging","newest","levy",5,7,440,18,0.000082,0.000419,0.040000,1.220000
"ordinary-kriging","newest","levy",5,7,460,19,0.000024,0.001164,0.040000,1.290000
"ordinary-kriging","newest","levy",5,7,480,20,0.000024,0.000140,0.040000,1.360000
"ordinary-kriging","newest","levy",5,7,500,21,0.000013,0.000041,0.030000,1.430000
"ordinary-kriging","newest","levy",5,7,520,22,0.000010,0.000111,0.030000,1.490000
"ordinary-kriging","newest","levy",5,7,540,23,0.000009,0.000023,0.030000,1.560000
"ordinary-kriging","newest","levy",5,7,560,24,0.000003,0.000011,0.040000,1.630000
"ordinary-kriging","newest","levy",5,7,580,25,0.000001,0.000015,0.040000,1.700000
"ordinary-kriging","newest","levy",5,7,600,26,0.000000,0.000019,0.030000,1.770000
"ordinary-kriging","newest","levy",5,7,620,27,0.000000,0.000014,0.030000,1.840000
"ordinary-kriging","newest","levy",5,7,640,28,0.000000,0.000007,0.040000,1.910000
"ordinary-kriging","newest","levy",5,7,660,29,0.000000,0.000000,0.040000,1.980000
"ordinary-kriging","newest","levy",5,7,680,30,0.000000,0.000000,0.040000,2.050000
"ordinary-kriging","newest","levy",5,7,700,31,0.000000,0.000000,0.040000,2.120000
"ordinary-kriging","newest","levy",5,7,720,32,0.000000,0.000000,0.040000,2.190000
"ordinary-kriging","newest","levy",5,7,740,33,0.000000,0.000000,0.030000,2.260000
"ordinary-kriging","newest","levy",5,7,760,34,0.000000,0.000000,0.030000,2.320000
"ordinary-kriging","newest","levy",5,7,780,35,0.000000,0.000000,0.030000,2.390000
"ordinary-kriging","newest","levy",5,7,800,36,0.000000,0.000000,0.030000,2.450000
"ordinary-kriging","newest","levy",5,7,820,37,0.000000,0.000000,0.030000,2.520000
"ordinary-kriging","newest","levy",5,7,840,38,0.000000,0.000000,0.030000,2.590000
"ordinary-kriging","newest","levy",5,7,860,39,0.000000,0.000000,0.050000,2.680000
"ordinary-kriging","newest","levy",5,7,880,40,0.000000,0.000000,0.070000,2.800000
"ordinary-kriging","newest","levy",5,7,900,41,0.000000,0.000000,0.090000,2.930000
"ordinary-kriging","newest","levy",5,7,920,42,0.000000,0.000000,0.110000,3.090000
"ordinary-kriging","newest","levy",5,7,940,43,0.000000,0.000000,0.120000,3.260000
"ordinary-kriging","newest","levy",5,7,960,44,0.000000,0.000000,0.110000,3.410000
"ordinary-kriging","newest","levy",5,7,980,45,0.000000,0.000000,0.110000,3.570000
"ordinary-kriging","newest","levy",5,7,1000,46,0.000000,0.000000,0.110000,3.730000
"ordinary-kriging","newest","levy",5,7,1020,47,0.000000,0.000000,0.110000,3.890000
"ordinary-kriging","newest","levy",5,7,1040,48,0.000000,0.000000,0.110000,4.040000
"ordinary-kriging","newest","levy",5,7,1060,49,0.000000,0.000000,0.110000,4.210000
"ordinary-kriging","newest","levy",5,7,1080,50,0.000000,0.000000,0.120000,4.380000
"ordinary-kriging","newest","levy",5,7,1100,51,0.000000,0.000000,0.110000,4.540000
"ordinary-kriging","newest","levy",5,7,1120,52,0.000000,0.000000,0.120000,4.700000
"ordinary-kriging","newest","levy",5,7,1140,53,0.000000,0.000000,0.120000,4.870000
"ordinary-kriging","newest","levy",5,7,1160,54,0.000000,0.000000,0.110000,5.030000
"ordinary-kriging","newest","levy",5,7,1180,55,0.000000,0.000000,0.110000,5.190000
"ordinary-kriging","newest","levy",5,7,1200,56,0.000000,0.000000,0.120000,5.360000
"ordinary-kriging","newest","levy",5,7,1220,57,0.000000,0.000000,0.110000,5.520000
"ordinary-kriging","newest","levy",5,7,1240,58,0.000000,0.000000,0.110000,5.680000
"ordinary-kriging","newest","levy",5,7,1260,59,0.000000,0.000000,0.110000,5.840000
"ordinary-kriging","newest","levy",5,7,1280,60,0.000000,0.000000,0.120000,6.000000
"ordinary-kriging","newest","levy",5,7,1300,61,0.000000,0.000000,0.120000,6.160000
"ordinary-kriging","newest","levy",5,7,1320,62,0.000000,0.000000,0.110000,6.330000
"ordinary-kriging","newest","levy",5,7,1340,63,0.000000,0.000000,0.110000,6.490000
"ordinary-kriging","newest","levy",5,7,1360,64,0.000000,0.000000,0.120000,6.650000
"ordinary-kriging","newest","levy",5,7,1380,65,0.000000,0.000000,0.120000,6.820000
"ordinary-kriging","newest","levy",5,7,1400,66,0.000000,0.000000,0.110000,6.980000
"ordinary-kriging","newest","levy",5,7,1420,67,0.000000,0.000000,0.110000,7.140000
"ordinary-kriging","newest","levy",5,7,1440,68,0.000000,0.000000,0.110000,7.300000
"ordinary-kriging","newest","levy",5,7,1460,69,0.000000,0.000000,0.120000,7.460000
"ordinary-kriging","newest","levy",5,7,1480,70,0.000000,0.000000,0.120000,7.620000
"ordinary-kriging","newest","levy",5,7,1500,71,0.000000,0.000000,0.110000,7.790000
"ordinary-kriging","newest","levy",5,7,1520,72,0.000000,0.000000,0.120000,7.950000
"ordinary-kriging","newest","levy",5,7,1540,73,0.000000,0.000000,0.110000,8.120000
"ordinary-kriging","newest","levy",5,7,1560,74,0.000000,0.000000,0.110000,8.280000
"ordinary-kriging","newest","levy",5,7,1580,75,0.000000,0.000000,0.110000,8.440000
"ordinary-kriging","newest","levy",5,7,1600,76,0.000000,0.000000,0.110000,8.600000
"ordinary-kriging","newest","levy",5,7,1620,77,0.000000,0.000000,0.110000,8.760000
"ordinary-kriging","newest","levy",5,7,1640,78,0.000000,0.000000,0.110000,8.920000
"ordinary-kriging","newest","levy",5,7,1660,79,0.000000,0.000000,0.110000,9.080000
"ordinary-kriging","newest","levy",5,7,1680,80,0.000000,0.000000,0.110000,9.240000
"ordinary-kriging","newest","levy",5,7,1700,81,0.000000,0.000000,0.110000,9.400000
"ordinary-kriging","newest","levy",5,7,1720,82,0.000000,0.000000,0.110000,9.560000
"ordinary-kriging","newest","levy",5,7,1740,83,0.000000,0.000000,0.110000,9.720000
"ordinary-kriging","newest","levy",5,7,1760,84,0.000000,0.000000,0.110000,9.880000
"ordinary-kriging","newest","levy",5,7,1780,85,0.000000,0.000000,0.110000,10.040000
"ordinary-kriging","newest","levy",5,7,1800,86,0.000000,0.000000,0.110000,10.200000
"ordinary-kriging","newest","levy",5,7,1820,87,0.000000,0.000000,0.110000,10.360000
"ordinary-kriging","newest","levy",5,7,1840,88,0.000000,0.000000,0.110000,10.520000
"ordinary-kriging","newest","levy",5,7,1860,89,0.000000,0.000000,0.110000,10.680000
"ordinary-kriging","newest","levy",5,7,1880,90,0.000000,0.000000,0.110000,10.840000
"ordinary-kriging","newest","levy",5,7,1900,91,0.000000,0.000000,0.110000,11.000000
"ordinary-kriging","newest","levy",5,7,1920,92,0.000000,0.000000,0.110000,11.160000
"ordinary-kriging","newest","levy",5,7,1940,93,0.000000,0.000000,0.110000,11.320000
"ordinary-kriging","newest","levy",5,7,1960,94,0.000000,0.000000,0.110000,11.480000
"ordinary-kriging","newest","levy",5,7,1980,95,0.000000,0.000000,0.110000,11.640000
"ordinary-kriging","newest","levy",5,7,2000,96,0.000000,0.000000,0.110000,11.800000
