METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","perm0db",10,2,80,0,13946053212898191360.000000,0.000000,0.000000,0.000000
"ordinary-kriging","newest","perm0db",10,2,100,1,13946053212898191360.000000,13564332557606569639936.000000,0.040000,0.080000
"ordinary-kriging","newest","perm0db",10,2,120,2,180149301590002304.000000,11379160387608521998336.000000,0.040000,0.150000
"ordinary-kriging","newest","perm0db",10,2,140,3,6707197017233.820312,19840832328606209277952.000000,0.030000,0.230000
"ordinary-kriging","newest","perm0db",10,2,160,4,6707197017233.820312,5218737885404577398784.000000,0.040000,0.300000
"ordinary-kriging","newest","perm0db",10,2,180,5,6707197017233.820312,2104170381182807048192.000000,0.030000,0.380000
"ordinary-kriging","newest","perm0db",10,2,200,6,6707197017233.820312,3875384183218363695104.000000,0.040000,0.450000
"ordinary-kriging","newest","perm0db",10,2,220,7,6707197017233.820312,3606132167762698567680.000000,0.030000,0.530000
"ordinary-kriging","newest","perm0db",10,2,240,8,6707197017233.820312,660830105238729129984.000000,0.040000,0.600000
"ordinary-kriging","newest","perm0db",10,2,260,9,125598728383.882904,1660533454118598475776.000000,0.030000,0.680000
"ordinary-kriging","newest","perm0db",10,2,280,10,125598728383.882904,1293439149603649224704.000000,0.040000,0.750000
"ordinary-kriging","newest","perm0db",10,2,300,11,9272326120.011280,3000928452785530208256.000000,0.030000,0.830000
"ordinary-kriging","newest","perm0db",10,2,320,12,80156179.138257,1651186781437587095552.000000,0.040000,0.900000
"ordinary-kriging","newest","perm0db",10,2,340,13,80156179.138257,1557165996968505769984.000000,0.030000,0.980000
"ordinary-kriging","newest","perm0db",10,2,360,14,80156179.138257,703538288661543124992.000000,0.040000,1.050000
"ordinary-kriging","newest","perm0db",10,2,380,15,80156179.138257,583820643019881054208.000000,0.030000,1.130000
"ordinary-kriging","newest","perm0db",10,2,400,16,80156179.138257,1473713872694548480.000000,0.040000,1.200000
"ordinary-kriging","newest","perm0db",10,2,420,17,7566836.402883,1026008705439656704.000000,0.030000,1.280000
"ordinary-kriging","newest","perm0db",10,2,440,18,7566836.402883,381534690029188480.000000,0.040000,1.350000
"ordinary-kriging","newest","perm0db",10,2,460,19,13610.516662,154050897940207296.000000,0.040000,1.440000
