METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","rastrigin",15,9,200,0,158.030921,0.000000,0.000000,0.000000
"ordinary-kriging","newest","rastrigin",15,9,220,1,151.837277,28.144035,0.080000,0.130000
"ordinary-kriging","newest","rastrigin",15,9,240,2,145.007808,24.018595,0.080000,0.250000
"ordinary-kriging","newest","rastrigin",15,9,260,3,115.647719,25.071802,0.050000,0.340000
"ordinary-kriging","newest","rastrigin",15,9,280,4,112.965246,31.834526,0.050000,0.440000
"ordinary-kriging","newest","rastrigin",15,9,300,5,112.965246,33.166968,0.050000,0.530000
"ordinary-kriging","newest","rastrigin",15,9,320,6,99.032692,21.208684,0.050000,0.630000
"ordinary-kriging","newest","rastrigin",15,9,340,7,81.266397,19.962901,0.060000,0.720000
"ordinary-kriging","newest","rastrigin",15,9,360,8,81.266397,20.243474,0.050000,0.820000
"ordinary-kriging","newest","rastrigin",15,9,380,9,81.266397,21.784355,0.050000,0.920000
"ordinary-kriging","newest","rastrigin",15,9,400,10,81.266397,22.269351,0.050000,1.010000
"ordinary-kriging","newest","rastrigin",15,9,420,11,76.193931,14.744936,0.050000,1.110000
"ordinary-kriging","newest","rastrigin",15,9,440,12,76.193931,17.362740,0.050000,1.200000
"ordinary-kriging","newest","rastrigin",15,9,460,13,76.193931,24.701506,0.050000,1.290000
"ordinary-kriging","newest","rastrigin",15,9,480,14,76.193931,18.549952,0.050000,1.380000
"ordinary-kriging","newest","rastrigin",15,9,500,15,76.193931,21.953608,0.050000,1.480000
"ordinary-kriging","newest","rastrigin",15,9,520,16,76.193931,17.221215,0.050000,1.570000
"ordinary-kriging","newest","rastrigin",15,9,540,17,60.523044,23.092115,0.050000,1.660000
"ordinary-kriging","newest","rastrigin",15,9,560,18,60.523044,21.557864,0.050000,1.760000
"ordinary-kriging","newest","rastrigin",15,9,580,19,60.523044,14.430860,0.050000,1.850000
"ordinary-kriging","newest","rastrigin",15,9,600,20,60.523044,19.933444,0.050000,1.940000
"ordinary-kriging","newest","rastrigin",15,9,620,21,60.523044,16.273632,0.050000,2.030000
