METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","rosen",5,1,80,0,52.470698,0.000000,0.000000,0.000000
"ordinary-kriging","newest","rosen",5,1,100,1,9.585801,385.963596,0.030000,0.070000
"ordinary-kriging","newest","rosen",5,1,120,2,9.585801,138.607104,0.030000,0.130000
"ordinary-kriging","newest","rosen",5,1,140,3,9.585801,57.986203,0.030000,0.200000
"ordinary-kriging","newest","rosen",5,1,160,4,9.585801,20.175206,0.030000,0.260000
"ordinary-kriging","newest","rosen",5,1,180,5,5.593906,19.640815,0.030000,0.330000
"ordinary-kriging","newest","rosen",5,1,200,6,4.358241,28.543820,0.030000,0.400000
"ordinary-kriging","newest","rosen",5,1,220,7,4.177915,37.044311,0.030000,0.460000
"ordinary-kriging","newest","rosen",5,1,240,8,4.177915,33.448442,0.020000,0.520000
"ordinary-kriging","newest","rosen",5,1,260,9,3.658478,34.698360,0.030000,0.590000
"ordinary-kriging","newest","rosen",5,1,280,10,3.658478,30.879724,0.030000,0.650000
"ordinary-kriging","newest","rosen",5,1,300,11,3.387125,9.452811,0.030000,0.720000
"ordinary-kriging","newest","rosen",5,1,320,12,3.314855,18.146581,0.030000,0.790000
"ordinary-kriging","newest","rosen",5,1,340,13,2.393763,9.783822,0.030000,0.860000
"ordinary-kriging","newest","rosen",5,1,360,14,2.393763,35.955384,0.030000,0.930000
"ordinary-kriging","newest","rosen",5,1,380,15,2.393763,82.555604,0.030000,1.000000
"ordinary-kriging","newest","rosen",5,1,400,16,2.232655,20.179280,0.030000,1.060000
"ordinary-kriging","newest","rosen",5,1,420,17,2.232655,13.928165,0.030000,1.130000
"ordinary-kriging","newest","rosen",5,1,440,18,2.218689,15.601340,0.020000,1.200000
"ordinary-kriging","newest","rosen",5,1,460,19,2.218689,14.434074,0.030000,1.270000
"ordinary-kriging","newest","rosen",5,1,480,20,2.218689,55.308549,0.040000,1.340000
"ordinary-kriging","newest","rosen",5,1,500,21,2.218689,10.989901,0.030000,1.410000
"ordinary-kriging","newest","rosen",5,1,520,22,1.985980,11.845967,0.030000,1.470000
"ordinary-kriging","newest","rosen",5,1,540,23,1.985980,6.039766,0.030000,1.540000
"ordinary-kriging","newest","rosen",5,1,560,24,1.733213,8.135274,0.030000,1.600000
