METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","stybtang",20,4,200,0,408.686106,0.000000,0.000000,0.000000
"ordinary-kriging","newest","stybtang",20,4,250,1,384.518151,102.644460,0.160000,0.290000
"ordinary-kriging","newest","stybtang",20,4,300,2,383.445156,203.799948,0.160000,0.590000
"ordinary-kriging","newest","stybtang",20,4,350,3,380.326878,155.263357,0.130000,0.890000
"ordinary-kriging","newest","stybtang",20,4,400,4,366.286158,100.054508,0.170000,1.200000
"ordinary-kriging","newest","stybtang",20,4,450,5,360.893675,95.543561,0.170000,1.500000
"ordinary-kriging","newest","stybtang",20,4,500,6,320.015163,135.894009,0.120000,1.790000
"ordinary-kriging","newest","stybtang",20,4,550,7,320.015163,87.201346,0.110000,2.030000
"ordinary-kriging","newest","stybtang",20,4,600,8,293.123247,80.613651,0.110000,2.270000
"ordinary-kriging","newest","stybtang",20,4,650,9,293.123247,99.073473,0.110000,2.510000
"ordinary-kriging","newest","stybtang",20,4,700,10,293.123247,95.977695,0.110000,2.750000
"ordinary-kriging","newest","stybtang",20,4,750,11,278.442809,75.183603,0.110000,2.990000
"ordinary-kriging","newest","stybtang",20,4,800,12,278.442809,69.266075,0.110000,3.220000
"ordinary-kriging","newest","stybtang",20,4,850,13,234.124361,56.167377,0.100000,3.450000
"ordinary-kriging","newest","stybtang",20,4,900,14,234.124361,58.825197,0.100000,3.690000
"ordinary-kriging","newest","stybtang",20,4,950,15,191.107534,60.804032,0.110000,3.920000
"ordinary-kriging","newest","stybtang",20,4,1000,16,148.168275,45.051719,0.160000,4.210000
"ordinary-kriging","newest","stybtang",20,4,1050,17,109.060930,32.446648,0.120000,4.460000
"ordinary-kriging","newest","stybtang",20,4,1100,18,88.383115,38.930143,0.170000,4.750000
"ordinary-kriging","newest","stybtang",20,4,1150,19,84.107924,22.331869,0.170000,5.050000
"ordinary-kriging","newest","stybtang",20,4,1200,20,65.911037,19.734586,0.120000,5.300000
"ordinary-kriging","newest","stybtang",20,4,1250,21,50.122897,17.455069,0.110000,5.540000
"ordinary-kriging","newest","stybtang",20,4,1300,22,40.666089,16.404810,0.160000,5.830000
"ordinary-kriging","newest","stybtang",20,4,1350,23,36.426495,9.213077,0.100000,6.070000
"ordinary-kriging","newest","stybtang",20,4,1400,24,27.772465,6.794522,0.120000,6.310000
"ordinary-kriging","newest","stybtang",20,4,1450,25,26.199528,4.381096,0.110000,6.550000
"ordinary-kriging","newest","stybtang",20,4,1500,26,24.632486,2.393094,0.100000,6.780000
"ordinary-kriging","newest","stybtang",20,4,1550,27,19.901047,1.809515,0.120000,7.030000
"ordinary-kriging","newest","stybtang",20,4,1600,28,18.475768,0.849998,0.110000,7.250000
"ordinary-kriging","newest","stybtang",20,4,1650,29,17.439064,0.619662,0.120000,7.500000
"ordinary-kriging","newest","stybtang",20,4,1700,30,16.356042,0.356512,0.120000,7.750000
"ordinary-kriging","newest","stybtang",20,4,1750,31,15.682722,0.203087,0.170000,8.050000
"ordinary-kriging","newest","stybtang",20,4,1800,32,15.436871,0.213664,0.110000,8.290000
"ordinary-kriging","newest","stybtang",20,4,1850,33,14.963003,0.215174,0.160000,8.580000
"ordinary-kriging","newest","stybtang",20,4,1900,34,14.789285,0.132680,0.160000,8.870000
"ordinary-kriging","newest","stybtang",20,4,1950,35,14.550830,0.075665,0.160000,9.160000
"ordinary-kriging","newest","stybtang",20,4,2000,36,14.423055,0.033829,0.110000,9.400000
"ordinary-kriging","newest","stybtang",20,4,2050,37,14.342120,0.021151,0.160000,9.700000
"ordinary-kriging","newest","stybtang",20,4,2100,38,14.276099,0.031645,0.160000,9.980000
"ordinary-kriging","newest","stybtang",20,4,2150,39,14.226658,0.016851,0.160000,10.270000
"ordinary-kriging","newest","stybtang",20,4,2200,40,14.207844,0.014131,0.160000,10.560000
"ordinary-kriging","newest","stybtang",20,4,2250,41,14.184908,0.007162,0.170000,10.860000
"ordinary-kriging","newest","stybtang",20,4,2300,42,14.180944,0.005557,0.160000,11.150000
"ordinary-kriging","newest","stybtang",20,4,2350,43,14.164559,0.002740,0.120000,11.390000
"ordinary-kriging","newest","stybtang",20,4,2400,44,14.157091,0.002091,0.100000,11.620000
"ordinary-kriging","newest","stybtang",20,4,2450,45,14.150696,0.001369,0.110000,11.860000
"ordinary-kriging","newest","stybtang",20,4,2500,46,14.146427,0.001120,0.110000,12.100000
"ordinary-kriging","newest","stybtang",20,4,2550,47,14.142949,0.001160,0.100000,12.340000
"ordinary-kriging","newest","stybtang",20,4,2600,48,14.141736,0.000518,0.110000,12.570000
"ordinary-kriging","newest","stybtang",20,4,2650,49,14.139609,0.000662,0.110000,12.810000
"ordinary-kriging","newest","stybtang",20,4,2700,50,14.138030,0.000510,0.170000,13.110000
"ordinary-kriging","newest","stybtang",20,4,2750,51,14.136832,0.000412,0.120000,13.350000
"ordinary-kriging","newest","stybtang",20,4,2800,52,14.136212,0.000237,0.110000,13.580000
"ordinary-kriging","newest","stybtang",20,4,2850,53,14.136007,0.000177,0.120000,13.820000
"ordinary-kriging","newest","stybtang",20,4,2900,54,14.135282,0.000214,0.120000,14.070000
"ordinary-kriging","newest","stybtang",20,4,2950,55,14.135154,0.000110,0.170000,14.360000
"ordinary-kriging","newest","stybtang",20,4,3000,56,14.134851,0.000075,0.110000,14.600000
"ordinary-kriging","newest","stybtang",20,4,3050,57,14.134626,0.000046,0.120000,14.840000
"ordinary-kriging","newest","stybtang",20,4,3100,58,14.134424,0.000132,0.160000,15.130000
"ordinary-kriging","newest","stybtang",20,4,3150,59,14.134278,0.000054,0.170000,15.430000
"ordinary-kriging","newest","stybtang",20,4,3200,60,14.134117,0.000068,0.160000,15.720000
"ordinary-kriging","newest","stybtang",20,4,3250,61,14.134022,0.000037,0.110000,15.950000
"ordinary-kriging","newest","stybtang",20,4,3300,62,14.133914,0.000038,0.110000,16.180000
"ordinary-kriging","newest","stybtang",20,4,3350,63,14.133782,0.000051,0.160000,16.460000
"ordinary-kriging","newest","stybtang",20,4,3400,64,14.133675,0.000057,0.160000,16.750000
"ordinary-kriging","newest","stybtang",20,4,3450,65,14.133604,0.000037,0.160000,17.050000
"ordinary-kriging","newest","stybtang",20,4,3500,66,14.133550,0.000065,0.140000,17.310000
