METAMODEL,RULE,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,MEAN.DIFF,METAMODEL.TIME.S,TOTAL.TIME.S
"ordinary-kriging","newest","zakharov",15,8,200,0,216.359865,0.000000,0.000000,0.000000
"ordinary-kriging","newest","zakharov",15,8,220,1,194.888080,904832963.518188,0.080000,0.130000
"ordinary-kriging","newest","zakharov",15,8,240,2,194.888080,436976601.819465,0.080000,0.250000
"ordinary-kriging","newest","zakharov",15,8,260,3,194.888080,334660674.608857,0.050000,0.350000
"ordinary-kriging","newest","zakharov",15,8,280,4,194.888080,200402161.654270,0.050000,0.450000
"ordinary-kriging","newest","zakharov",15,8,300,5,194.888080,95408910.430771,0.080000,0.580000
"ordinary-kriging","newest","zakharov",15,8,320,6,189.268246,11469955.600581,0.090000,0.700000
"ordinary-kriging","newest","zakharov",15,8,340,7,189.268246,9500762.379234,0.080000,0.830000
"ordinary-kriging","newest","zakharov",15,8,360,8,163.800059,6874463.287218,0.080000,0.970000
"ordinary-kriging","newest","zakharov",15,8,380,9,163.800059,3592375.174850,0.050000,1.070000
"ordinary-kriging","newest","zakharov",15,8,400,10,163.800059,3612874.533417,0.060000,1.160000
"ordinary-kriging","newest","zakharov",15,8,420,11,163.800059,3567665.978317,0.050000,1.260000
"ordinary-kriging","newest","zakharov",15,8,440,12,163.800059,6521050.273900,0.080000,1.390000
"ordinary-kriging","newest","zakharov",15,8,460,13,163.800059,3144915.938368,0.080000,1.510000
"ordinary-kriging","newest","zakharov",15,8,480,14,163.800059,3489510.034882,0.050000,1.610000
"ordinary-kriging","newest","zakharov",15,8,500,15,163.800059,2620904.966734,0.060000,1.710000
"ordinary-kriging","newest","zakharov",15,8,520,16,163.800059,2137069.269430,0.060000,1.820000
"ordinary-kriging","newest","zakharov",15,8,540,17,163.800059,2905332.403586,0.070000,1.930000
"ordinary-kriging","newest","zakharov",15,8,560,18,163.800059,1873151.420629,0.070000,2.040000
"ordinary-kriging","newest","zakharov",15,8,580,19,163.800059,1216340.605207,0.050000,2.130000
"ordinary-kriging","newest","zakharov",15,8,600,20,163.800059,1134058.737773,0.050000,2.230000
"ordinary-kriging","newest","zakharov",15,8,620,21,163.800059,1513384.272573,0.050000,2.320000
"ordinary-kriging","newest","zakharov",15,8,640,22,163.800059,1736350.539852,0.060000,2.430000
"ordinary-kriging","newest","zakharov",15,8,660,23,163.800059,6809180.718973,0.060000,2.520000
"ordinary-kriging","newest","zakharov",15,8,680,24,163.800059,2691929.149642,0.070000,2.640000
"ordinary-kriging","newest","zakharov",15,8,700,25,147.753988,11321404.077656,0.080000,2.770000
"ordinary-kriging","newest","zakharov",15,8,720,26,147.753988,5054339.219192,0.080000,2.880000
"ordinary-kriging","newest","zakharov",15,8,740,27,147.753988,5487630.305600,0.070000,3.000000
"ordinary-kriging","newest","zakharov",15,8,760,28,147.753988,4553098.560279,0.070000,3.110000
"ordinary-kriging","newest","zakharov",15,8,780,29,147.753988,4653827.790234,0.070000,3.230000
"ordinary-kriging","newest","zakharov",15,8,800,30,147.753988,3055718.084353,0.070000,3.340000
"ordinary-kriging","newest","zakharov",15,8,820,31,147.753988,2813317.195476,0.080000,3.450000
"ordinary-kriging","newest","zakharov",15,8,840,32,147.753988,5707898.125235,0.070000,3.570000
"ordinary-kriging","newest","zakharov",15,8,860,33,116.079910,2299680.046222,0.070000,3.670000
"ordinary-kriging","newest","zakharov",15,8,880,34,116.079910,1965530.513995,0.050000,3.760000
"ordinary-kriging","newest","zakharov",15,8,900,35,116.079910,2750434.895875,0.050000,3.850000
"ordinary-kriging","newest","zakharov",15,8,920,36,116.079910,1559316.772876,0.040000,3.940000
"ordinary-kriging","newest","zakharov",15,8,940,37,116.079910,2887141.511230,0.050000,4.030000
"ordinary-kriging","newest","zakharov",15,8,960,38,116.079910,11963662.697353,0.050000,4.110000
"ordinary-kriging","newest","zakharov",15,8,980,39,116.079910,2961772.875289,0.050000,4.210000
"ordinary-kriging","newest","zakharov",15,8,1000,40,116.079910,2409770.342464,0.080000,4.320000
"ordinary-kriging","newest","zakharov",15,8,1020,41,116.079910,3007729.883031,0.040000,4.410000
"ordinary-kriging","newest","zakharov",15,8,1040,42,116.079910,3145978.009797,0.040000,4.500000
"ordinary-kriging","newest","zakharov",15,8,1060,43,116.079910,2055189.077545,0.050000,4.590000
"ordinary-kriging","newest","zakharov",15,8,1080,44,116.079910,853094.182389,0.040000,4.680000
"ordinary-kriging","newest","zakharov",15,8,1100,45,116.079910,659134.071798,0.050000,4.780000
"ordinary-kriging","newest","zakharov",15,8,1120,46,116.079910,831635.483763,0.060000,4.870000
"ordinary-kriging","newest","zakharov",15,8,1140,47,116.079910,1772053.139203,0.050000,4.970000
"ordinary-kriging","newest","zakharov",15,8,1160,48,116.079910,690578.432683,0.050000,5.060000
"ordinary-kriging","newest","zakharov",15,8,1180,49,116.079910,1326375.515508,0.060000,5.150000
"ordinary-kriging","newest","zakharov",15,8,1200,50,116.079910,4274445.738631,0.050000,5.240000
"ordinary-kriging","newest","zakharov",15,8,1220,51,116.079910,2518534.838846,0.050000,5.340000
"ordinary-kriging","newest","zakharov",15,8,1240,52,116.079910,2250491.393139,0.050000,5.430000
"ordinary-kriging","newest","zakharov",15,8,1260,53,111.454290,1357351.570102,0.050000,5.530000
"ordinary-kriging","newest","zakharov",15,8,1280,54,111.454290,1860246.610804,0.080000,5.650000
"ordinary-kriging","newest","zakharov",15,8,1300,55,111.454290,1902974.639830,0.070000,5.760000
"ordinary-kriging","newest","zakharov",15,8,1320,56,111.454290,579996.457243,0.080000,5.880000
"ordinary-kriging","newest","zakharov",15,8,1340,57,111.454290,1224616.538633,0.050000,5.980000
"ordinary-kriging","newest","zakharov",15,8,1360,58,104.948260,500520.390260,0.050000,6.070000
"ordinary-kriging","newest","zakharov",15,8,1380,59,104.948260,692208.991448,0.060000,6.160000
"ordinary-kriging","newest","zakharov",15,8,1400,60,104.948260,403487.511423,0.070000,6.280000
"ordinary-kriging","newest","zakharov",15,8,1420,61,104.948260,1257289.152335,0.080000,6.400000
"ordinary-kriging","newest","zakharov",15,8,1440,62,104.948260,423254.149253,0.080000,6.510000
"ordinary-kriging","newest","zakharov",15,8,1460,63,104.948260,833857.299918,0.050000,6.600000
"ordinary-kriging","newest","zakharov",15,8,1480,64,104.948260,976796.883413,0.040000,6.690000
"ordinary-kriging","newest","zakharov",15,8,1500,65,101.832518,633989.673394,0.050000,6.780000
"ordinary-kriging","newest","zakharov",15,8,1520,66,101.832518,1974620.763656,0.060000,6.880000
"ordinary-kriging","newest","zakharov",15,8,1540,67,101.832518,774634.696852,0.050000,6.970000
"ordinary-kriging","newest","zakharov",15,8,1560,68,101.832518,1876909.888715,0.050000,7.050000
"ordinary-kriging","newest","zakharov",15,8,1580,69,101.832518,1395301.257007,0.050000,7.140000
"ordinary-kriging","newest","zakharov",15,8,1600,70,100.678497,532036.776926,0.040000,7.230000
"ordinary-kriging","newest","zakharov",15,8,1620,71,100.678497,614663.904750,0.080000,7.340000
"ordinary-kriging","newest","zakharov",15,8,1640,72,100.678497,817888.454883,0.070000,7.450000
"ordinary-kriging","newest","zakharov",15,8,1660,73,100.678497,473545.989767,0.070000,7.570000
